ad_year,roc_year,district,total_pop,pop_0_4,ratio_0_4,pop_65_plus,ratio_65_plus
2015,104,中山區,231350,12749,0.055107,35362,0.152851
2015,104,中正區,162475,9302,0.057252,25605,0.157593
2015,104,信義區,229211,12506,0.054561,36609,0.159717
2015,104,內湖區,287566,16520,0.057448,29361,0.102102
2015,104,北投區,257862,14385,0.055786,35610,0.138097
2015,104,南港區,122245,7404,0.060567,15754,0.128872
2015,104,士林區,290694,15387,0.052932,43157,0.148462
2015,104,大同區,130929,7613,0.058146,19827,0.151433
2015,104,大安區,313058,16812,0.053703,54788,0.175009
2015,104,文山區,275367,15114,0.054887,36727,0.133375
2015,104,松山區,209714,11130,0.053072,33907,0.161682
2015,104,萬華區,194339,10721,0.055166,32475,0.167105
2016,105,中山區,231247,12708,0.054954,37347,0.161503
2016,105,中正區,160403,9176,0.057206,26410,0.164648
2016,105,信義區,227823,12519,0.054951,38366,0.168403
2016,105,內湖區,287733,16746,0.0582,31357,0.10898
2016,105,北投區,257370,14280,0.055484,37578,0.146008
2016,105,南港區,122516,7484,0.061086,16646,0.135868
2016,105,士林區,289939,15557,0.053656,45650,0.157447
2016,105,大同區,130071,7552,0.058061,20718,0.159282
2016,105,大安區,311506,16783,0.053877,57218,0.183682
2016,105,文山區,275231,15042,0.054652,38550,0.140064
2016,105,松山區,208326,11073,0.053152,35568,0.170732
2016,105,萬華區,193539,10695,0.05526,33722,0.174239
2017,106,中山區,230710,12140,0.05262,39330,0.170474
2017,106,中正區,159608,8814,0.055223,27359,0.171414
2017,106,信義區,225753,11855,0.052513,39997,0.177172
2017,106,內湖區,287771,16351,0.056819,33665,0.116985
2017,106,北投區,256456,13673,0.053315,39646,0.154592
2017,106,南港區,122155,7172,0.058712,17564,0.143785
2017,106,士林區,288295,14763,0.051208,48070,0.166739
2017,106,大同區,129278,7147,0.055284,21603,0.167105
2017,106,大安區,309969,15952,0.051463,59439,0.191758
2017,106,文山區,274424,14166,0.051621,40479,0.147505
2017,106,松山區,206988,10332,0.049916,37104,0.179257
2017,106,萬華區,191850,9969,0.051962,34920,0.182017
2018,107,中山區,229456,11643,0.050742,41170,0.179424
2018,107,中正區,159000,8578,0.05395,28282,0.177874
2018,107,信義區,223406,11229,0.050263,41622,0.186307
2018,107,內湖區,287429,15936,0.055443,36079,0.125523
2018,107,北投區,255532,13061,0.051113,41701,0.163193
2018,107,南港區,121670,6986,0.057418,18429,0.151467
2018,107,士林區,286544,14305,0.049923,50485,0.176186
2018,107,大同區,127625,6795,0.053242,22419,0.175663
2018,107,大安區,308843,15350,0.049702,61593,0.199431
2018,107,文山區,273762,13686,0.049992,42366,0.154755
2018,107,松山區,205702,9967,0.048454,38592,0.187611
2018,107,萬華區,189603,9492,0.050062,35897,0.189327
2019,108,中山區,227387,10563,0.046454,43074,0.18943
2019,108,中正區,158014,8010,0.050692,29142,0.184427
2019,108,信義區,220021,10221,0.046455,43093,0.195859
2019,108,內湖區,285795,14876,0.052051,38453,0.134547
2019,108,北投區,253319,11930,0.047095,43696,0.172494
2019,108,南港區,120297,6448,0.053601,19177,0.159414
2019,108,士林區,283459,13170,0.046462,52932,0.186736
2019,108,大同區,126043,6196,0.049158,23208,0.184128
2019,108,大安區,307631,14359,0.046676,63854,0.207567
2019,108,文山區,271806,12645,0.046522,44121,0.162325
2019,108,松山區,204193,9198,0.045046,40009,0.195937
2019,108,萬華區,187076,8625,0.046104,37185,0.198769
2020,109,中山區,223876,9496,0.042416,44842,0.200298
2020,109,中正區,155397,7132,0.045895,29833,0.191979
2020,109,信義區,215240,9081,0.04219,44439,0.206463
2020,109,內湖區,282525,13434,0.04755,41075,0.145385
2020,109,北投區,250144,10800,0.043175,45709,0.182731
2020,109,南港區,118758,5711,0.048089,20029,0.168654
2020,109,士林區,278451,11619,0.041727,55130,0.197988
2020,109,大同區,123849,5577,0.045031,23991,0.193712
2020,109,大安區,302644,13047,0.04311,65033,0.214883
2020,109,文山區,268130,11202,0.041778,46025,0.171652
2020,109,松山區,200316,8239,0.04113,41053,0.204941
