編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLLJJIIFFAA86CA,興安段三小段,16.27,都市：住,100000,907,持分移轉,00490000
RPTOMLPKJIIFFAA27CA,華興段二小段,65.00,都市：其他:道路用地,1,1,全筆移轉,06240000
RPXNMLPJJIIFFAA47CA,興安段一小段,4.45,都市：商,10000,57,持分移轉,03720000
RPXNMLPJJIIFFAA47CA,興安段四小段,6.42,都市：商,10000,57,持分移轉,00900000
RPPOMLQJJIIFFAA86CA,興泰段一小段,55.28,都市：住,10000,98,持分移轉,05110000
RPRNMLQJJIIFFAA96CA,華興段一小段,44.55,都市：住,20,9,持分移轉,04290000
RPQNMLOKJIIFFAA76CA,萬慶段三小段,28.10,都市：住,28400,2810,持分移轉,03210000
RPRNMLTKJIIFFAA37CA,河堤段一小段,33.60,都市：住,2470,336,持分移轉,05150000
RPWNMLPJJIIFFAA37CA,萬慶段一小段,5.00,都市：其他:,1,1,全筆移轉,00600000
RPWNMLPJJIIFFAA37CA,萬慶段一小段,116.00,都市：其他:,1,1,全筆移轉,00730000
RPWNMLPJJIIFFAA37CA,萬慶段一小段,5.00,都市：其他:,1,1,全筆移轉,00760000
RPTNMLLJJIIFFAA66CA,福和段一小段,9.87,都市：商,10000,142,持分移轉,00030000
RPTNMLLJJIIFFAA66CA,福和段一小段,.10,都市：住,10000,142,持分移轉,00030004
RPTPMLLJJIIFFBA96CA,福星段二小段,.60,都市：商,10000,65,持分移轉,05300000
RPTPMLLJJIIFFBA96CA,福星段二小段,3.26,都市：商,10000,65,持分移轉,05330000
RPWNMLMLJIIFFAA27CA,木柵段二小段,7.21,都市：其他:道路用地(公共設施用地),42,3,持分移轉,07630000
RPOQMLLJJIIFFBA56CA,大同段一小段,7.54,都市：商,10000,64,持分移轉,01910000
RPOQMLLJJIIFFBA56CA,大同段一小段,.28,都市：商,10000,64,持分移轉,02060001
RPQQMLLJJIIFFBA76CA,華江段一小段,15.00,都市：其他:道路用地,1,1,全筆移轉,01290001
RPPNMLOJJIIFFBA66CA,雙園段一小段,4.46,都市：住,888,110,持分移轉,03200000
RPPNMLOJJIIFFBA66CA,雙園段一小段,9.04,都市：住,888,110,持分移轉,03200001
RPPNMLOJJIIFFBA66CA,雙園段一小段,1.16,都市：住,436,14,持分移轉,03210000
RPPNMLOJJIIFFBA66CA,雙園段一小段,2.31,都市：住,436,14,持分移轉,03210001
RPRNMLOJJIIFFBA86CA,圓環段一小段,15.08,都市：商,10000,323,持分移轉,00460000
RPSOMLOJJIIFFBA07CA,大龍段三小段,15.83,都市：住,10000,29,持分移轉,03810000
RPVNMLPJJIIFFBA37CA,延平段一小段,2.97,都市：商,10000,53,持分移轉,04840000
RPVNMLPJJIIFFBA37CA,延平段一小段,1.11,都市：其他:特定專用區(供一般商業使用),10000,53,持分移轉,04840003
RPQPMLQJJIIFFBA17CA,城中段二小段,3.35,都市：商,10000,10,持分移轉,06470000
RPXOMLKLJIIFFBA37CA,莒光段四小段,9.83,都市：其他:特定專用區(一),6,1,持分移轉,01200003
RPXOMLKLJIIFFBA37CA,莒光段四小段,5.00,都市：其他:特定專用區(一),6,1,持分移轉,01200004
RPPNMLKKJIIFFBA98CA,公園段三小段,1.00,都市：商,100000,202,持分移轉,01990000
RPVNMLMKJIIFFBA17CA,福星段二小段,.35,都市：商,1000000,694,持分移轉,05330000
RPVNMLMKJIIFFBA17CA,福星段二小段,.06,都市：商,1000000,694,持分移轉,05300000
RPOPMLOKJIIFFBA86CA,華江段一小段,13.23,都市：住,21749,131,持分移轉,00010000
RPUOMLLJJIIFFCA07CA,碧湖段四小段,53.47,都市：住,600000,7710,持分移轉,02950000
RPVPMLLJJIIFFCA27CA,正義段一小段,5.80,都市：商,10000,59,持分移轉,02090000
RPPRMLLJJIIFFCA86CA,長安段三小段,2.71,都市：其他:聯合開發區(捷)(依都市計畫說明書圖規定辦理)。,100000,232,持分移轉,03970000
RPPRMLLJJIIFFCA86CA,長安段三小段,.16,都市：商,100000,232,持分移轉,04030000
RPPRMLLJJIIFFCA86CA,長安段三小段,.55,都市：商,100000,232,持分移轉,04030001
RPQNMLOJJIIFFCA86CA,康寧段四小段,28.56,都市：住,10000,238,持分移轉,04870000
RPUNMLOJJIIFFCA27CA,東湖段一小段,38.94,都市：住,10000,381,持分移轉,00300006
RPVOMLOJJIIFFCA47CA,吉林段三小段,2.60,都市：商,10000,32,持分移轉,10550000
RPXNMLOJJIIFFCA57CA,德惠段四小段,8.39,都市：商,1000000,9200,持分移轉,01840000
RPTOMLOJJIIFFCA27CA,德惠段三小段,3.68,都市：商,10000,25,持分移轉,08860000
RPSPMLPJJIIFFCA37CA,榮星段五小段,2.26,都市：商,10000,68,持分移轉,00020000
RPSPMLPJJIIFFCA37CA,榮星段五小段,6.77,都市：商,10000,68,持分移轉,00030000
RPSPMLPJJIIFFCA37CA,榮星段五小段,6.82,都市：商,10000,68,持分移轉,00040000
RPSPMLPJJIIFFCA37CA,榮星段五小段,6.80,都市：商,10000,68,持分移轉,00050000
RPSPMLPJJIIFFCA37CA,榮星段五小段,6.77,都市：商,10000,68,持分移轉,00060000
RPWNMLPJJIIFFCA57CA,康寧段三小段,3.98,都市：住,10000,33,持分移轉,02670009
RPPSMLPJJIIFFCA37CA,石潭段四小段,14.12,都市：商,10000,97,持分移轉,03330000
RPVPMLRJJIIFFCA87CA,吉林段四小段,6.42,都市：商,100000,1774,持分移轉,05290000
RPPQMLRJJIIFFCA37CA,石潭段四小段,.70,都市：商,231,1,持分移轉,04280000
RPXPMLRJJIIFFCA08CA,中山段一小段,4.48,都市：商,100000,761,持分移轉,02450000
RPRQMLRJJIIFFCA57CA,石潭段四小段,.47,都市：商,1386,4,持分移轉,04280000
RPTQMLRJJIIFFCA77CA,石潭段四小段,.70,都市：商,231,1,持分移轉,04280000
RPUQMLRJJIIFFCA87CA,石潭段四小段,.70,都市：商,231,1,持分移轉,04280000
RPSQMLRJJIIFFCA67CA,石潭段四小段,.70,都市：商,231,1,持分移轉,04280000
RPSPMLSJJIIFFCA67CA,德惠段四小段,3.32,都市：商,10000,30,持分移轉,05770000
RPUOMLNKJIIFFCA37CA,潭美段四小段,44.50,都市：住,2,1,持分移轉,06270000
RPVNMLMKJIIFFCA27CA,文德段四小段,3.54,都市：商,5220000,6204,持分移轉,00210000
RPRRMLOKJIIFFCA47CA,德惠段四小段,4.73,都市：商,10000,51,持分移轉,04520000
RPUNMLPKJIIFFCA47CA,東湖段八小段,29.74,都市：住,100000,1277,持分移轉,00400000
RPVQMLKLJIIFFCA47CA,長安段一小段,43.12,都市：住,8,1,持分移轉,07590000
RPPSMLMLJIIFFCA27CA,德惠段二小段,35.50,都市：住,4,1,持分移轉,05350000
RPTOMLMLJIIFFCA27CA,北安段二小段,55.32,都市：住,10000,901,持分移轉,01290000
RPQPMLSLJIIFFAA47CA,木柵段二小段,24.00,都市：住,4,1,持分移轉,03370000
RPQPMLSLJIIFFAA47CA,木柵段二小段,3.50,都市：住,4,1,持分移轉,03380000
RPQPMLSLJIIFFAA47CA,木柵段二小段,4.75,都市：住,4,1,持分移轉,03390000
RPUQMLQJJIIFFCA77CA,中山段三小段,5.09,都市：商,10000,32,持分移轉,04540000
RPXOMLLKJIIFFCA47CA,長安段二小段,12.96,都市：住,10000,62,持分移轉,05960000
RPXPMLLJJIIFFDA57CA,信義段一小段,12.71,都市：住,10000,93,持分移轉,00830000
RPPQMLLJJIIFFDA86CA,三興段一小段,3.94,都市：商,10000,26,持分移轉,10920000
RPOSMLLJJIIFFDA96CA,敦化段四小段,41.50,都市：住,4,1,持分移轉,01190000
RPWPMLOJJIIFFDA77CA,三興段二小段,2.30,都市：其他:公設保留地,11200,185,持分移轉,02510000
