編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSPMLSJJIIFFAE97CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPUPMLSJJIIFFAE18CB,龍華段八小段,9.33,都市：商,10000,142,持分移轉,22210000
RPQQMLSJJIIFFAE87CB,龍華段八小段,7.88,都市：商,10000,120,持分移轉,22210000
RPTPMLSJJIIFFAE08CB,龍華段八小段,7.36,都市：商,10000,112,持分移轉,22210000
RPRQMLSJJIIFFAE97CB,龍華段八小段,10.91,都市：商,10000,166,持分移轉,22210000
RPVPMLSJJIIFFAE28CB,龍華段八小段,10.38,都市：商,10000,158,持分移轉,22210000
RPQPMLSJJIIFFAE77CB,龍華段八小段,7.16,都市：商,10000,109,持分移轉,22210000
RPPQMLSJJIIFFAE77CB,龍華段八小段,17.02,都市：商,10000,259,持分移轉,22210000
RPOQMLSJJIIFFAE67CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPSQMLSJJIIFFAE08CB,龍華段八小段,7.75,都市：商,10000,118,持分移轉,22210000
RPORMLSJJIIFFAE77CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPUQMLSJJIIFFAE28CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPTQMLSJJIIFFAE18CB,龍華段八小段,10.25,都市：商,10000,156,持分移轉,22210000
RPPRMLSJJIIFFAE87CB,龍華段八小段,7.16,都市：商,10000,109,持分移轉,22210000
RPWQMLSJJIIFFAE48CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPXQMLSJJIIFFAE58CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPRRMLSJJIIFFAE08CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPQRMLSJJIIFFAE97CB,龍華段八小段,8.21,都市：商,10000,125,持分移轉,22210000
RPPNMLPKJIIFFAE27CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPSRMLSJJIIFFAE18CB,龍華段八小段,7.69,都市：商,10000,117,持分移轉,22210000
RPTNMLPKJIIFFAE67CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPSNMLPKJIIFFAE57CB,龍華段八小段,7.69,都市：商,10000,117,持分移轉,22210000
RPRNMLPKJIIFFAE47CB,龍華段八小段,9.33,都市：商,10000,142,持分移轉,22210000
RPVNMLPKJIIFFAE87CB,龍華段八小段,7.16,都市：商,10000,109,持分移轉,22210000
RPTOMLPKJIIFFAE77CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPPOMLPKJIIFFAE37CB,龍華段八小段,7.75,都市：商,10000,118,持分移轉,22210000
RPUOMLPKJIIFFAE87CB,龍華段八小段,10.25,都市：商,10000,156,持分移轉,22210000
RPROMLPKJIIFFAE57CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPWNMLPKJIIFFAE97CB,龍華段八小段,7.10,都市：商,10000,108,持分移轉,22210000
RPUNMLPKJIIFFAE77CB,龍華段八小段,8.54,都市：商,10000,130,持分移轉,22210000
RPSOMLPKJIIFFAE67CB,龍華段八小段,9.00,都市：商,10000,137,持分移轉,22210000
RPQOMLPKJIIFFAE47CB,龍華段八小段,7.36,都市：商,10000,112,持分移轉,22210000
RPXNMLPKJIIFFAE08CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPXOMLPKJIIFFAE18CB,龍華段八小段,7.69,都市：商,10000,117,持分移轉,22210000
RPVOMLPKJIIFFAE97CB,龍華段八小段,10.25,都市：商,10000,156,持分移轉,22210000
RPWOMLPKJIIFFAE08CB,龍華段八小段,9.00,都市：商,10000,137,持分移轉,22210000
RPRPMLPKJIIFFAE67CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPUPMLPKJIIFFAE97CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPOPMLPKJIIFFAE37CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPSPMLPKJIIFFAE77CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPQPMLPKJIIFFAE57CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPPPMLPKJIIFFAE47CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPVPMLPKJIIFFAE08CB,龍華段八小段,6.50,都市：商,10000,99,持分移轉,22210000
RPXPMLPKJIIFFAE28CB,龍華段八小段,7.88,都市：商,10000,120,持分移轉,22210000
RPWPMLPKJIIFFAE18CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPOQMLPKJIIFFAE47CB,龍華段八小段,7.88,都市：商,10000,120,持分移轉,22210000
RPVNMLMLJIIFFAE67CB,龍華段八小段,6.83,都市：商,10000,104,持分移轉,22210000
RPRNMLMLJIIFFAE27CB,龍華段八小段,7.88,都市：商,10000,120,持分移轉,22210000
