編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLLJJIIFFDF67CC,同新段,.00,都市：工,,,,00130000
RPPOMLLJJIIFFDF47DC,福德段,24.02,都市：商,,,,11270000
RPRNMLLJJIIFFCF37CC,寶橋段,.00,都市：工,,,,04380000
RPQNMLLJJIIFFCF27CC,寶強段,.00,都市：住,,,,01990000
RPSNMLMJJIIFFHF08CC,健康段,121.62,都市：工,,,,10630000
RPTNMLMJJIIFFHF18CC,健康段,64.85,都市：工,,,,10630000
RPPNMLMJJIIFFAF07CC,文化段,2.10,都市：住,,,,11980000
RPPNMLMJJIIFFGF67CC,菜寮段,11.46,都市：商,,,,02820000
RPPNMLNJJIIFFIF97CC,大學段一小段,16.65,都市：住,,,,01500000
RPQNMLNJJIIFFIF08CC,大學段二小段,10.07,都市：商,,,,00960000
RPRNMLMJJIIFFDF57CC,智興段,.00,都市：商,,,,04410000
RPQNMLMJJIIFFDF47CC,智興段,.00,都市：住,,,,02650000
RPQNMLMJJIIFFDF47CC,智興段,.00,都市：其他:,,,,02650001
RPXOMLLJJIIFFDF18CC,昊天段,21.29,都市：住,,,,11000000
RPXOMLLJJIIFFDF18CC,昊天段,.09,都市：住,,,,11650003
RPXOMLLJJIIFFDF18CC,昊天段,.00,都市：住,,,,11650004
RPPNMLNJJIIFFDF47CC,新峰段,.00,都市：住,,,,01190000
RPSNMLOJJIIFFCF77CC,民權段,.00,都市：住,,,,02010000
RPUNMLOJJIIFFCF97CC,寶元段,.00,非都市： ; 非都市編定：,,,,02730000
RPTNMLOJJIIFFCF87CC,寶元段,.00,都市：工,,,,02730000
RPPPMLOJJIIFFCF67CC,復興段,.00,都市：工,,,,03830000
RPQQMLOJJIIFFEF18DC,鄧公段,13.49,都市：住,,,,05990000
RPQNMLOJJIIFFGF97CC,永德段,16.36,都市：住,,,,09860000
RPUPMLOJJIIFFHF78DC,安樂段,34.72,都市：住,,,,03190000
RPRQMLOJJIIFFDF08CC,智興段,5.01,都市：住,,,,01040000
RPVPMLOJJIIFFHF88DC,安樂段,56.24,都市：住,,,,05620000
