編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLSJJIIFFAM98CA,16,86.72,住家用,鋼筋混凝土造,86年9月19日,十四層,三層 陽台
RPXNMLSJJIIFFAM98CA,16,22.27,梯廳、走道、防空避難室、水箱受電室、機房,鋼筋混凝土造,86年9月19日,十四層,
RPQOMLLKJIIFFAM77CA,19,12.67,停車空間,鋼筋混凝土造,84年2月16日,十三層,
RPOOMLSJJIIFFAM18CA,16,17.18,停車空間,鋼筋混凝土造,86年9月19日,十四層,
RPVNMLLJJIIFFAM08CA,1,2.02,守衛室、電信室、屋突裝飾物,鋼筋混凝土造,101年5月3日,一層,
RPVNMLLJJIIFFAM08CA,1,246.10,住家用,鋼筋混凝土造,101年10月23日,三層,一層 二層 三層 陽台
RPOOMLMKJIIFFAM67CA,16,86.72,住家用,鋼筋混凝土造,86年9月19日,十四層,十三層 陽台
RPOOMLMKJIIFFAM67CA,16,21.62,水箱受電室、機房、梯廳、走道、防空避難室,鋼筋混凝土造,86年9月19日,十四層,
RPOOMLMKJIIFFAM67CA,16,17.18,停車空間,鋼筋混凝土造,86年9月19日,十四層,
RPWNMLMKJIIFFAM38CA,15,154.14,住家用,鋼筋混凝土造,88年2月5日,四層,一層 二層 三層 四層 陽台
RPPNMLRJJIIFFBM18CA,39,124.11,住商用,鋼筋混凝土加強磚造,64年2月19日,三層,一層 二層 三層
RPOOMLPJJIIFFBM97CA,18,187.68,住家用,鋼筋混凝土造,85年1月16日,三層,一層 二層 三層 陽台 電梯樓梯間 見其他登記事項
RPWNMLSJJIIFFBM98CA,6,77.40,農舍,鋼筋混凝土造,96年11月23日,一層,一層
RPROMLOKJIIFFCM38CA,19,58.89,集合住宅,鋼筋混凝土造,83年11月28日,九層,八層 陽台
RPROMLOKJIIFFCM38CA,19,18.47,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RPWNMLOJJIIFFCM68CA,19,153.87,住家用,鋼筋混凝土造,83年7月6日,四層,一層 二層 三層 四層 陽台
UPROMLOKJIIFFCM68CA,19,42.56,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
UPROMLOKJIIFFCM68CA,19,13.35,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
WPROMLOKJIIFFCM88CA,19,30.29,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
WPROMLOKJIIFFCM88CA,19,9.50,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
YPROMLOKJIIFFCM09CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
YPROMLOKJIIFFCM09CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
XPROMLOKJIIFFCM98CA,19,30.79,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
XPROMLOKJIIFFCM98CA,19,9.66,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
QQROMLOKJIIFFCM38CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
QQROMLOKJIIFFCM38CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
TPROMLOKJIIFFCM58CA,19,42.56,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
TPROMLOKJIIFFCM58CA,19,13.35,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
ZPROMLOKJIIFFCM56CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
ZPROMLOKJIIFFCM56CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RQROMLOKJIIFFCM48CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
RQROMLOKJIIFFCM48CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
VPROMLOKJIIFFCM78CA,19,47.46,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
VPROMLOKJIIFFCM78CA,19,14.88,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
SPROMLOKJIIFFCM48CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
SPROMLOKJIIFFCM48CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
UQROMLOKJIIFFCM78CA,19,30.79,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
UQROMLOKJIIFFCM78CA,19,9.66,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
SQROMLOKJIIFFCM58CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
SQROMLOKJIIFFCM58CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
TQROMLOKJIIFFCM68CA,19,29.25,集合住宅,鋼筋混凝土造,83年11月28日,九層,五層 陽台
TQROMLOKJIIFFCM68CA,19,9.17,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
VQROMLOKJIIFFCM88CA,19,42.56,集合住宅,鋼筋混凝土造,83年11月28日,九層,四層 陽台
VQROMLOKJIIFFCM88CA,2,13.35,農舍、樓梯間,鋼筋混凝土造,100年11月4日,一層,一層 見其他登記事項
WQROMLOKJIIFFCM98CA,19,29.25,集合住宅,鋼筋混凝土造,83年11月28日,九層,四層 陽台
WQROMLOKJIIFFCM98CA,19,9.17,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RPQNMLPJJIIFFDM28CA,18,5.71,梯間、走道,鋼筋混凝土造,85年3月9日,七層,
RPQNMLPJJIIFFDM28CA,18,27.61,集合住宅,鋼筋混凝土造,85年3月9日,七層,五層 陽台 花台
RPQNMLPJJIIFFDM28CA,18,4.32,防空避難室、停車空間、門廳、屋頂突出物等公共設施,鋼筋混凝土造,85年3月9日,七層,
YQROMLOKJIIFFCM56CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,四層 陽台
YQROMLOKJIIFFCM56CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
QRROMLOKJIIFFCM48CA,19,42.56,集合住宅,鋼筋混凝土造,83年11月28日,九層,四層 陽台
QRROMLOKJIIFFCM48CA,19,13.35,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RRROMLOKJIIFFCM58CA,19,176.00,住家用,鋼筋混凝土造,83年11月28日,四層,一層 二層 三層 四層 陽台 平台
RRROMLOKJIIFFCM58CA,19,68.82,防空避難室、停車空間、管理員室,鋼筋混凝土造,83年11月28日,九層,
RPSNMLOJJIIFFCM38DA,20,82.31,集合住宅,鋼筋混凝土造,82年7月24日,七層,六層 陽台
XQROMLOKJIIFFCM09CA,19,28.77,集合住宅,鋼筋混凝土造,83年11月28日,九層,四層 陽台
XQROMLOKJIIFFCM09CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
ZQROMLOKJIIFFCM66CA,19,43.90,集合住宅,鋼筋混凝土造,83年11月28日,九層,四層 陽台
ZQROMLOKJIIFFCM66CA,19,13.76,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RPSOMLRJJIIFFCM68CA,38,148.62,住家用,鋼筋混凝土加強磚造,64年11月15日,三層,一層 二層 三層
ZPRNMLPKJIIFFCM56CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
ZPRNMLPKJIIFFCM56CA,19,9.54,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
QQRNMLPKJIIFFCM38CA,19,46.78,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
QQRNMLPKJIIFFCM38CA,19,14.66,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
YPRNMLPKJIIFFCM09CA,19,30.88,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
YPRNMLPKJIIFFCM09CA,19,9.68,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
WPRNMLPKJIIFFCM88CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
WPRNMLPKJIIFFCM88CA,19,9.54,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
XPRNMLPKJIIFFCM98CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
XPRNMLPKJIIFFCM98CA,19,9.54,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
VPRNMLPKJIIFFCM78CA,19,97.13,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
VPRNMLPKJIIFFCM78CA,19,30.46,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
SPRNMLPKJIIFFCM48CA,19,140.41,集合住宅,鋼筋混凝土造,83年11月28日,九層,一層 平台
SPRNMLPKJIIFFCM48CA,19,44.02,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
TPRNMLPKJIIFFCM58CA,19,33.29,集合住宅,鋼筋混凝土造,83年11月28日,九層,一層 平台
TPRNMLPKJIIFFCM58CA,19,13.10,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RPRNMLPKJIIFFCM38CA,19,74.35,集合住宅,鋼筋混凝土造,83年11月28日,九層,一層 平台
RPRNMLPKJIIFFCM38CA,19,23.30,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
UPRNMLPKJIIFFCM68CA,19,44.19,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
UPRNMLPKJIIFFCM68CA,19,13.86,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RQRNMLPKJIIFFCM48CA,19,50.35,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
RQRNMLPKJIIFFCM48CA,19,15.79,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
QRRNMLPKJIIFFCM48CA,19,50.73,集合住宅,鋼筋混凝土造,83年11月28日,九層,三層 陽台 露台
QRRNMLPKJIIFFCM48CA,19,14.88,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RRRNMLPKJIIFFCM58CA,19,200.50,住家用,鋼筋混凝土造,83年11月28日,四層,一層 二層 三層 四層 陽台 平台 露台
RRRNMLPKJIIFFCM58CA,19,44.32,防空避難室、停車空間、管理員室,鋼筋混凝土造,83年11月28日,九層,
RPRNMLPJJIIFFBM18CA,26,185.12,住商用,鋼筋混凝土造,76年4月25日,三層,一層 二層 三層 騎樓
RPXNMLPJJIIFFBM78CA,23,126.13,商業用,鋼筋混凝土造,80年3月23日,十二層,十二層 陽台 花台
RPXNMLPJJIIFFBM78CA,23,43.70,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,
RPUNMLSJJIIFFBM78CA,,217.13,住宅、停車空間、機房、樓梯間,鋼筋混凝土造,102年3月14日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPUNMLSJJIIFFBM78CA,,2.08,管委會空間,鋼筋混凝土造,102年3月14日,一層,
RPUNMLSJJIIFFBM78CA,,51.35,自設防空避難室,鋼筋混凝土造,102年3月14日,一層,
RPUNMLQJJIIFFAM48CA,19,133.89,住家用,鋼筋混凝土造,83年9月30日,三層,一層 二層 三層 陽台 花台 夾層
RPRNMLNKJIIFFAM97CA,15,176.22,農舍,鋼筋混凝土造,87年5月27日,三層,一層 二層 三層 陽台
RPQNMLSJJIIFFAM28CA,36,113.88,住商用,鋼筋混凝土加強磚造,66年11月10日,二層,一層 二層
RPTNMLPKJIIFFAM38CA,16,94.39,住家用,鋼筋混凝土造,87年3月6日,九層,二層 陽台
RPTNMLPKJIIFFAM38CA,16,12.98,停車空間,鋼筋混凝土造,87年3月6日,九層,
RPTNMLPKJIIFFAM38CA,16,11.19,梯間、管理員室、水箱、機械間,鋼筋混凝土造,87年3月6日,九層,
RPXNMLPLJIIFFBM98CA,1,187.80,住宅、樓梯間,鋼筋混凝土造,102年3月13日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLKKJIIFFBM57CA,1,202.70,住家用,鋼筋混凝土造,101年10月23日,四層,一層 二層 三層 四層 陽台
ZQRNMLPKJIIFFCM66CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,三層 陽台 露台
ZQRNMLPKJIIFFCM66CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
UQRNMLPKJIIFFCM78CA,19,50.73,集合住宅,鋼筋混凝土造,83年11月28日,九層,三層 陽台 露台
UQRNMLPKJIIFFCM78CA,19,14.88,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
WQRNMLPKJIIFFCM98CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,三層 陽台 露台
WQRNMLPKJIIFFCM98CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
YQRNMLPKJIIFFCM56CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,三層 陽台 露台
YQRNMLPKJIIFFCM56CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
XQRNMLPKJIIFFCM09CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,三層 陽台 露台
XQRNMLPKJIIFFCM09CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
VQRNMLPKJIIFFCM88CA,19,30.40,集合住宅,鋼筋混凝土造,83年11月28日,九層,三層 陽台 露台
VQRNMLPKJIIFFCM88CA,19,9.01,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
TQRNMLPKJIIFFCM68CA,19,44.19,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
TQRNMLPKJIIFFCM68CA,19,13.86,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
SQRNMLPKJIIFFCM58CA,19,50.73,集合住宅,鋼筋混凝土造,83年11月28日,九層,二層 陽台
SQRNMLPKJIIFFCM58CA,19,15.91,防空避難室、停車空間、梯間、通道、機械室、水箱,鋼筋混凝土造,83年11月28日,九層,
RPPNMLRJJIIFFCM28CA,23,240.29,住家用,鋼筋混凝土造,78年6月27日,三層,一層 二層 三層 騎樓
RPQOMLQJJIIFFCM48DA,33,145.01,住商用,鋼筋混凝土造,69年12月31日,三層,一層 二層 三層 騎樓
RPVNMLSJJIIFFCM09DA,30,178.74,農舍,加強磚造,72年1月25日,二層,一層 二層
RPSNMLNKJIIFFBM28DA,17,269.02,住商用,鋼筋混凝土造,86年1月10日,四層,一層 二層 三層 四層 陽台 騎樓
RPVNMLQLJIIFFCM09DA,19,70.29,集合住宅,鋼筋混凝土造,83年11月28日,九層,九層 陽台 露台
RPPNMLTKJIIFFEM78CA,20,158.71,住家用,鋼筋混凝土造,82年12月28日,三層,一層 二層 三層
RPRNMLRJJIIFFBM38CA,19,171.44,住家用,鋼筋混凝土造,83年8月12日,四層,一層 二層 三層 四層 陽台
RPUNMLMKJIIFFBM28CA,45,87.19,住家用,鋼筋混凝土加強磚造,57年10月1日,二層,一層 二層
RPUNMLSJJIIFFAM68CA,12,148.69,住家用,鋼筋混凝土造,90年5月2日,三層,一層 二層 三層 屋頂突出物
RPSNMLRJJIIFFAM38CA,1,2.02,守衛室、電信室、屋突裝飾物,鋼筋混凝土造,101年5月3日,一層,
RPSNMLRJJIIFFAM38CA,1,380.94,住家用,鋼筋混凝土造,101年10月23日,四層,一層 二層 三層 四層 陽台
RPWNMLSJJIIFFAM88CA,,93.32,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPRNMLPKJIIFFAM18CA,31,140.70,住家用,鋼筋混凝土加強磚造,72年1月6日,二層,一層 二層 騎樓
RPPNMLNKJIIFFBM87CA,16,127.42,住家用,鋼筋混凝土造,87年3月20日,三層,一層 二層 三層 陽台
RPPNMLOKJIIFFBM97CA,1,204.48,集合住宅、停車空間、門廊,鋼筋混凝土造,102年1月29日,三層,一層 二層 三層 陽台
RPQNMLOKJIIFFBM08CA,1,204.48,集合住宅、停車空間、門廊,鋼筋混凝土造,102年1月29日,三層,一層 二層 三層 陽台
RPQNMLLKJIIFFBM77CA,28,117.77,住家用,鋼筋混凝土造,75年3月1日,二層,一層 二層 陽台
RPPNMLLKJIIFFBM67CA,2,261.42,店舖、辦公室、住宅,鋼筋混凝土造,100年5月17日,四層,一層 二層 三層 四層 陽台
RPTNMLMKKIIFFCM38CA,33,18.21,住家用,加強磚造,70年1月23日,一層,一層
RPPOMLLKJIIFFCM87CA,32,95.60,住宅、店舖、人行道,加強磚造,70年10月1日,二層,一層 二層 騎樓
RPRNMLSKJIIFFBM68DA,31,365.85,住商用,鋼筋混凝土造,72年3月21日,四層,一層 二層 三層 四層 騎樓
RPWNMLQLJIIFFCM56DA,19,75.53,集合住宅,鋼筋混凝土造,83年11月28日,九層,七層 陽台 露台
RPXNMLQLJIIFFCM66DA,19,75.53,集合住宅,鋼筋混凝土造,83年11月28日,九層,七層 陽台 露台
RPPOMLPLJIIFFCM48DA,34,118.49,住商用,鋼筋混凝土加強磚造,68年5月17日,二層,一層 二層 騎樓
RPTNMLMKJIIFFCM38DA,36,94.00,住商用,鋼筋混凝土加強磚造,66年12月12日,二層,一層 二層 騎樓
RPWNMLLKJIIFFAM38DA,35,232.70,住商用,鋼筋混凝土加強磚造,68年3月22日,四層,一層 二層 三層 四層 騎樓
RPRNMLMKJIIFFEM28CA,12,133.05,住商用,鋼筋混凝土造,90年11月7日,三層,一層 二層 三層 屋頂突出物
RPQNMLPKJIIFFDM38CA,24,151.25,住商用,鋼筋混凝土造,79年4月26日,三層,一層 二層 三層 騎樓
RPSNMLSJJIIFFDM78CA,33,113.40,住商用,鋼筋混凝土加強磚造,70年2月16日,二層,一層 二層 騎樓
