鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬五街６６號四樓,17.83,商,,,1021228,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,193.14999999999998,4,2,2,有,有,8950000,46337,坡道平面,0.0,0,,RPXOMLTKKHJFFBJ56CA,113.5,5.12,3.76,,
竹北市,土地,永興段447地號,3530.73,住,,,1021115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,774333205,219312,,0.0,0,,RPVOMLPLKHJFFBJ68CA,0.0,0.0,0.0,,
尖石鄉,土地,田埔段425-1地號,1168.0,,山坡地保育區,農牧用地,1030115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85264,73,,0.0,0,,RPPNMLQJKHJFFCJ97CA,0.0,0.0,0.0,,
峨眉鄉,土地,赤柯坪段赤柯坪小段10-35地號,7656.0,,山坡地保育區,農牧用地,1030115,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15500000,2025,,0.0,0,,RPVNMLLLKHJFFCJ28CA,0.0,0.0,0.0,,
竹東鎮,土地,上坪段382-115地號,8808.6,,山坡地保育區,農牧用地,1021228,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2715180,308,,0.0,0,,RPRNMLOJLHJFFCJ08CA,0.0,0.0,0.0,,
竹東鎮,土地,上坪段382-106地號,10912.8,,山坡地保育區,農牧用地,1021228,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3273840,300,,0.0,0,,RPSNMLOJLHJFFCJ18CA,0.0,0.0,0.0,,
竹東鎮,土地,上坪段299-10地號,6006.4,,山坡地保育區,農牧用地,1021228,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1502240,250,,0.0,0,,RPTNMLOJLHJFFCJ28CA,0.0,0.0,0.0,,
竹東鎮,土地,上坪段382-103地號,5230.0,,山坡地保育區,農牧用地,1021228,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1311600,251,,0.0,0,,RPUNMLOJLHJFFCJ38CA,0.0,0.0,0.0,,
竹東鎮,土地,上坪段382-113地號,474.8,,山坡地保育區,農牧用地,1021228,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,137779,290,,0.0,0,,RPVNMLOJLHJFFCJ48CA,0.0,0.0,0.0,,
竹東鎮,土地,上坪段382-113地號,107.91,,山坡地保育區,農牧用地,1021228,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31314,290,,0.0,0,,RPWNMLOJLHJFFCJ58CA,0.0,0.0,0.0,,
新豐鄉,房地(土地+建物),新竹縣新豐鄉中崙２６１之１７號,125.67,,特定農業區,甲種建築用地,1030104,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940306,171.15,4,2,3,有,無,5600000,32720,,0.0,0,,RPRPMLRJKHJFFDJ58CA,151.02,3.0,17.13,,
湖口鄉,土地,中義段95地號,2092.09,商,,,1030123,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160494464,76715,,0.0,0,,RPPNMLKKKHJFFDJ57CA,0.0,0.0,0.0,,
湖口鄉,土地,中義段732地號,2680.08,住,,,1030122,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,151788010,56636,,0.0,0,,RPQNMLKKKHJFFDJ67CA,0.0,0.0,0.0,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉大勇路1巷51號二樓之20,5.55,,工業區,丁種建築用地,1030109,土地1建物1車位0,二層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890801,26.119999999999997,1,1,1,有,有,670000,25651,,0.0,0,,RPPNMLLKKHJFFDJ67CA,18.06,0.0,0.0,,
湖口鄉,土地,長威段1594地號,339.1,,鄉村區,乙種建築用地,1021226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11020000,32498,,0.0,0,,RPRNMLLKKHJFFDJ87CA,0.0,0.0,0.0,,
湖口鄉,土地,湖新段996地號,68.0,,特定農業區,農牧用地,1021230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,4118,,0.0,0,,RPSNMLQJKHJFFDJ38CA,0.0,0.0,0.0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口三街２２６號８樓之２,20.9,商,,,1030105,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991214,185.57999999999998,3,2,2,有,有,8450000,45533,坡道平面,61.68,0,,RPXUNLQJKHJFFBJ96DA,75.53,3.99,10.89,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉安宅三街40號3樓,16.55,,工業區,丁種建築用地,1021130,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1020709,66.06,2,2,2,有,有,2900000,43899,,0.0,0,,RPPPMLRJKHJFFDJ48DA,52.93,0.0,5.27,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉安宅三32號5號,16.42,,工業區,丁種建築用地,1021127,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1020709,66.06,2,2,2,有,有,2850000,43143,,0.0,0,,RPQPMLRJKHJFFDJ58DA,52.93,0.0,5.27,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉德興路289-19號,193.0,,特定農業區,甲種建築用地,1021231,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020308,256.84,5,2,5,有,無,14200000,55287,,0.0,0,,RPSNMLKKKHJFFDJ97DA,243.07,5.3,8.47,,
湖口鄉,土地,湖鏡段1421地號,16.39,住,,,1030109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,24405,,0.0,0,,RPUNMLLKKHJFFDJ28DA,0.0,0.0,0.0,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉仁樂路117號5樓,32.78,,工業區,丁種建築用地,1021221,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830226,84.16,3,2,2,有,無,3200000,38023,,0.0,0,,RPQNMLRKKHJFFDJ48DA,0.0,0.0,0.0,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉安宅三街40號4樓,16.55,,工業區,丁種建築用地,1021130,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1020709,66.06,2,2,2,有,有,2900000,43899,,0.0,0,,RPOPMLRJKHJFFDJ38DA,52.93,0.0,5.27,,
竹東鎮,土地,柯子湖段5地號,22.01,農,,,1030123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,330000,14993,,0.0,0,,RPTNMLRJKHJFFCJ58DA,0.0,0.0,0.0,,
竹東鎮,土地,上坪段29-2地號,1023.5,,山坡地保育區,農牧用地,1020202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,309000,302,,0.0,0,,RPQNMLPJLHJFFCJ18DA,0.0,0.0,0.0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段２０６號５樓之５,25.31,住,,,1030108,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980504,170.82,3,2,2,有,有,9460000,55377,坡道平面,0.0,0,,RPTPMLRJKHJFFBJ68DA,89.14,2.04,7.65,,
