編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLLKKHJFFBJ97CC,台科段,.00,都市：住,,,,00300000
RPPPMLSKKHJFFBJ58CC,中正段,261.20,都市：商,,,,00010000
RPTNMLPJKHJFFBJ48DC,隘興段,8706.30,非都市： ; 非都市編定：,,,,04080000
RPSNMLOKKHJFFBJ38DC,台科段,.00,都市：住,,,,00370000
RPQNMLLKKHJFFBJ87DC,縣福段,.00,非都市： ; 非都市編定：,,,,00910003
RPUNMLTKKHJFFCJ56DC,旭光段,20.12,都市：住,,,,07660000
RPVPMLNKKHJFFBJ78DC,公園段,.00,都市：商,,,,04820000
RPPQMLOLKHJFFBJ38CC,台元段,4985.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,09790000
RPVOMLRLKHJFFCJ66DC,竹東段竹東小段,95.00,都市：住,,,,00340163
RPWOMLQLKHJFFBJ09CC,大學段,413.23,都市：其他:,,,,05730001
RPUNMLQLKHJFFBJ88DC,翰林段,.00,都市：其他:,,,,06070000
RPWPMLOJLHJFFBJ88CC,東興段,15.00,都市：住,,,,00010000
RPSOMLPJLHJFFBJ48CC,公園段,.00,非都市： ; 非都市編定：,,,,05620000
RPUPMLOLKHJFFBJ78CC,隘興段,46.68,都市：住,,,,04210079
RPOQMLOLKHJFFBJ28CC,台元段,4985.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,09790000
RPVOMLPJLHJFFBJ78CC,公園段,.00,非都市： ; 非都市編定：,,,,04720000
RPWOMLPJLHJFFBJ88CC,大學段,.00,非都市： ; 非都市編定：,,,,02210000
RPXOMLPJLHJFFBJ98CC,公園段,.00,非都市： ; 非都市編定：,,,,04750000
RPOPMLPJLHJFFBJ18CC,自強段,.00,非都市： ; 非都市編定：,,,,03730000
RPPPMLPJLHJFFBJ28CC,公園段,.00,非都市： ; 非都市編定：,,,,04660000
RPVNMLKLKHJFFBJ28CC,台元段,.00,都市：工,,,,06350000
RPTOMLPJLHJFFBJ58CC,隘興段,.00,非都市： ; 非都市編定：,,,,06250000
RPTPMLPJLHJFFBJ68CC,永興段,.00,非都市： ; 非都市編定：,,,,05440000
RPPQMLPJLHJFFBJ38CC,縣愛段,.00,非都市： ; 非都市編定：,,,,02780000
RPWPMLPJLHJFFBJ98CC,水瀧段,.00,非都市： ; 非都市編定：,,,,03910000
RPQPMLPJLHJFFBJ38CC,大學段,.00,非都市： ; 非都市編定：,,,,02200000
RPXPMLPJLHJFFBJ09CC,家興段,.00,非都市： ; 非都市編定：,,,,04250000
RPSPMLPJLHJFFBJ58CC,永興段,.00,非都市： ; 非都市編定：,,,,04730000
RPUPMLPJLHJFFBJ78CC,大學段,.00,非都市： ; 非都市編定：,,,,00470000
RPVPMLPJLHJFFBJ88CC,台科段,.00,非都市： ; 非都市編定：,,,,02110000
RPOQMLPJLHJFFBJ28CC,永興段,.00,非都市： ; 非都市編定：,,,,04950000
RPRPMLPJLHJFFBJ48CC,縣福段,.00,非都市： ; 非都市編定：,,,,02650000
RPUQMLPJLHJFFBJ88CC,公園段,.00,非都市： ; 非都市編定：,,,,04770000
RPTQMLPJLHJFFBJ78CC,莊敬段,.00,非都市： ; 非都市編定：,,,,07160000
RPOSMLPJLHJFFBJ48CC,家興段,.00,非都市： ; 非都市編定：,,,,06010000
RPWQMLPJLHJFFBJ09CC,大學段,.00,非都市： ; 非都市編定：,,,,02140000
RPRQMLPJLHJFFBJ58CC,家興段,.00,非都市： ; 非都市編定：,,,,04590000
RPXQMLPJLHJFFBJ56CC,台科段,.00,非都市： ; 非都市編定：,,,,02520000
RPQQMLPJLHJFFBJ48CC,隘興段,.00,非都市： ; 非都市編定：,,,,07190000
RPSQMLPJLHJFFBJ68CC,永興段,.00,非都市： ; 非都市編定：,,,,05300000
RPXRMLPJLHJFFBJ66CC,大學段,.00,非都市： ; 非都市編定：,,,,00260000
RPWRMLPJLHJFFBJ56CC,大學段,.00,非都市： ; 非都市編定：,,,,00700000
RPPSMLPJLHJFFBJ58CC,大學段,.00,非都市： ; 非都市編定：,,,,00460000
RPTSMLPJLHJFFBJ98CC,公園段,.00,非都市： ; 非都市編定：,,,,01480001
RPOTMLPJLHJFFBJ58CC,大學段,.00,非都市： ; 非都市編定：,,,,06380000
RPSSMLPJLHJFFBJ88CC,世興段,.00,非都市： ; 非都市編定：,,,,00440000
RPUSMLPJLHJFFBJ09CC,隘興段,.00,非都市： ; 非都市編定：,,,,06220000
RPQSMLPJLHJFFBJ68CC,隘興段,.00,非都市： ; 非都市編定：,,,,02560000
RPVSMLPJLHJFFBJ56CC,大學段,.00,非都市： ; 非都市編定：,,,,06160000
RPRSMLPJLHJFFBJ78CC,翰林段,.00,非都市： ; 非都市編定：,,,,00540000
RPPTMLPJLHJFFBJ68CC,大學段,.00,非都市： ; 非都市編定：,,,,02210000
RPWSMLPJLHJFFBJ66CC,永興段,.00,非都市： ; 非都市編定：,,,,05300000
RPWNMLNKLHJFFBJ68CC,家興段,175.86,都市：住,,,,02980000
RPWNMLNKLHJFFBJ68CC,家興段,.55,都市：住,,,,02980009
RPQTMLPJLHJFFBJ78CC,台科段,.00,非都市： ; 非都市編定：,,,,00560000
RPORMLRKLHJFFBJ68CC,公園段,.00,都市：住,,,,04700000
RPSOMLRJLHJFFCJ78CC,寶中段,.00,非都市： ; 非都市編定：,,,,00430000
RPXNMLNKLHJFFBJ78CC,隘興段,828.73,都市：住,,,,05970000
RPUOMLOKLHJFFBJ68CC,大學段,.00,都市：住,,,,06430000
RPRNMLRKLHJFFCJ78DC,竹東段竹東小段,29.28,都市：住,,,,00850001
RPOOMLLKLHJFFBJ87DC,大學段,.00,都市：住,,,,02100000
RPXQMLRKLHJFFBJ86CC,公園段,.00,非都市： ; 非都市編定：,,,,04700000
RPWOMLSKLHJFFBJ76DC,大學段,6366.86,都市：住,,,,02200000
RPPQMLTKLHJFFBJ98DC,竹仁段,16.62,都市：住,,,,04010000
RPVQMLPJLHJFFBJ09DC,永興段,.00,都市：住,,,,01710000
RPVNMLRJMHJFFBJ98CC,家興段,.00,都市：住,,,,05960000
RPSNMLRJMHJFFBJ68CC,隘興段,.00,都市：住,,,,05430000
RPTNMLRJMHJFFBJ78CC,大學段,.00,都市：商,,,,02130000
RPSOMLKLLHJFFBJ18CC,大學段,163.18,都市：住,,,,02090000
RPROMLLMLHJFFBJ28CC,家興段,.00,都市：住,,,,04270000
RPRNMLRJMHJFFBJ58CC,家興段,81.81,都市：住,,,,03740006
RPRNMLSKLHJFFBJ68CC,自強段,19.64,都市：其他:空白,,,,02940000
RPXPMLRLLHJFFBJ86CC,世興段,18.59,都市：商,,,,00270000
RPOPMLSJMHJFFBJ58CC,隘興段,.00,非都市： ; 非都市編定：,,,,04080000
RPSSMLQLLHJFFBJ56CC,竹義段,34.00,都市：住,,,,10020000
RPQOMLPLLHJFFBJ48CC,豆子埔段,.00,都市：住,,,,08060000
RPVNMLRJMHJFFDJ56CC,興湖段,144.00,都市：住,,,,06230000
RPXPMLSJMHJFFBJ86CC,大學段,.00,非都市： ; 非都市編定：,,,,02140000
RPVPMLSJMHJFFBJ66CC,自強段,.00,非都市： ; 非都市編定：,,,,03380000
RPOQMLSJMHJFFBJ68CC,縣福段,.00,非都市： ; 非都市編定：,,,,03060000
RPUPMLSJMHJFFBJ56CC,縣福段,.00,非都市： ; 非都市編定：,,,,00630000
RPTPMLSJMHJFFBJ09CC,永興段,.00,非都市： ; 非都市編定：,,,,07000001
RPPPMLSJMHJFFBJ68CC,大學段,.00,非都市： ; 非都市編定：,,,,02210000
RPRPMLSJMHJFFBJ88CC,公園段,.00,非都市： ; 非都市編定：,,,,01490000
RPQQMLSJMHJFFBJ88CC,大學段,.00,非都市： ; 非都市編定：,,,,02210000
RPPQMLSJMHJFFBJ78CC,永興段,.00,非都市： ; 非都市編定：,,,,05060000
RPTRMLSJMHJFFBJ66CC,自強段,.00,非都市： ; 非都市編定：,,,,03730000
RPPRMLSJMHJFFBJ88CC,家興段,.00,非都市： ; 非都市編定：,,,,05870000
RPRQMLSJMHJFFBJ98CC,隘興段,.00,非都市： ; 非都市編定：,,,,06250001
RPSQMLSJMHJFFBJ09CC,仰德段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09130000
RPSQMLSJMHJFFBJ09CC,仰德段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09140000
RPXQMLSJMHJFFBJ96CC,公園段,.00,非都市： ; 非都市編定：,,,,03990000
RPQRMLSJMHJFFBJ98CC,翰林段,.00,非都市： ; 非都市編定：,,,,12320000
RPURMLSJMHJFFBJ76CC,大學段,.00,非都市： ; 非都市編定：,,,,02140000
RPTQMLSJMHJFFBJ56CC,世興段,.00,非都市： ; 非都市編定：,,,,00440000
RPRRMLSJMHJFFBJ09CC,大學段,.00,非都市： ; 非都市編定：,,,,02180000
RPVQMLSJMHJFFBJ76CC,公園段,.00,非都市： ; 非都市編定：,,,,11680000
RPSNMLKKMHJFFDJ38DC,中興段中興小段,43.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02400000
RPXNMLKKMHJFFBJ68DC,大學段,.00,都市：住,,,,02100000
RPVNMLKKMHJFFBJ48DC,公園段,.00,都市：其他:,,,,02860000
RPVNMLKKMHJFFBJ48DC,公園段,.00,都市：其他:,,,,02870000
RPPOMLLKMHJFFBJ97CC,隘興段,.00,都市：住,,,,07260000
RPPSMLSJMHJFFBJ98CC,翰林段,.00,非都市： ; 非都市編定：,,,,12830000
RPPSMLSJMHJFFBJ98CC,翰林段,.00,非都市： ; 非都市編定：,,,,12840000
RPPSMLSJMHJFFBJ98CC,翰林段,.00,非都市： ; 非都市編定：,,,,12850000
RPRQMLMLMHJFFBJ58CC,永興段,.00,都市：商,,,,04950000
RPTQMLOLMHJFFBJ98CC,家興段,66.43,都市：其他:,,,,04690000
RPOSMLSJMHJFFBJ88CC,大學段,.00,非都市： ; 非都市編定：,,,,02200000
RPXRMLSJMHJFFBJ07CC,縣福段,.00,非都市： ; 非都市編定：,,,,02890000
RPWRMLSJMHJFFBJ96CC,台科段,.00,非都市： ; 非都市編定：,,,,02520000
RPVOMLSLMHJFFBJ76CC,隘興段,.00,非都市： ; 非都市編定：,,,,06220001
RPPPMLKMMHJFFBJ18CC,永興段,.00,都市：住,,,,05060000
RPQPMLKMMHJFFBJ28CC,永興段,.00,都市：住,,,,05060000
RPWSMLOLMHJFFBJ86CC,永興段,.00,非都市： ; 非都市編定：,,,,05060000
