編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLRJKHJFFAP56CA,斗六段,89.00,都市：住,1,1,全筆移轉,01860013
RPPNMLMKKHJFFDP38CA,埔崙段,160.00,都市：住,1,1,全筆移轉,01960018
RPPNMLOLKHJFFDP68CA,平和厝段,.56,都市：住,35,1,持分移轉,08030002
RPPNMLOLKHJFFDP68CA,平和厝段,89.71,都市：住,1,1,全筆移轉,08030007
RPQNMLQJKHJFFCP78DA,新社段,2119.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150001
RPQNMLQJKHJFFCP78DA,新社段,31.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,06150004
RPQNMLQJKHJFFCP78DA,新社段,62.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,06150005
RPQNMLRJKHJFFCP88DA,埔西段,93.88,都市：農,1,1,全筆移轉,02760000
RPQNMLRJKHJFFCP88DA,埔西段,834.72,都市：農,1,1,全筆移轉,02230000
RPTOMLKKKHJFFAP58EA,公正段,20.26,都市：住,10000,179,持分移轉,08940000
RPVNMLRLKHJFFCP96DA,埔北段,132.87,都市：住,1,1,全筆移轉,06650000
RPXNMLMKKHJFFAP98DA,大潭段社口小段,7.27,都市：住,432000,1381,持分移轉,01690001
RPPNMLRJKHJFFCP88EA,港尾段,1982.30,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05020000
RPQNMLMKKHJFFDP48CA,褒忠段,66.00,都市：住,2,1,持分移轉,00380000
RPRNMLRJKHJFFDP98CA,惠來厝段,53.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,01440009
RPRNMLQJKHJFFFP09CA,普令厝段,1085.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12810000
RPPNMLSLKHJFFFP66CA,安南段,53.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03490000
RPQOMLKKKHJFFAP08CA,大湖底段,1375.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01690000
RPQOMLKKKHJFFAP08CA,大湖底段,1180.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01690001
RPQOMLKKKHJFFAP08CA,大湖底段,661.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01700001
RPQNMLRJKHJFFAP58CA,光明段,107.57,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04680001
RPPNMLRJKHJFFAP48CA,光明段,107.56,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04680000
RPTNMLQJKHJFFEP66DA,保安段,3986.10,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06370000
RPTNMLRJKHJFFEP76DA,新湖段,39.30,都市：住,1,1,全筆移轉,06410011
RPUNMLRJKHJFFEP86DA,新湖段,33.88,都市：住,100,43,持分移轉,06410010
RPQOMLRJKHJFFEP56DA,西鹿段,1312.26,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02400000
RPUNMLRJKHJFFAP98CA,梅南段,2734.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03210000
RPUNMLRJKHJFFAP98CA,梅南段,9.67,非都市：一般農業區 ; 非都市編定：水利用地,9807,2289,持分移轉,03240000
RPUNMLRJKHJFFAP98CA,梅南段,5.78,非都市：一般農業區 ; 非都市編定：水利用地,9807,2289,持分移轉,03250000
RPXNMLLKKHJFFAP78CA,大湖底段,2670.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01650014
RPWNMLMKKHJFFAP78CA,芎蕉段,568.52,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03000000
RPWNMLMKKHJFFAP78CA,芎蕉段,43.50,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,03010000
RPWNMLMKKHJFFAP78CA,芎蕉段,437.10,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03020000
RPPOMLOKKHJFFAP38CA,大潭段大潭小段,210.17,都市：住,1,1,全筆移轉,10000001
RPPOMLOKKHJFFAP38CA,大潭段大潭小段,22.10,都市：住,10000,398,持分移轉,10000017
RPPOMLOKKHJFFAP38CA,大潭段大潭小段,.88,都市：住,10000,398,持分移轉,10000036
RPRNMLKKKHJFFCP28CA,中厝段,1880.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01400000
RPPNMLSLKHJFFCP98CA,頂湳段,840.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03020003
RPQNMLMKKHJFFBP28CA,豐田段,195.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16020006
RPXNMLKKKHJFFCP88CA,埔西段,89.59,都市：住,1,1,全筆移轉,06700013
RPPNMLKLKHJFFBP08CA,新安段,1802.09,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04800000
RPPNMLKLKHJFFBP08CA,新安段,358.12,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04820000
RPXNMLTKKHJFFAP96CA,光明段,41.54,非都市：工業區 ; 非都市編定：丁種建築用地,2,1,持分移轉,04810000
RPXNMLTKKHJFFAP96CA,光明段,41.54,非都市：工業區 ; 非都市編定：丁種建築用地,2,1,持分移轉,04810000
RPXNMLTKKHJFFAP96CA,光明段,14.21,非都市：工業區 ; 非都市編定：丁種建築用地,2,1,持分移轉,04820002
RPXNMLTKKHJFFAP96CA,光明段,14.21,非都市：工業區 ; 非都市編定：丁種建築用地,2,1,持分移轉,04820002
RPQNMLRJKHJFFBP68CA,僑真段,15.92,都市：住,10000,206,持分移轉,00250000
RPPNMLRJLHJFFAP58CA,崙南段,1215.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11330000
RPRNMLNKKHJFFAP38CA,溝子埧段溝子埧小段,1142.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05320001
RPPNMLOKKHJFFBP48DA,大埤段,2605.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,29210001
RPSNMLNKKHJFFAP48CA,溝子埧段溝子埧小段,1143.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05320002
RPUNMLLKKHJFFAP48CA,大潭段大潭小段,1179.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04040000
RPUNMLLKKHJFFAP48CA,大潭段大潭小段,1179.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04040001
RPUNMLLKKHJFFAP48CA,大潭段大潭小段,1179.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04040002
RPUNMLLKKHJFFAP48CA,大潭段大潭小段,1179.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04040003
RPRNMLLKKHJFFAP18CA,五華段,13872.11,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06970008
RPVNMLLKKHJFFAP58CA,大崙段大崙小段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00700056
RPVNMLOKKHJFFAP88CA,保庄段,86.01,都市：住,1,1,全筆移轉,04020000
RPVNMLRLKHJFFDP96CA,公安段,17.79,都市：住,10000,106,持分移轉,03070000
RPWNMLOJLHJFFAP98CA,北環段,167.83,都市：住,1,1,全筆移轉,01830017
RPWNMLOJLHJFFAP98CA,北環段,44.09,都市：住,6,1,持分移轉,01830000
RPTNMLPJLHJFFAP78CA,大埔尾段,4.50,非都市：特定農業區 ; 非都市編定：交通用地,4,1,持分移轉,42600000
RPTNMLPJLHJFFAP78CA,大埔尾段,141.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,42610000
RPTNMLPJLHJFFAP78CA,大埔尾段,435.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,42610005
RPTNMLPJLHJFFAP78CA,大埔尾段,5.75,非都市：特定農業區 ; 非都市編定：交通用地,4,1,持分移轉,42690000
RPTNMLKLKHJFFAP38CA,光明段,58.01,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04820000
RPTNMLKLKHJFFAP38CA,光明段,20.74,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04830007
