編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLQJKHJFFCT96CC,五魁寮段一小段,67.98,都市：住,,,,02160002
RPPOMLRJKHJFFAT56CC,斯文段,53.00,都市：商,,,,02160002
RPPOMLRJKHJFFAT56CC,斯文段,30.00,都市：商,,,,02130003
RPVOMLRJKHJFFAT27DC,洛陽段,74.00,都市：住,,,,08320005
RPWOMLMKKHJFFAT86CC,溝美段一小段,124.00,都市：住,,,,03110000
RPWOMLMKKHJFFAT86CC,溝美段一小段,124.00,都市：住,,,,03120000
RPWOMLMKKHJFFAT86CC,溝美段一小段,101.00,都市：住,,,,03130000
RPSOMLRKKHJFFAT07DC,街頭段六小段,16.00,都市：住,,,,01580001
RPSOMLRKKHJFFAT07DC,街頭段六小段,98.00,都市：住,,,,01580002
RPXPMLRKLHJFFAT67CC,明正段,80.00,都市：住,,,,06020019
RPRNMLKLKHJFFDT09CC,大東段,161.69,都市：住,,,,03780000
RPXOMLQJLHJFFCT57CC,明德段,55.76,都市：住,,,,13100000
RPXOMLQJLHJFFCT57CC,富春段,28.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03550000
RPTNMLOKLHJFFAT86DC,新街段二小段,220.00,都市：商,,,,00440000
RPXNMLSKLHJFFCT77CC,五魁寮段一小段,109.92,都市：住,,,,00110017
RPVNMLOLLHJFFCT27CC,三共段,95.12,都市：其他:,,,,05020000
RPQNMLRLLHJFFCT07CC,萬全段,111.60,都市：其他:,,,,12160000
RPPOMLSLLHJFFAT96CC,建國段,103.00,都市：住,,,,14940000
RPWNMLQLLHJFFCT57CC,中洲段,169.56,都市：其他:,,,,11420000
RPTNMLPLKHJFFCT07CC,新五魁段,72.38,都市：其他:,,,,09950000
RPTNMLPLKHJFFCT07CC,新五魁段,5.29,都市：其他:,,,,09980000
RPSNMLLJMHJFFAT98CC,萬年段,109.00,都市：住,,,,01750001
RPVNMLKKMHJFFCT86CC,新榮段,125.10,都市：住,,,,03670000
RPPOMLQKMHJFFCT96CC,東寧段,37.34,都市：住,,,,08570002
RPPOMLQKMHJFFCT96CC,東寧段,87.66,都市：住,,,,08660002
RPVOMLSJMHJFFAT47CC,香揚段,20.36,都市：住,,,,04610000
RPPOMLRLKHJFFAT76CC,林內段,854.00,都市：住,,,,13880001
RPPOMLSKMHJFFCT17CC,新光華段,77.10,都市：住,,,,04920000
RPPPMLMLMHJFFAT66DC,大埔段一小段,11.00,都市：商,,,,00360000
RPPPMLMLMHJFFAT66DC,大埔段一小段,74.00,都市：商,,,,00370000
RPTPMLMLMHJFFAT07DC,勝興段,50.00,都市：住,,,,16890000
RPXOMLMLMHJFFAT37DC,水源段二小段,19.55,都市：住,,,,00210000
RPQOMLPKMHJFFAT86DC,灰?段,114.00,都市：住,,,,24190000
RPSNMLOJLHJFFAT56CC,北勢段,97.00,都市：住,,,,07820023
RPWOMLQJLHJFFCT47CC,隘寮段,1450.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,05930015
RPQNMLNLMHJFFDT86CC,新愛段,87.93,都市：其他:,,,,02290000
RPQNMLNLMHJFFDT86CC,新愛段,253.95,都市：其他:,,,,02310000
RPQNMLNLMHJFFDT86CC,新愛段,29.21,都市：其他:,,,,02320001
RPXNMLPLMHJFFCT67CC,鳳明段,1690.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08100000
