編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLOJNHJFFBC47CA,15,41.38,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPTNMLPJNHJFFBC77CA,17,81.82,住家用,鋼筋混凝土造,86年6月7日,六層,一層 陽台 平台
RPTNMLPJNHJFFBC77CA,17,8.13,共有部分,鋼筋混凝土造,86年6月7日,六層,
RPTNMLPJNHJFFBC77CA,17,4.14,共有部分,鋼筋混凝土造,86年6月7日,六層,
RPTNMLPJNHJFFBC77CA,17,10.40,共有部分,鋼筋混凝土造,86年6月7日,六層,
RPUNMLSJNHJFFBC18CA,6,40.70,住家用,鋼骨鋼筋混凝土造,97年2月4日,三十一層,十九層 陽台
RPUNMLPJNHJFFBC87CA,18,96.82,住家用,鋼筋混凝土造,85年3月9日,十五層,十一層 陽台
RPUNMLSJNHJFFBC18CA,6,8.63,共有部分,鋼骨鋼筋混凝土造,97年2月4日,三十一層,
RPUNMLPJNHJFFBC87CA,18,17.22,共有部分,鋼筋混凝土造,85年3月9日,十五層,
RPUNMLSJNHJFFBC18CA,6,8.42,共有部分,鋼骨鋼筋混凝土造,97年2月4日,三十一層,
RPUNMLPJNHJFFBC87CA,18,36.84,共有部分,鋼筋混凝土造,85年3月9日,十五層,
RPVNMLPJNHJFFBC97CA,20,90.16,住家用,鋼筋混凝土造,83年6月7日,五層,五層 陽台 夾層
RPVNMLPJNHJFFBC97CA,20,2.32,共有部分,鋼筋混凝土造,83年6月7日,五層,
RPVNMLRJNHJFFBC18CA,39,83.55,住家用,加強磚造,64年6月4日,二層,二層
RPVNMLSJNHJFFBC28CA,18,54.74,住家用,鋼筋混凝土造,85年3月9日,十五層,二層 陽台
RPVNMLSJNHJFFBC28CA,18,9.68,共有部分,鋼筋混凝土造,85年3月9日,十五層,
RPXNMLSJNHJFFBC48CA,25,71.51,住家用,鋼筋混凝土造,78年4月11日,五層,四層 陽台
RPOOMLMKNHJFFBC17CA,18,54.55,辦公室,鋼筋混凝土造,85年9月26日,七層,四層 花台
RPOOMLMKNHJFFBC17CA,18,11.32,共有部分,鋼筋混凝土造,85年9月26日,七層,
RPOOMLMKNHJFFBC17CA,18,4.31,共有部分,鋼筋混凝土造,85年9月26日,七層,
RPOPMLMKNHJFFBC27CA,15,65.98,住家用,鋼筋混凝土造,88年1月14日,十六層,十三層 陽台
RPOPMLMKNHJFFBC27CA,15,13.92,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPOPMLMKNHJFFBC27CA,15,.41,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPOPMLMKNHJFFBC27CA,15,2.07,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPOPMLMKNHJFFBC27CA,15,1.62,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPOPMLMKNHJFFBC27CA,15,.79,共有部分,鋼筋混凝土造,88年1月14日,十六層,
RPUOMLMKNHJFFBC77CA,1,141.03,住家用,鋼筋混凝土造,102年7月22日,十八層,十三層 陽台 雨遮
RPUOMLMKNHJFFBC77CA,1,56.84,本共有部分之項目有頂蓋型開放空間、樓梯間、梯廳、機械室、水箱、樓電梯間、停車空間、防空避難室兼停車空間、中繼機房、公共服務空間、陽台、雨遮等共１２項。,鋼筋混凝土造,102年7月22日,十八層,
