編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLOJQHJFFCB28CB,坡道機械,0,12.34,
RPTNMLOJQHJFFCB08CB,坡道機械,0,14.11,
RPWNMLOJQHJFFCB38CB,坡道機械,0,14.11,
RPXNMLOJQHJFFCB48CB,坡道機械,0,12.34,
RPUNMLOJQHJFFCB18CB,坡道機械,0,13.52,
RPROMLOJQHJFFCB97CB,坡道機械,0,14.11,
RPPOMLOJQHJFFCB77CB,坡道機械,0,12.34,
RPOOMLOJQHJFFCB67CB,坡道機械,0,12.15,
RPQOMLOJQHJFFCB87CB,坡道機械,0,12.15,
RPTOMLOJQHJFFCB18CB,坡道機械,0,14.11,
RPUOMLOJQHJFFCB28CB,坡道機械,0,14.11,
RPVOMLOJQHJFFCB38CB,坡道機械,0,12.34,
RPXPMLOJQHJFFCB68CB,坡道機械,0,13.52,
RPPPMLOJQHJFFCB87CB,坡道機械,0,12.34,
RPOQMLOJQHJFFCB87CB,坡道機械,0,14.11,
RPXOMLOJQHJFFCB58CB,坡道機械,0,12.34,
RPVPMLOJQHJFFCB48CB,坡道機械,0,13.52,
RPWPMLOJQHJFFCB58CB,坡道機械,0,14.21,
RPPQMLOJQHJFFCB97CB,坡道機械,0,14.11,
RPRQMLOJQHJFFCB18CB,坡道機械,0,13.52,
RPQQMLOJQHJFFCB08CB,坡道機械,0,13.52,
RPUQMLOJQHJFFCB48CB,坡道機械,0,12.34,
RPSQMLOJQHJFFCB28CB,坡道機械,0,12.34,
RPWQMLOJQHJFFCB68CB,坡道機械,0,14.11,
RPVQMLOJQHJFFCB58CB,坡道機械,0,13.52,
RPXQMLOJQHJFFCB78CB,坡道機械,0,12.34,
RPORMLOJQHJFFCB97CB,坡道機械,0,14.11,
RPTSMLOJQHJFFCB58CB,坡道平面,0,21.95,
RPVSMLOJQHJFFCB78CB,坡道機械,0,12.34,
RPPTMLOJQHJFFCB28CB,坡道機械,0,14.11,
RPOTMLOJQHJFFCB18CB,坡道機械,0,14.11,
RPUSMLOJQHJFFCB68CB,坡道平面,0,21.95,
RPRRMLOJQHJFFCB28CB,坡道機械,0,14.11,
RPWSMLOJQHJFFCB88CB,坡道機械,0,14.11,
RPQRMLOJQHJFFCB18CB,坡道平面,0,21.95,
RPPRMLOJQHJFFCB08CB,坡道平面,0,21.95,
RPXSMLOJQHJFFCB98CB,坡道平面,0,21.95,
RPQPMLPJQHJFFCB08CB,坡道平面,0,21.95,
RPXOMLPJQHJFFCB68CB,坡道平面,0,21.95,
RPPPMLPJQHJFFCB97CB,坡道平面,0,19.99,
RPQTMLOJQHJFFCB38CB,坡道平面,0,21.95,
RPSPMLPJQHJFFCB28CB,坡道平面,0,21.95,
RPRTMLOJQHJFFCB48CB,坡道平面,0,21.95,
RPSTMLOJQHJFFCB58CB,坡道機械,0,14.11,
RPRPMLPJQHJFFCB18CB,坡道平面,0,19.99,
RPTPMLPJQHJFFCB38CB,坡道平面,0,19.99,
RPVPMLPJQHJFFCB58CB,坡道機械,0,12.34,
RPSQMLPJQHJFFCB38CB,坡道機械,0,13.52,
RPQQMLPJQHJFFCB18CB,坡道機械,0,14.11,
RPXPMLPJQHJFFCB78CB,坡道機械,0,12.34,
RPOQMLPJQHJFFCB97CB,坡道機械,0,12.34,
RPTQMLPJQHJFFCB48CB,坡道機械,0,12.34,
RPRQMLPJQHJFFCB28CB,坡道機械,0,12.34,
RPXQMLPJQHJFFCB88CB,坡道機械,0,14.11,
RPORMLPJQHJFFCB08CB,坡道機械,0,12.15,
RPOSMLPJQHJFFCB18CB,坡道機械,0,14.11,
RPPSMLPJQHJFFCB28CB,坡道機械,0,14.11,
RPRRMLPJQHJFFCB38CB,坡道機械,0,12.34,
RPXRMLPJQHJFFCB98CB,坡道機械,0,12.15,
RPWRMLPJQHJFFCB88CB,坡道機械,0,14.11,
RPVRMLPJQHJFFCB78CB,坡道機械,0,12.15,
RPTRMLPJQHJFFCB58CB,坡道機械,0,12.15,
RPSRMLPJQHJFFCB48CB,坡道機械,0,12.15,
RPQRMLPJQHJFFCB28CB,坡道機械,0,14.11,
RPPRMLPJQHJFFCB18CB,坡道機械,0,13.52,
RPQSMLPJQHJFFCB38CB,坡道機械,0,14.11,
RPTSMLPJQHJFFCB68CB,坡道機械,0,14.11,
RPSSMLPJQHJFFCB58CB,坡道機械,0,14.11,
RPUSMLPJQHJFFCB78CB,坡道機械,0,12.15,
RPRSMLPJQHJFFCB48CB,坡道機械,0,12.15,
RPVSMLPJQHJFFCB88CB,坡道機械,0,14.11,
RPXSMLPJQHJFFCB09CB,坡道機械,0,12.15,
RPPTMLPJQHJFFCB38CB,坡道平面,0,21.95,
RPRTMLPJQHJFFCB58CB,坡道平面,0,21.95,
RPQTMLPJQHJFFCB48CB,坡道平面,0,21.95,
RPTTMLPJQHJFFCB78CB,坡道平面,0,21.95,
RPWTMLPJQHJFFCB09CB,坡道平面,0,21.95,
RPUTMLPJQHJFFCB88CB,坡道平面,0,21.95,
RPQUMLPJQHJFFCB58CB,坡道平面,0,14.11,
RPXTMLPJQHJFFCB56CB,坡道平面,0,21.95,
RPVTMLPJQHJFFCB98CB,坡道平面,0,21.95,
RPRUMLPJQHJFFCB68CB,坡道平面,0,21.95,
RPOUMLPJQHJFFCB38CB,坡道平面,0,21.95,
RPTUMLPJQHJFFCB88CB,坡道平面,0,21.95,
RPPUMLPJQHJFFCB48CB,坡道平面,0,21.95,
RPSUMLPJQHJFFCB78CB,坡道平面,0,21.95,
RPUNMLQJQHJFFCB38CB,坡道機械,0,12.34,
RPSNMLQJQHJFFCB18CB,坡道機械,0,12.15,
RPWNMLQJQHJFFCB58CB,坡道機械,0,12.15,
RPUUMLPJQHJFFCB98CB,坡道平面,0,21.95,
RPVUMLPJQHJFFCB09CB,坡道平面,0,21.95,
RPTNMLQJQHJFFCB28CB,坡道機械,0,14.11,
RPOOMLQJQHJFFCB87CB,坡道機械,0,14.11,
RPVNMLQJQHJFFCB48CB,坡道機械,0,14.11,
RPXNMLQJQHJFFCB68CB,坡道機械,0,14.11,
RPPOMLQJQHJFFCB97CB,坡道機械,0,12.15,
RPROMLQJQHJFFCB18CB,坡道機械,0,12.34,
RPQOMLQJQHJFFCB08CB,坡道機械,0,14.11,
RPRPMLQJQHJFFCB28CB,坡道平面,0,21.95,
RPPPMLQJQHJFFCB08CB,坡道機械,0,14.11,
RPWOMLQJQHJFFCB68CB,坡道平面,0,21.95,
RPQPMLQJQHJFFCB18CB,坡道平面,0,21.95,
RPVOMLQJQHJFFCB58CB,坡道平面,0,21.95,
RPXOMLQJQHJFFCB78CB,坡道平面,0,21.95,
RPTPMLQJQHJFFCB48CB,坡道平面,0,21.95,
RPTOMLQJQHJFFCB38CB,坡道機械,0,14.11,
RPTOMLQJQHJFFCB38CB,坡道平面,0,21.95,
RPSPMLQJQHJFFCB38CB,坡道平面,0,21.95,
RPUOMLQJQHJFFCB48CB,坡道平面,0,21.95,
RPVPMLQJQHJFFCB68CB,坡道機械,0,12.34,
RPXPMLQJQHJFFCB88CB,坡道機械,0,14.11,
RPQQMLQJQHJFFCB28CB,坡道機械,0,14.11,
RPRQMLQJQHJFFCB38CB,坡道機械,0,14.11,
RPOQMLQJQHJFFCB08CB,坡道機械,0,12.15,
RPPQMLQJQHJFFCB18CB,坡道機械,0,14.11,
RPSQMLQJQHJFFCB48CB,坡道機械,0,14.11,
RPTQMLQJQHJFFCB58CB,坡道機械,0,14.11,
RPUQMLQJQHJFFCB68CB,坡道機械,0,14.11,
RPORMLQJQHJFFCB18CB,坡道機械,0,14.11,
RPWQMLQJQHJFFCB88CB,坡道機械,0,14.11,
RPSRMLRJQHJFFCB68CB,坡道機械,0,14.11,
RPXQMLQJQHJFFCB98CB,坡道機械,0,14.11,
RPURMLRJQHJFFCB88CB,坡道機械,0,14.11,
RPVQMLQJQHJFFCB78CB,坡道機械,0,14.11,
RPTRMLRJQHJFFCB78CB,坡道機械,0,12.15,
RPVRMLRJQHJFFCB98CB,坡道機械,0,14.11,
RPRRMLRJQHJFFCB58CB,坡道機械,0,14.11,
RPXRMLRJQHJFFCB56CB,坡道機械,0,14.11,
RPQSMLRJQHJFFCB58CB,坡道機械,0,14.11,
RPWRMLRJQHJFFCB09CB,坡道機械,0,14.11,
RPOSMLRJQHJFFCB38CB,坡道機械,0,14.11,
RPPSMLRJQHJFFCB48CB,坡道機械,0,12.34,
RPRSMLRJQHJFFCB68CB,坡道機械,0,14.11,
RPQTMLRJQHJFFCB68CB,坡道平面,0,21.95,
RPOTMLRJQHJFFCB48CB,坡道平面,0,21.95,
RPRTMLRJQHJFFCB78CB,坡道平面,0,21.95,
RPUSMLRJQHJFFCB98CB,坡道平面,0,21.95,
RPPTMLRJQHJFFCB58CB,坡道平面,0,21.95,
RPSSMLRJQHJFFCB78CB,坡道平面,0,21.95,
RPTSMLRJQHJFFCB88CB,坡道平面,0,19.99,
RPSTMLRJQHJFFCB88CB,坡道平面,0,21.95,
RPXSMLRJQHJFFCB66CB,坡道機械,0,12.34,
RPWSMLRJQHJFFCB56CB,坡道平面,0,21.95,
RPUTMLRJQHJFFCB09CB,坡道平面,0,21.95,
RPTTMLRJQHJFFCB98CB,坡道機械,0,14.11,
RPWTMLRJQHJFFCB66CB,坡道平面,0,21.95,
RPOUMLRJQHJFFCB58CB,坡道平面,0,21.95,
