編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLPJQHJFFBK98CC,恭敬段,86.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,20530000
RPQNMLNKQHJFFFK09CC,六合段,81.54,非都市： ; 非都市編定：,,,,09860015
RPQNMLNKQHJFFFK09CC,六合段,23.47,非都市： ; 非都市編定：,,,,09860006
RPPNMLMKRHJFFBK68DC,苗栗段,30.00,都市：住,,,,06970011
RPPNMLMKRHJFFBK68DC,苗栗段,30.00,都市：住,,,,06970012
RPPNMLMKRHJFFBK68DC,苗栗段,23.00,都市：住,,,,06970002
RPPNMLMKRHJFFBK68DC,苗栗段,20.00,都市：住,,,,06970003
RPSNMLMJRHJFFDK09DC,立達段,93.48,都市：住,,,,00110009
RPSNMLMJRHJFFDK09DC,立達段,93.48,都市：住,,,,00110010
RPPOMLPKRHJFFBK98CC,巨蛋段,36.78,都市：住,,,,03700000
RPPOMLPKRHJFFBK98CC,巨蛋段,50.20,都市：住,,,,03710000
RPVNMLOJRHJFFDK86CC,竹南段三小段,144.00,都市：其他:住商混合,,,,08750000
RPPOMLQLQHJFFBK09CC,華清段,.00,都市：住,,,,13220000
RPSNMLQKRHJFFFK07CC,田寮段二小段,140.00,都市：工,,,,01310012
RPXNMLPKRHJFFDK27CC,中興段中興小段,110.00,都市：住,,,,00730002
RPRNMLQKRHJFFFK96CC,蟠桃段忠孝小段,107.00,都市：住,,,,10390000
RPTNMLMJIIJFFCK28DC,玉山段,77.47,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07200000
RPSNMLMJIIJFFCK18DC,玉山段,77.47,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07200000
RPQNMLQKIIJFFDK58DC,竹南段二小段,288.00,都市：住,,,,02910000
RPQNMLQKIIJFFDK58DC,竹南段二小段,491.00,都市：住,,,,02660000
RPRNMLRKRHJFFCK86DC,福田段,163.78,都市：商,,,,04280000
RPVNMLLLIIJFFBK38CC,維祥段維祥小段,144.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03160000
RPPNMLMLIIJFFBK87CC,苗栗段,10.00,都市：住,,,,09760000
RPTNMLLLIIJFFBK18CC,苗栗段,35.76,都市：住,,,,10740000
RPOOMLTLIIJFFDK78CC,中興段中興小段,570.00,都市：住,,,,02630000
