編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLNJJIJFFAG57EC,中華段,2.57,都市：住,,,,14230000
RPOOMLNJJIJFFAG57EC,中華段,1.14,都市：住,,,,14230001
RPOOMLNJJIJFFAG57EC,中華段,16.85,都市：住,,,,14250000
RPXNMLQJJIJFFBG58CC,慶安段,68.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,08570000
RPQNMLKKJIJFFBG37CC,慶安段,68.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,08570000
RPPOMLNJJIJFFAG47CC,東安段,52.00,都市：住,,,,10650000
RPXOMLNJJIJFFBG38CC,珍子滿力段擺厘小段,.00,都市：住,,,,00620005
RPXOMLNJJIJFFBG38CC,宜榮段,.00,都市：住,,,,02750008
RPRPMLKLJIJFFBG77CC,金六結段金結小段,80.00,都市：住,,,,00260132
RPSNMLLLJIJFFBG87DC,艮門一段,76.01,都市：住,,,,07810000
RPXNMLRKJIJFFAG88EC,北成段,12.54,都市：商,,,,16780000
RPTPMLOLJIJFFBG38CC,珍子滿力段擺厘小段,.00,都市：住,,,,00360001
RPVOMLLLJIJFFAG28EC,季新段,53.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05390000
RPVOMLSLJIJFFBG88CC,壯一段,.00,都市：商,,,,00850011
RPVOMLSLJIJFFBG88CC,壯一段,.00,都市：商,,,,00850012
RPVOMLSLJIJFFBG88CC,壯一段,.00,都市：商,,,,00850013
RPUNMLNJKIJFFBG08CC,乾門一段,96.94,都市：商,,,,05060000
RPTNMLNJKIJFFBG97CC,金六結一段,.00,都市：住,,,,02080000
RPPQMLRJJHKFFBG18CC,梅洲新段,3590.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,04390000
RPPNMLKMKIJFFBG57CC,金六結段六結小段,.00,都市：住,,,,00030055
RPSOMLRJJHKFFAG38EC,北成段,76.00,都市：住,,,,12780000
RPSOMLSJJHKFFAG48EC,國民一段,791.64,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,00460000
RPPOMLMKJHKFFBG57CC,金六結段六結小段,95.00,都市：住,,,,00030037
RPVNMLOKJHKFFBG48EC,珍子滿力段擺厘小段,.00,都市：住,,,,00560000
RPPPMLQLKIJFFAG18CC,季新段,53.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05510000
RPTNMLQLJIJFFAG28CC,南昌段,.66,都市：商,,,,14590000
RPTNMLQLJIJFFAG28CC,南昌段,35.33,都市：商,,,,14600000
RPOOMLQJJIJFFAG67CC,三結段,79.64,都市：住,,,,03180000
RPSPMLTJKIJFFAG58CC,興東段,.00,都市：商,,,,03480000
RPSPMLTJKIJFFAG58CC,興東段,.00,都市：商,,,,03490000
RPSOMLTKJIJFFAG48CC,興東段,.00,都市：住,,,,13120000
RPXNMLRJJIJFFAG58CC,北成段,9.98,都市：住,,,,08840000
RPQOMLSLJHKFFBG38CC,乾門三段,.00,都市：商,,,,00590000
RPROMLKMJHKFFBG77CC,白玉段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03320000
RPXOMLKMJHKFFAG28CC,維揚段,8.50,都市：住,,,,03210000
RPQNMLMKJHKFFAG47CC,光華段,115.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,05850004
RPPOMLLLJHKFFAG47CC,義成八段,96.02,都市：農,,,,05080000
RPQNMLMKJHKFFAG47CC,光華段,20.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,05850017
RPTNMLOKJHKFFAG97CC,北成段,78.00,都市：住,,,,07700000
RPUNMLOKJHKFFAG08CC,南昌段,22.81,都市：住,,,,07360000
RPXNMLLLJHKFFAG18CC,東光段,112.00,都市：住,,,,08220000
RPXNMLLLJHKFFAG18CC,東光段,112.00,都市：住,,,,08220000
