編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLQJJIJFFGH48CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPXNMLQJJIJFFGH09CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPROMLQJJIJFFGH58CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPSOMLQJJIJFFGH68CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPRNMLQJJIJFFGH48CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPVOMLQJJIJFFGH98CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPUOMLQJJIJFFGH88CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPTOMLQJJIJFFGH78CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPWPMLQJJIJFFGH56CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPXQMLQJJIJFFGH76CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPUPMLQJJIJFFGH98CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPXPMLQJJIJFFGH66CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPSPMLQJJIJFFGH78CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPWQMLQJJIJFFGH66CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPVQMLQJJIJFFGH56CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPOQMLQJJIJFFGH48CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPRPMLQJJIJFFGH68CB,廣北段,9.71,都市：商,10000,30,持分移轉,05640000
RPPQMLQJJIJFFGH58CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPPRMLQJJIJFFGH68CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPWRMLQJJIJFFGH76CB,廣北段,5.83,都市：商,10000,18,持分移轉,05640000
RPPTMLQJJIJFFGH88CB,廣北段,6.80,都市：商,10000,21,持分移轉,05640000
