編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUTMLOJJIJFFBJ78CA,2,280.79,住家用,鋼筋混凝土造,103年7月22日,二十四層,十六層 陽台 雨遮
RPUTMLOJJIJFFBJ78CA,2,148.07,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、管理委員室、沿街步道式、廣場式（頂蓋型）開放空間、樓梯間等六項,鋼筋混凝土造,103年7月22日,二十四層,
RPUTMLOJJIJFFBJ78CA,2,54.16,本共有部分之項目有樓梯間、機械室、水箱等三項,鋼筋混凝土造,103年7月22日,二十四層,
RPSOMLQJJIJFFBJ28CA,1,176.62,住家用,鋼筋混凝土造,102年11月10日,二十層,八層 陽台 雨遮
RPSOMLQJJIJFFBJ28CA,1,38.55,本共有部分之項目有樓梯間、機械室、水箱等３項,鋼筋混凝土造,102年11月10日,二十層,
RPSOMLQJJIJFFBJ28CA,1,4.89,本共有部分之項目有機車停車位等一項。,鋼筋混凝土造,102年11月10日,二十層,
RPSOMLQJJIJFFBJ28CA,1,41.10,本共有部分之項目有管理員室、開放空間、管委會使用空間等３項,鋼筋混凝土造,102年11月10日,二十層,
RPSOMLQJJIJFFBJ28CA,1,115.66,本共有部分之項目有防空避難室兼停車空間，機械室，水箱等三項,鋼筋混凝土造,102年11月10日,二十層,
RPQNMLSJJIJFFBJ18CA,4,71.85,住商用,鋼筋混凝土造,100年1月14日,十八層,一層 陽台 雨遮 見其他登記事項
RPQNMLSJJIJFFBJ18CA,4,7.00,本共有部分之項目有廣場式有頂蓋開放空間、垃圾處理室、公共服務空間、防災中心、管理員室、梯間、中繼水箱等七項,鋼筋混凝土造,100年1月14日,十八層,
RPQNMLSJJIJFFBJ18CA,4,43.79,本共有部分之項目有停車空間、防空避難室等二項,鋼筋混凝土造,100年1月14日,十八層,
RPVNMLSJJIJFFBJ68CA,8,68.52,住家用,鋼筋混凝土造,95年5月24日,十層,一層 陽台
RPVNMLSJJIJFFBJ68CA,8,41.59,共用部分,鋼筋混凝土造,95年5月24日,十層,
RPVNMLSJJIJFFBJ68CA,8,10.60,共用部分,鋼筋混凝土造,95年5月24日,十層,
RPRRMLOJJIJFFBJ38DA,21,74.65,住家用,鋼筋混凝土造,83年1月17日,七層,七層 陽台
RPRRMLOJJIJFFBJ38DA,21,10.59,共用部分,鋼筋混凝土造,83年1月17日,七層,
RPRRMLOJJIJFFBJ38DA,21,11.33,共用部分,鋼筋混凝土造,83年1月17日,七層,
RPTNMLSJJIJFFBJ48CA,7,.54,管理員室,鋼筋混凝土造,96年6月25日,十四層,
RPTNMLSJJIJFFBJ48CA,7,.03,共用部分,鋼筋混凝土造,96年6月25日,十四層,
RPTNMLSJJIJFFBJ48CA,7,57.62,共用部分,鋼筋混凝土造,96年6月25日,十四層,
RPTNMLSJJIJFFBJ48CA,7,96.13,住家用,鋼筋混凝土造,96年6月25日,十四層,七層 陽台 雨遮
RPTNMLSJJIJFFBJ48CA,7,23.72,共用部分,鋼筋混凝土造,96年6月25日,十四層,
RPTNMLSJJIJFFBJ48CA,7,9.41,共用部分,鋼筋混凝土造,96年6月25日,十四層,
RPOOMLSLJIJFFDJ58DA,1,189.97,住宅、店舖、停車空間,鋼筋混凝土造,102年11月7日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
RPTNMLPJJIJFFDJ38CA,,328.71,停車空間、住宅,鋼筋混凝土造,103年6月17日,四層,一層 二層 三層 四層 陽台
RPQNMLRJJIJFFDJ28CA,1,171.53,住家用,鋼筋混凝土造,103年3月18日,四層,一層 二層 三層 四層 陽台
RPOTMLOJJIJFFBJ18CA,,115.20,住家用,加強磚造,,二層,一層 二層
RPTNMLMKJIJFFDJ18CA,19,81.31,住家用,鋼筋混凝土造,84年8月30日,五層,五層 陽台
RPTNMLMKJIJFFDJ18CA,19,8.07,共用部分,鋼筋混凝土造,84年8月30日,五層,
RPTNMLMKJIJFFDJ18CA,19,1.39,共用部分,鋼筋混凝土造,84年8月30日,五層,
RPWTMLOJJIJFFBJ98CA,2,280.79,住家用,鋼筋混凝土造,103年7月22日,二十四層,二十層 陽台 雨遮
RPWTMLOJJIJFFBJ98CA,2,148.07,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、管理委員室、沿街步道式、廣場式（頂蓋型）開放空間、樓梯間等六項,鋼筋混凝土造,103年7月22日,二十四層,
RPWTMLOJJIJFFBJ98CA,2,54.16,本共有部分之項目有樓梯間、機械室、水箱等三項,鋼筋混凝土造,103年7月22日,二十四層,
RPQOMLQJJIJFFBJ08CA,,249.28,住家用,鋼筋混凝土加強磚造,,三層,一層 二層 三層 騎樓
RPOUMLOJJIJFFBJ28CA,1,237.14,住家用,鋼筋混凝土造,103年7月22日,二十四層,二十三層 陽台 雨遮
RPOUMLOJJIJFFBJ28CA,1,45.34,本共有部分之項目有樓梯間、機械室、水箱等三項,鋼筋混凝土造,103年7月22日,二十四層,
RPOUMLOJJIJFFBJ28CA,1,112.80,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、管理委員室、沿街步道式、廣場式（頂蓋型）開放空間、樓梯間等六項,鋼筋混凝土造,103年7月22日,二十四層,
RPQPMLQJJIJFFBJ18CA,8,304.49,住家用,鋼筋混凝土造,95年12月4日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
RPVOMLLKJIJFFBJ18CA,9,213.65,住家用,鋼筋混凝土造,94年9月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
RPVOMLLKJIJFFBJ18CA,9,1.65,共用部分,鋼筋混凝土造,94年9月28日,四層,
RPRNMLPJJIJFFBJ97CA,2,215.03,商業用,鋼筋混凝土造,101年10月4日,十九層,一層 陽台 地下一層
RPRNMLPJJIJFFBJ97CA,2,153.58,本共有部分之項目有停車空間、梯間、機械室、水箱等四項,鋼筋混凝土造,101年10月4日,十九層,
RPVNMLNKJIJFFBJ28CA,4,69.25,住家用,鋼筋混凝土造,99年12月31日,十二層,十層 陽台 雨遮
RPVNMLNKJIJFFBJ28CA,4,17.22,本共有部分之項目有梯間、水箱、機械室等三項,鋼筋混凝土造,99年12月31日,十二層,
RPVNMLNKJIJFFBJ28CA,4,51.05,本共有部分之項目有防空避難室、停車空間、頂蓋型廣場式開放空間、垃圾處理室、車道、公共服務空間等六項,鋼筋混凝土造,99年12月31日,十二層,
RPWOMLOJJIJFFCJ58CA,18,97.39,住家用,鋼筋混凝土造,85年12月5日,三層,一層 二層 三層 見其他登記事項
RPWOMLOJJIJFFCJ58CA,18,97.39,住家用,鋼筋混凝土造,85年12月5日,三層,一層 二層 三層 見其他登記事項
RPVNMLPJJIJFFCJ48CA,10,194.46,住家用,鋼筋混凝土造,93年11月30日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPOMLPJJIJFFCJ97CA,18,85.39,住家用,鋼筋混凝土造,85年11月19日,八層,七層 陽台
RPPOMLPJJIJFFCJ97CA,21,5.16,娛樂間,鋼筋混凝土造,83年1月13日,八層,
RPPOMLPJJIJFFCJ97CA,21,32.03,共用部分,鋼筋混凝土造,83年1月13日,八層,
RPTOMLLLJIJFFBJ08CA,1,178.37,住家用,鋼筋混凝土造,102年11月26日,二十層,八層 陽台 雨遮
RPTOMLLLJIJFFBJ08CA,1,109.33,本共有部分之項目有停車空間、梯廳、汙水機房、消防機房、樓梯間、楊水機房、排煙室、水箱、發電機室、電信室、防空避難室兼停車空間、防災中心、電表室、台電配電室、機車停車空間、頂蓋型開放空間、機電設備空間、垃圾室、管委會使用空間、緊急升降機、中繼機房、自來水箱、機械室等二十三項。,鋼筋混凝土造,102年11月26日,二十層,
RPTOMLLLJIJFFBJ08CA,1,22.65,本共有部分之項目有樓梯間、梯間、梯廳、排煙室、緊急升降機等五項。,鋼筋混凝土造,102年11月26日,二十層,
RPVNMLRLJIJFFCJ88CA,,91.80,住家用,加強磚造,,二層,一層 二層
RPOPMLQLJIJFFCJ28CA,15,213.67,住商用,鋼筋混凝土造,89年1月24日,四層,一層 二層 三層 四層 陽台
RPTOMLLKJIJFFCJ08CA,18,59.55,住家用,鋼筋混凝土造,85年12月24日,十一層,七層 陽台
RPTOMLLKJIJFFCJ08CA,18,10.61,共用部分,鋼筋混凝土造,85年12月24日,十二層,
RPTOMLLKJIJFFCJ08CA,18,2.53,共用部分,鋼筋混凝土造,85年12月24日,十二層,
RPTOMLLKJIJFFCJ08CA,18,7.77,共用部分,鋼筋混凝土造,85年12月24日,十一層,
RPTOMLLKJIJFFCJ08CA,18,3.16,共用部分,鋼筋混凝土造,85年12月24日,十二層,
RPQNMLKKJIJFFCJ57CA,4,32.72,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSNMLKKJIJFFCJ77CA,63,131.18,住家用,磚造,40年6月1日,二層,一層 二層
RPXNMLPJJIJFFCJ68CA,1,267.66,住宅、店舖、樓梯間,鋼筋混凝土造,102年8月12日,四層,一層 二層 三層 四層 陽台 雨遮 見其他登記事項
RPTRMLKLJIJFFBJ28CA,2,178.65,住家用,鋼筋混凝土造,102年3月29日,十四層,十二層 陽台 雨遮
RPTRMLKLJIJFFBJ28CA,2,127.68,本共有部分之項目有防空避難室兼停車空間、梯廳、排煙室、水錶室、緊急昇降梯、電梯機械室等六項。,鋼筋混凝土造,102年3月29日,十四層,
RPPOMLLKJIJFFBJ57CA,14,225.30,住商用,鋼筋混凝土造,89年7月19日,四層,一層 二層 三層 四層 陽台 騎樓
RPOOMLPJJIJFFBJ77CA,4,27.45,商業用,鋼筋混凝土造,99年9月2日,七層,四層 陽台 雨遮
RPOOMLPJJIJFFBJ77CA,4,11.66,本共有部分之項目有防空避難室兼停車空間、梯廳、電梯、安全梯、管委會使用空間、管道、車道、樓梯間、機械房、冰箱等１１項,鋼筋混凝土造,99年9月2日,七層,
RPOOMLPJJIJFFBJ77CA,4,4.10,本共有部分之項目有梯廳、走廊、管道間等３項,鋼筋混凝土造,99年9月2日,七層,
RPOOMLPJJIJFFBJ77CA,4,1.14,本共有部分之項目有雨遮等１項,鋼筋混凝土造,99年9月2日,七層,
RPRNMLQJJIJFFBJ08CA,21,66.03,住家用,鋼筋混凝土造,82年5月4日,六層,四層 陽台
RPRNMLQJJIJFFBJ08CA,21,21.48,共用部分,鋼筋混凝土造,82年5月4日,六層,
RPWNMLSJJIJFFBJ78CA,13,.03,住家用,鋼筋混凝土造,90年9月3日,十層,
RPWNMLSJJIJFFBJ78CA,13,.00,共用部分,鋼筋混凝土造,90年9月3日,十層,
RPWNMLSJJIJFFBJ78CA,13,27.59,共用部分,鋼筋混凝土造,90年9月3日,十層,
RPWNMLSJJIJFFBJ78CA,13,99.72,住家用,鋼筋混凝土造,90年9月3日,十層,九層 陽台
RPWNMLSJJIJFFBJ78CA,13,10.34,共用部分,鋼筋混凝土造,90年9月3日,十層,
RPWNMLSJJIJFFBJ78CA,13,12.56,共用部分,鋼筋混凝土造,90年9月3日,十層,
RPWTMLTKJIJFFBJ96CA,5,.01,商業用,鋼筋混凝土造,98年5月4日,十五層,
RPWTMLTKJIJFFBJ96CA,5,32.10,共用部分,鋼筋混凝土造,98年5月4日,十五層,
RPWTMLTKJIJFFBJ96CA,5,.01,共用部分,鋼筋混凝土造,98年5月4日,十五層,
RPWTMLTKJIJFFBJ96CA,5,100.36,住家用,鋼筋混凝土造,98年5月4日,十五層,七層 陽台 雨遮
RPWTMLTKJIJFFBJ96CA,5,8.79,共用部分,鋼筋混凝土造,98年5月4日,十五層,
