編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLPLJIJFFAX27CA,,29.96,住家用,造,,一層,一層 廚房
RPTNMLRLJIJFFAX37DA,6,280.36,住家用,鋼筋混凝土造,97年5月9日,三層,一層 二層 三層 陽台
RPRNMLKKJIJFFAX98DA,36,82.24,住家用,鋼筋混凝土加強磚造,67年6月15日,二層,一層 二層 電梯樓梯間
RPPOMLKKJIJFFAX88DA,22,28.16,住家用,鋼筋混凝土造,82年4月22日,五層,四層
RPPOMLKKJIJFFAX88DA,22,8.43,避難室,鋼筋混凝土造,82年4月22日,五層,
RPPOMLKKJIJFFAX88DA,22,1.80,走道,鋼筋混凝土造,82年4月22日,五層,
RPVNMLKKJIJFFAX66CA,19,311.87,住家用,鋼筋混凝土造,84年8月8日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPSNMLMKJIJFFAX66DA,22,120.64,住家用,鋼筋混凝土造,81年12月30日,七層,二層
RPTNMLMKJIJFFAX76DA,38,119.25,住商用,鋼筋混凝土造,65年7月13日,三層,一層 二層 三層
RPVNMLOLJIJFFAX27DA,16,90.32,住家用,鋼筋混凝土造,87年7月23日,十層,四層 見其他登記事項
RPVNMLOLJIJFFAX27DA,16,21.67,見其他登記事項,鋼筋混凝土造,87年7月23日,十層,
RPWNMLQKJIJFFAX37CA,89,52.70,住家用,造,15年1月1日,一層,
SPRNMLNKJIJFFAX76DA,,179.26,住家用,鋼筋混凝土造,103年7月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLNKJIJFFAX66DA,,179.26,住家用,鋼筋混凝土造,103年7月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPTNMLNKJIJFFAX86DA,33,88.70,住家用,鋼筋混凝土加強磚造,70年10月27日,二層,一層 二層 電梯樓梯間
RPTNMLSKJIJFFAX37DA,30,122.80,住家用,鋼筋混凝土造,73年6月21日,三層,一層 二層 三層
RPTNMLOLJIJFFAX96CA,16,62.00,住家用,鋼筋混凝土造,87年9月25日,七層,七層 陽台
RPTNMLOLJIJFFAX96CA,16,28.54,機械房、電樓梯間、避難室,鋼筋混凝土造,87年9月25日,七層,
RPTNMLOJKIJFFAX96DA,24,576.73,住商用,鋼筋混凝土造,80年1月18日,四層,一層 二層 三層 四層 電梯樓梯間 地下層 見其他登記事項
RPPNMLKKKIJFFAX78CA,14,245.56,住家用,鋼筋混凝土造,89年11月8日,三層,一層 二層 三層 見其他登記事項
RPWOMLPLJIJFFAX47CA,38,128.04,住家用,加強磚造,65年7月1日,一層,一層
RPPNMLPLJIJFFAX76DA,19,93.46,住家用,鋼筋混凝土造,85年3月8日,十層,八層 見其他登記事項
RPPNMLPLJIJFFAX76DA,19,21.79,停車場、梯間、機械房、蓄水池、電樓梯間、走道（１～１０樓）,鋼筋混凝土造,85年3月8日,十層,
RPWNMLPLJIJFFAX47DA,33,76.32,住家用,鋼筋混凝土造,71年5月7日,四層,一層
RPWNMLPLJIJFFAX47DA,33,17.68,走廊,鋼筋混凝土造,71年5月7日,四層,
RPPNMLLLJIJFFAX98DA,3,217.37,住家用,加強磚造,100年7月4日,二層,一層 二層 見其他登記事項 見其他登記事項
RPQNMLKLJIJFFAX88CA,28,129.69,住家用,鋼筋混凝土加強磚造,76年2月9日,三層,一層 二層 三層
RPQNMLPLJIJFFAX86DA,6,252.55,住家用,鋼筋混凝土造,98年3月9日,三層,一層 二層 三層 陽台
RPQNMLKKKIJFFAX88CA,19,115.02,住家用,鋼筋混凝土造,84年8月4日,七層,七層 陽台
RPQNMLKKKIJFFAX88CA,19,39.92,,鋼筋混凝土造,84年8月4日,七層,
RPXNMLLLJIJFFAX07CA,22,134.81,住家用,鋼筋混凝土造,82年3月2日,三層,一層 二層 三層 電梯樓梯間
RPTNMLRKKIJFFAX37DA,29,96.00,住家用,鋼筋混凝土加強磚造,75年1月11日,二層,一層 二層 三層
RPXNMLSKKIJFFAX87DA,,77.71,住家用,鋼筋混凝土造,103年9月22日,一層,一層 見其他登記事項
RPPNMLRLJIJFFAX96DA,21,97.43,住家用,鋼筋混凝土造,83年5月9日,七層,七層 見其他登記事項
RPPNMLRLJIJFFAX96DA,21,2.46,梯間,鋼筋混凝土造,83年5月9日,七層,
RPPNMLRLJIJFFAX96DA,21,11.38,電梯間,鋼筋混凝土造,83年5月9日,七層,
RPPNMLRLJIJFFAX96DA,21,23.28,機械室、避難室,鋼筋混凝土造,83年5月9日,七層,
RPWNMLLKKIJFFAX07DA,,280.05,住家用,鋼筋混凝土造,103年8月4日,三層,一層 二層 三層 見其他登記事項
RPPNMLSLJIJFFAX07DA,32,110.04,住家用,鋼筋混凝土加強磚造,72年1月11日,三層,一層 二層 三層
RPUNMLSKKIJFFAX57DA,,277.85,住家用,鋼筋混凝土造,103年9月22日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPVNMLPJKIJFFAX37EA,48,26.69,住家用,鋼筋加強造,55年8月18日,一層,
RPVNMLSKKIJFFAX67DA,,310.91,住家用,鋼筋混凝土造,103年9月22日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLOLKIJFFAX66CA,19,175.06,住家用,鋼筋混凝土造,85年4月25日,五層,一層 二層 三層 四層 五層
RPXNMLKKKIJFFAX07DA,20,142.04,住家用,鋼筋混凝土造,84年3月17日,六層,四層 見其他登記事項
RPVNMLMKKIJFFAX07DA,29,132.70,住家用,鋼筋混凝土加強磚造,74年8月9日,三層,一層 二層 三層
RPQNMLMKKIJFFAX09CA,,282.54,住家用,鋼筋混凝土造,103年6月9日,三層,一層 二層 三層 見其他登記事項
RPXNMLSJJHKFFAX57CA,9,258.82,店舖,鋼骨造,94年11月3日,一層,一層
RPSNMLLMKIJFFAX76CA,19,89.22,住家用,鋼筋混凝土造,84年12月8日,七層,三層 陽台
RPSNMLLMKIJFFAX76CA,19,16.40,停車庫兼避難室,鋼筋混凝土造,84年12月8日,七層,
RPQNMLLKKIJFFAX98CA,25,417.58,住家用,鋼筋混凝土加強磚造,79年3月15日,二層,一層 二層 電梯樓梯間 夾層 地下層
RPOOMLPJJHKFFAX09CA,18,126.64,農舍,加強磚造,86年2月24日,一層,一層 電梯樓梯間
RPQNMLRKKIJFFAX07DA,33,119.36,住家用,加強磚造,70年7月1日,一層,一層
RPSNMLPKKIJFFAX96CA,36,79.07,住家用,鋼筋混凝土加強磚造,67年10月9日,二層,一層 二層 電梯樓梯間
RPVNMLQKKIJFFAX47DA,15,111.43,集合住宅,鋼筋混凝土造,89年1月11日,五層,二層 見其他登記事項
RPVNMLQKKIJFFAX47DA,15,12.27,電樓梯間，機房，梯間，水箱,鋼筋混凝土造,89年1月11日,五層,
RPWNMLQKKIJFFAX57DA,30,107.11,國民住宅,鋼筋混凝土造,73年6月29日,五層,五層 電梯樓梯間
RPQNMLMLKIJFFAX56CA,18,160.83,住商用,鋼筋混凝土造,86年1月26日,四層,
RPPOMLSKKIJFFAX27EA,18,53.15,住家用,鋼筋混凝土造,85年8月28日,十二層,四層 見其他登記事項
RPPOMLSKKIJFFAX27EA,18,16.62,電樓梯間、避難室、停車場、門廳,鋼筋混凝土造,85年8月28日,十二層,
RPSNMLTKKIJFFAX37CA,22,172.95,住家用,鋼筋混凝土造,82年3月16日,三層,一層 二層 三層 電梯樓梯間
RPTNMLMLKIJFFAX86CA,17,167.66,住家用,鋼筋混凝土造,87年5月9日,三層,一層 二層 三層 水箱 見其他登記事項
RPQNMLQJJHKFFAX76DA,20,132.22,住家用,鋼筋混凝土造,83年8月31日,七層,二層 見其他登記事項
RPROMLSJJHKFFAX17DA,17,83.50,住家用,鋼筋混凝土造,87年4月1日,五層,一層
RPROMLSJJHKFFAX17DA,17,10.69,電樓梯間,鋼筋混凝土造,87年4月1日,五層,
RPUNMLPJJHKFFAX07DA,26,268.25,住商用,鋼筋混凝土造,77年7月15日,四層,一層 二層 三層 四層 騎樓 地下層
RPQNMLPLKIJFFAX86CA,44,25.14,住家用,鋼筋加強造,60年5月6日,二層,一層 二層
RPSNMLTLKIJFFAX57DA,19,106.85,住家用,鋼筋混凝土造,84年12月8日,七層,二層 陽台
RPSNMLTLKIJFFAX57DA,19,23.63,停車庫兼避難室,鋼筋混凝土造,84年12月8日,七層,
RPXNMLPJJHKFFAX27CA,23,142.50,住家用,鋼筋混凝土造,80年8月26日,一層,一層 電梯樓梯間
RPPNMLKKJHKFFAX78DA,8,107.67,集合住宅,鋼筋混凝土造,95年7月10日,十四層,八層 陽台
RPPNMLKKJHKFFAX78DA,8,69.52,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPPNMLQJJHKFFAX56CA,19,96.89,住家用,鋼筋混凝土造,85年2月2日,八層,七層 陽台
RPPNMLQJJHKFFAX56CA,19,16.18,避難室、停車空間,鋼筋混凝土造,85年2月2日,八層,
RPPNMLQJJHKFFAX56CA,19,12.33,電氣室、台電受電室、電樓梯間,鋼筋混凝土造,85年2月2日,八層,
RPPNMLQJJHKFFAX56CA,19,1.39,門廊、門廳,鋼筋混凝土造,85年2月2日,八層,
RPRNMLQJJHKFFAX76CA,,331.18,住家用,鋼筋混凝土造,103年7月31日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPQOMLPKJHKFFAX76CA,,348.47,住家用,鋼筋混凝土造,103年11月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPOMLPKJHKFFAX66CA,,349.92,住家用,鋼筋混凝土造,103年11月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPOOMLPKJHKFFAX56CA,,348.23,住家用,鋼筋混凝土造,103年11月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLRJJHKFFAX76CA,2,318.08,住家用,鋼筋混凝土造,101年11月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLKKJHKFFAX88DA,34,80.56,國民住宅,鋼筋混凝土加強磚造,70年2月16日,二層,一層 二層 電梯樓梯間
RPXNMLNKJHKFFAX27DA,21,195.51,住家用,鋼筋混凝土造,83年5月25日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPPOMLNKJHKFFAX09CA,26,11.08,梯間、水塔,鋼筋混凝土加強磚造,77年8月8日,二層,水塔 電梯樓梯間
RPPOMLNKJHKFFAX09CA,26,127.61,住家用,鋼筋混凝土加強磚造,77年8月8日,二層,一層
RPWNMLNKJHKFFAX07CA,22,104.20,住家用,鋼筋混凝土造,81年8月1日,六層,三層
RPWNMLNKJHKFFAX07CA,22,47.60,避難室、電樓梯間,鋼筋混凝土造,81年8月1日,六層,
RPQNMLSKJHKFFAX07DA,26,133.10,住家用,鋼筋混凝土加強磚造,77年7月22日,二層,一層 二層 電梯樓梯間
RPSNMLTKJHKFFAX37DA,22,129.60,住商用,鋼筋混凝土造,82年5月12日,七層,一層 二層
RPSNMLTKJHKFFAX37DA,22,29.41,避難室,鋼筋混凝土造,82年5月12日,七層,
RPSNMLTKJHKFFAX37DA,22,6.42,,鋼筋混凝土造,82年5月12日,七層,
RPTNMLOKJHKFFAX96DA,21,117.95,住家用,鋼筋混凝土造,82年8月31日,七層,二層
RPTNMLOKJHKFFAX96DA,21,31.90,電梯樓梯間,鋼筋混凝土造,82年8月31日,七層,
RPTNMLPKJHKFFAX07DA,20,97.19,國民住宅,鋼筋混凝土造,84年1月19日,五層,三層 見其他登記事項
