編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLOJKHKFFAB07CA,土庫段,8.86,都市：其他:1.第二種住宅區2.第一種商業區,10000,16,持分移轉,00570001
RPRPMLMJKHKFFAB07CA,旱新段,23.63,都市：商,20000,270,持分移轉,00050000
RPSOMLOJKHKFFAB27CA,利民段七小段,8.50,都市：其他:公共設施保留地,14,7,持分移轉,00170022
RPSOMLOJKHKFFAB27CA,頂橋子頭段,.86,都市：其他:公共設施保留地,14,6,持分移轉,03130019
RPXOMLPJKHKFFAB87CA,土庫段,14.40,都市：住,10000,26,持分移轉,00570001
RPVNMLNJKHKFFAB37CA,下橋子頭段,18.73,都市：住,100000,87,持分移轉,02310001
RPTNMLOJKHKFFAB27CA,平和段,2.60,都市：商,10000,7,持分移轉,00500000
RPSNMLQJKHKFFAB37CA,土庫段,10.87,都市：商,10000,115,持分移轉,00670013
RPSNMLQJKHKFFAB37CA,土庫段,1.44,都市：商,10000,115,持分移轉,00670042
RPSNMLQJKHKFFAB37CA,土庫段,1.66,都市：商,10000,115,持分移轉,00670151
RPTNMLQJKHKFFAB47CA,麻園頭段,114.00,都市：住,1,1,全筆移轉,08630003
RPRPMLPJKHKFFAB37CA,下橋子頭段,7.34,都市：住,100000,185,持分移轉,02470015
RPUNMLPJKHKFFAB47CA,城隍段三小段,35.00,都市：其他:,1,1,全筆移轉,00040078
RPUNMLPJKHKFFAB47CA,城隍段三小段,3.00,都市：其他:,1,1,全筆移轉,00040105
RPTOMLNJKHKFFBB37CA,賴厝?段,15.52,都市：住,1000,83,持分移轉,01450019
RPRPMLNJKHKFFBB27CA,太和段,20.34,都市：住,100000,619,持分移轉,00620000
RPSPMLNJKHKFFBB37CA,賴厝?段,4.42,都市：商,100000,310,持分移轉,00310003
RPSPMLNJKHKFFBB37CA,邱厝子段,3.55,都市：商,100000,310,持分移轉,00310062
RPQNMLLKKHKFFAB76CA,土庫段,2.77,都市：住,10000,35,持分移轉,00570525
RPQNMLLKKHKFFAB76CA,土庫段,4.61,都市：商,10000,35,持分移轉,02370000
RPQRMLNJKHKFFBB37CA,東山段,25.85,都市：商,20,1,持分移轉,02610000
RPUNMLKKKHKFFAB07CA,下橋子頭段,7.11,都市：住,100000,375,持分移轉,01860016
RPUNMLKKKHKFFAB07CA,下橋子頭段,.36,都市：其他:道,100000,375,持分移轉,01860074
RPROMLNJKHKFFBB17CA,軍福段,16.13,都市：住,10000,117,持分移轉,00460000
RPXPMLMJKHKFFBB77CA,賴厝?段,9.47,都市：住,100000,693,持分移轉,01170002
RPVPMLNJKHKFFBB67CA,賴厝?段,.28,都市：住,100,7,持分移轉,02050039
RPVRMLNJKHKFFBB87CA,中清段,13.34,都市：住,10000,274,持分移轉,06100000
RPRRMLOJKHKFFBB57CA,水源段,2.75,都市：住,1000000,1406,持分移轉,02340003
RPRRMLOJKHKFFBB57CA,水源段,.06,都市：住,1000000,1406,持分移轉,02340005
RPQSMLNJKHKFFBB47CA,東正段,12.45,都市：商,10000,25,持分移轉,01040000
RPTSMLNJKHKFFBB77CA,大滿段,1.07,都市：住,1000000,3473,持分移轉,00060000
RPTSMLNJKHKFFBB77CA,大滿段,1.75,都市：住,1000000,3100,持分移轉,00130000
RPTSMLNJKHKFFBB77CA,大滿段,7.49,都市：住,1000000,3472,持分移轉,00910000
RPTSMLNJKHKFFBB77CA,大滿段,94.74,都市：住,1,1,全筆移轉,01780000
RPTSMLNJKHKFFBB77CA,大滿段,70.76,都市：住,1000000,3472,持分移轉,02150000
RPTSMLNJKHKFFBB77CA,大滿段,2.44,都市：住,1000000,3472,持分移轉,02990000
RPSSMLNJKHKFFBB67CA,陳平段,19.92,都市：住,100000,1220,持分移轉,03630000
RPVQMLOJKHKFFBB87CA,賴厝?段,14.38,都市：住,10000,192,持分移轉,00790002
RPQNMLPJKHKFFBB17CA,北屯段,10.90,都市：住,100000,348,持分移轉,03520003
RPWQMLPJKHKFFBB08CA,松茂段,81.00,都市：住,1,1,全筆移轉,08500010
RPWPMLPJKHKFFBB97CA,邱厝子段,18.43,都市：住,10000,66,持分移轉,00170000
RPQNMLQJKHKFFBB27CA,賴厝?段,3.40,都市：住,10000,281,持分移轉,01400000
RPQNMLQJKHKFFBB27CA,賴厝?段,13.26,都市：住,10000,281,持分移轉,01410003
RPQNMLQJKHKFFBB27CA,賴厝?段,.20,都市：住,10000,281,持分移轉,01410007
RPTNMLPJKHKFFBB47CA,平田段,15.52,都市：住,10000,38,持分移轉,04440000
RPTVMLPJKHKFFBB28CA,仁美段,2.00,都市：住,45,2,持分移轉,03460008
RPTVMLPJKHKFFBB28CA,仁美段,17.00,都市：住,380,170,持分移轉,03480006
RPTVMLPJKHKFFBB28CA,仁美段,55.00,都市：住,1,1,全筆移轉,03480009
RPTQMLQJKHKFFBB87CA,水湳段,155.00,都市：住,1,1,全筆移轉,02720000
RPTQMLQJKHKFFBB87CA,水湳段,13.00,都市：其他:道路用地,1,1,全筆移轉,02720001
RPVPMLQJKHKFFBB97CA,水源段,2.00,都市：住,400000,34726,持分移轉,03350000
