編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXOMLOLLHKFFCT67DB,壽比段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,97,持分移轉,09420000
RPXOMLOLLHKFFCT67DB,壽比段,.38,非都市： ; 非都市編定：,10000,97,持分移轉,09430000
RPXOMLOLLHKFFCT67DB,壽比段,12.58,非都市： ; 非都市編定：,10000,97,持分移轉,09440000
RPXOMLOLLHKFFCT67DB,壽比段,11.85,非都市： ; 非都市編定：,10000,97,持分移轉,09450000
RPXOMLOLLHKFFCT67DB,壽比段,.38,非都市： ; 非都市編定：,10000,97,持分移轉,09450001
RPOPMLOLLHKFFCT86DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,98,持分移轉,09420000
RPOPMLOLLHKFFCT86DB,壽比段,.39,非都市： ; 非都市編定：,10000,98,持分移轉,09430000
RPOPMLOLLHKFFCT86DB,壽比段,12.71,非都市： ; 非都市編定：,10000,98,持分移轉,09440000
RPOPMLOLLHKFFCT86DB,壽比段,11.97,非都市： ; 非都市編定：,10000,98,持分移轉,09450000
RPOPMLOLLHKFFCT86DB,壽比段,.38,非都市： ; 非都市編定：,10000,98,持分移轉,09450001
RPPPMLNLLHKFFCT86DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,100,持分移轉,09420000
RPPPMLNLLHKFFCT86DB,壽比段,.40,非都市： ; 非都市編定：,10000,100,持分移轉,09430000
RPPPMLNLLHKFFCT86DB,壽比段,12.97,非都市： ; 非都市編定：,10000,100,持分移轉,09440000
RPPPMLNLLHKFFCT86DB,壽比段,12.22,非都市： ; 非都市編定：,10000,100,持分移轉,09450000
RPPPMLNLLHKFFCT86DB,壽比段,.39,非都市： ; 非都市編定：,10000,100,持分移轉,09450001
RPUOMLNLLHKFFCT27DB,壽比段,.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,84,持分移轉,09420000
RPUOMLNLLHKFFCT27DB,壽比段,.33,非都市： ; 非都市編定：,10000,84,持分移轉,09430000
RPUOMLNLLHKFFCT27DB,壽比段,10.90,非都市： ; 非都市編定：,10000,84,持分移轉,09440000
RPUOMLNLLHKFFCT27DB,壽比段,10.26,非都市： ; 非都市編定：,10000,84,持分移轉,09450000
RPUOMLNLLHKFFCT27DB,壽比段,.33,非都市： ; 非都市編定：,10000,84,持分移轉,09450001
RPOPMLNLLHKFFCT76DB,壽比段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,97,持分移轉,09420000
RPOPMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：,10000,97,持分移轉,09430000
RPOPMLNLLHKFFCT76DB,壽比段,12.58,非都市： ; 非都市編定：,10000,97,持分移轉,09440000
RPOPMLNLLHKFFCT76DB,壽比段,11.85,非都市： ; 非都市編定：,10000,97,持分移轉,09450000
RPOPMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：,10000,97,持分移轉,09450001
RPXNMLNLLHKFFCT47DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,98,持分移轉,09420000
RPXNMLNLLHKFFCT47DB,壽比段,.39,非都市： ; 非都市編定：,10000,98,持分移轉,09430000
RPXNMLNLLHKFFCT47DB,壽比段,12.71,非都市： ; 非都市編定：,10000,98,持分移轉,09440000
RPXNMLNLLHKFFCT47DB,壽比段,11.97,非都市： ; 非都市編定：,10000,98,持分移轉,09450000
RPXNMLNLLHKFFCT47DB,壽比段,.38,非都市： ; 非都市編定：,10000,98,持分移轉,09450001
RPTOMLNLLHKFFCT17DB,壽比段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,98,持分移轉,09420000
RPTOMLNLLHKFFCT17DB,壽比段,.39,非都市： ; 非都市編定：,10000,98,持分移轉,09430000
RPTOMLNLLHKFFCT17DB,壽比段,12.71,非都市： ; 非都市編定：,10000,98,持分移轉,09440000
RPTOMLNLLHKFFCT17DB,壽比段,11.97,非都市： ; 非都市編定：,10000,98,持分移轉,09450000
RPTOMLNLLHKFFCT17DB,壽比段,.38,非都市： ; 非都市編定：,10000,98,持分移轉,09450001
RPQNMLNLLHKFFCT76DB,壽比段,.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,152,持分移轉,09420000
RPQNMLNLLHKFFCT76DB,壽比段,.60,非都市： ; 非都市編定：,10000,152,持分移轉,09430000
RPQNMLNLLHKFFCT76DB,壽比段,19.72,非都市： ; 非都市編定：,10000,152,持分移轉,09440000
RPQNMLNLLHKFFCT76DB,壽比段,18.57,非都市： ; 非都市編定：,10000,152,持分移轉,09450000
RPQNMLNLLHKFFCT76DB,壽比段,.59,非都市： ; 非都市編定：,10000,152,持分移轉,09450001
RPPOMLNLLHKFFCT76DB,壽比段,.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,97,持分移轉,09420000
RPPOMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：,10000,97,持分移轉,09430000
RPPOMLNLLHKFFCT76DB,壽比段,12.58,非都市： ; 非都市編定：,10000,97,持分移轉,09440000
RPPOMLNLLHKFFCT76DB,壽比段,11.85,非都市： ; 非都市編定：,10000,97,持分移轉,09450000
RPPOMLNLLHKFFCT76DB,壽比段,.38,非都市： ; 非都市編定：,10000,97,持分移轉,09450001
