編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLLJNHKFFAB77CC,坡道機械,0,,
RPPQMLLJNHKFFCB57CC,一樓平面,0,29.76,
RPTPMLLJNHKFFCB87CC,坡道平面,0,,
RPQNMLOJNHKFFAB47CC,坡道平面,0,,
RPVNMLOJNHKFFAB97CC,坡道平面,0,23.82,
RPTPMLPJNHKFFBB28DC,坡道平面,0,,
RPTPMLPJNHKFFBB28DC,坡道機械,0,,
RPTNMLOJNHKFFBB87CC,坡道平面,3500,31.89,
RPTOMLLJNHKFFBB67CC,坡道平面,0,,
RPORMLPJNHKFFBB87CC,坡道平面,0,,
RPUQMLLJNHKFFCB08CC,坡道機械,0,,
RPWQMLLJNHKFFCB28CC,坡道機械,0,8.96,
RPXNMLOJNHKFFCB38CC,坡道平面,0,48.85,
RPXNMLOJNHKFFCB38CC,坡道平面,0,37.83,
RPSSMLQJNHKFFBB48CC,坡道平面,0,22.91,
RPUOMLQJNHKFFCB38CC,坡道平面,0,35.97,
RPUOMLQJNHKFFCB38CC,坡道平面,0,33.91,
RPWOMLQJNHKFFAB38CC,坡道機械,0,4.57,
RPOPMLQJNHKFFCB87CC,坡道機械,0,14.60,
RPSPMLQJNHKFFCB28CC,坡道平面,0,,
RPSPMLQJNHKFFCB28CC,坡道平面,0,,
RPPPMLQJNHKFFCB97CC,坡道平面,0,35.91,
RPRPMLQJNHKFFCB18CC,坡道平面,0,33.21,
RPOOMLMKNHKFFHL98CC,坡道平面,0,31.82,
RPPNMLTJNHKFFCB08CC,坡道平面,0,20.10,
RPPNMLTJNHKFFCB08CC,坡道平面,0,20.10,
RPQNMLTJNHKFFCB18CC,坡道平面,0,17.63,
RPQNMLTJNHKFFCB18CC,坡道平面,0,17.63,
RPQNMLTJNHKFFCB18CC,坡道平面,0,20.10,
RPUNMLPKNHKFFAB08CC,坡道平面,0,29.76,
RPUNMLPKNHKFFAB08CC,坡道平面,0,29.76,
RPUNMLPKNHKFFAB08CC,坡道平面,0,29.76,
RPUNMLPKNHKFFAB08CC,坡道平面,0,29.76,
RPUNMLPKNHKFFAB08CC,坡道平面,0,29.76,
RPSQMLPKNHKFFCB38CC,坡道平面,0,18.99,
RPXNMLSKNHKFFCB88CC,坡道平面,0,36.86,
RPROMLSKNHKFFCB38CC,坡道平面,0,15.83,
RPROMLSKNHKFFCB38CC,坡道平面,0,18.04,
RPSOMLSKNHKFFCB48CC,坡道平面,0,34.86,
RPXNMLNKNHKFFCB38CC,坡道平面,0,,
RPVNMLLLNHKFFCB08CC,坡道平面,0,17.25,
RPXPMLLLNHKFFAB28CC,坡道平面,0,54.93,
RPTQMLMLNHKFFAB08CC,坡道平面,0,27.58,
RPTQMLMLNHKFFAB08CC,坡道平面,0,27.58,
RPVOMLRJNHKFFBB48CC,坡道平面,0,15.04,
RPVOMLRJNHKFFBB48CC,坡道機械,0,9.31,
RPPNMLNLNHKFFCB67CC,坡道平面,0,23.86,
