鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物),高雄市鼓山區美術館路７９號十三樓,22.94,住,,,1040415,土地2建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951013,153.92000000000002,2,2,2,有,有,8250000,53599,,0.0,0,,RPXNMLMJNHKFFAE08CA,95.47,2.86,9.1,,
鼓山區,房地(土地+建物),高雄市鼓山區裕興路２３號四樓,31.92,住,,,1040401,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770210,91.56,3,2,2,有,無,2850000,31127,,0.0,0,,RPVNMLMKNHKFFAE97CA,82.99,0.0,8.57,,
鹽埕區,建物,高雄市鹽埕區北斗街5號7樓之37,0.0,,,,1040113,土地0建物1車位0,七層,十六層,套房(1房1廳1衛),,鋼筋混凝土造,0750217,35.95,1,1,1,有,有,600000,16690,,0.0,0,,RPOOMLMKNHKFFAE37CA,23.87,1.31,0.0,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區鼓山三路１７之１號八樓,18.02,住,,,1040413,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000624,122.82,2,2,1,有,有,7300000,59437,坡道平面,0.0,0,,RPTNMLNKNHKFFAE87CA,53.98,1.86,5.77,,
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路３６號１０樓之７,2.58,商,,,1040420,土地1建物1車位0,十層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0690618,29.700000000000003,1,0,1,有,有,600000,20202,,0.0,0,,RPUNMLPKNHKFFAE18CA,19.8,0.0,0.0,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路３７５號十二樓,17.8,住,,,1040417,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030212,203.79,3,2,2,有,有,17200000,84401,坡道平面,30.5,0,,RPVNMLTKNHKFFAE68CA,97.12,0.0,15.15,,
鼓山區,房地(土地+建物),高雄市鼓山區美術東六街１１５號五樓之２,6.62,住,,,1040330,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951101,68.01,1,2,1,有,無,3900000,57345,,0.0,0,,RPSNMLNLNHKFFAE87CA,43.63,0.77,3.92,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南五街５１號十二樓,17.94,住,,,1040414,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040311,175.66,4,2,2,有,有,14820000,84368,坡道平面,0.0,0,,RPQNMLSLNHKFFAE18CA,84.41,1.58,13.64,,
新興區,房地(土地+建物)+車位,高雄市新興區新興路４１號四樓,9.59,商,,,1040427,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040306,85.99000000000001,2,1,1,有,有,7250000,84312,其他,5.53,0,含車位裝潢資料由建設公司提供,RPPNMLPJNHKFFBE67CA,41.88,7.4,4.08,,
