編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOQMLLKNHKFFAO68DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPQQMLLKNHKFFAO88DB,東明段,31.19,都市：其他:科技商務,100000,1889,持分移轉,05140000
RPUPMLLKNHKFFAO56DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPVRMLRJNHKFFAO37DB,東明段,31.25,都市：其他:科技商務,100000,1893,持分移轉,05140000
RPXNMLLKNHKFFAO66DB,東明段,33.42,都市：其他:科技商務,100000,2024,持分移轉,05140000
RPPQMLLKNHKFFAO78DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPSPMLLKNHKFFAO98DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPSQMLLKNHKFFAO09DB,東明段,31.25,都市：其他:科技商務,100000,1893,持分移轉,05140000
RPROMLLKNHKFFAO78DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPWNMLLKNHKFFAO56DB,東明段,33.42,都市：其他:科技商務,100000,2024,持分移轉,05140000
RPVQMLLKNHKFFAO76DB,東明段,31.25,都市：其他:科技商務,100000,1893,持分移轉,05140000
RPVNNLLKNHKFFAO56DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPOONLLKNHKFFAO58DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPXNNLLKNHKFFAO76DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPWQMLLKNHKFFAO86DB,東明段,36.07,都市：其他:科技商務,100000,2185,持分移轉,05140000
RPRONLLKNHKFFAO88DB,東明段,33.42,都市：其他:科技商務區,100000,2024,持分移轉,05140000
RPQONLLKNHKFFAO78DB,東明段,33.42,都市：其他:科技商務,100000,2024,持分移轉,05140000
RPTQMLLKNHKFFAO56DB,東明段,31.25,都市：其他:科技商務,100000,1893,持分移轉,05140000
RPXQMLLKNHKFFAO96DB,東明段,33.42,都市：其他:科技商務,100000,2024,持分移轉,05140000
RPSONLLKNHKFFAO98DB,東明段,35.94,都市：其他:科技商務,100000,2177,持分移轉,05140000
RPWPMLLKNHKFFAO66CB,光武段,21.76,都市：住,100000,194,持分移轉,11490000
RPPRMLLKNHKFFAO78CB,光武段,31.18,都市：住,100000,278,持分移轉,11490000
RPROMLLKNHKFFAO68CB,光武段,32.41,都市：住,100000,289,持分移轉,11490000
RPTPMLLKNHKFFAO98CB,光武段,24.34,都市：住,100000,217,持分移轉,11490000
RPWPNLLKNHKFFAO86DB,東明段,31.19,都市：其他:科技商務,100000,1889,持分移轉,05140000
RPUOMLLKNHKFFAO98CB,光武段,22.99,都市：住,100000,205,持分移轉,11490000
RPOPNLLKNHKFFAO68DB,東明段,31.25,都市：其他:科技商務,100000,1893,持分移轉,05140000
RPVONLLKNHKFFAO66DB,東明段,31.25,都市：其他:科技商務,100000,1893,持分移轉,05140000
