編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLNJQHKFFGL37CC,成功段,668.11,都市：工,,,,17820000
RPQOMLNJQHKFFAB87DC,三民段七小段,21.46,都市：住,,,,00070059
RPXNMLOJQHKFFCL07CC,南勢坑段埔子小段,635.00,都市：住,,,,01640032
RPPNMLMJQHKFFCB67CC,上石碑段,37.85,都市：住,,,,11150029
RPPOMLOJQHKFFAB77CC,麻園頭段,94.00,都市：住,,,,09140004
RPPOMLOJQHKFFAB77CC,麻園頭段,94.00,都市：住,,,,09140003
RPSOMLNJQHKFFHL07CC,豐中段,22.31,都市：住,,,,00700000
RPXNMLOJQHKFFAB48CC,麻園頭段,11.68,都市：住,,,,01320000
RPUOMLOJQHKFFCB48CC,惠來厝段,79.00,都市：住,,,,06960000
RPUOMLNJQHKFFHL37DC,新坪段,43.40,都市：住,,,,02360000
RPVOMLPJQHKFFCB68CC,惠國段,.00,都市：商,,,,00240000
RPXOMLPJQHKFFBB88DC,東義段,75.00,都市：住,,,,01250010
RPQNMLPJQHKFFFL76CC,家興段,22.30,都市：住,,,,08650000
RPQNMLQJQHKFFIL17CC,藝術段,52.38,都市：住,,,,06160000
RPQPMLPJQHKFFCB28CC,惠安段,428.69,都市：住,,,,02650000
RPSNMLQJQHKFFIL37CC,東園段,71.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01550000
RPTNMLPJQHKFFFL07CC,家興段,333.67,都市：住,,,,01410000
RPRNMLPJQHKFFFL86CC,家興段,22.10,都市：住,,,,01410000
RPVPMLPJQHKFFCB78CC,田心段,128.70,都市：住,,,,05060000
RPSQMLQJQHKFFCB68CC,國安段,9.32,都市：住,,,,05930135
RPTPMLQJQHKFFCB68CC,永春段,414.71,都市：住,,,,00090000
RPSOMLRJQHKFFCB58CC,下石碑段,17.60,都市：住,,,,09530002
RPQPMLRJQHKFFCB48CC,國安段,.00,都市：住,,,,05930491
RPOPMLRJQHKFFCB28CC,上石碑段,13.46,都市：住,,,,16170000
RPWOMLRJQHKFFCB98CC,國安段,.00,都市：住,,,,00120015
RPSNMLQJQHKFFCB38CC,大進段,19.80,都市：住,,,,06170000
RPOQMLRJQHKFFCB38CC,惠民段,9.31,都市：其他:第一種新市政中心專用區,,,,00840000
RPSPMLRJQHKFFCB68CC,上石碑段,4.82,都市：商,,,,18000007
RPXOMLRJQHKFFAB88CC,花園段六小段,5.47,都市：住,,,,00040028
RPVQMLRJQHKFFCB09CC,西屯段,11.42,都市：住,,,,07750000
RPOPMLRJQHKFFAB08CC,頂橋子頭段,80.00,都市：住,,,,04450000
RPWQMLRJQHKFFCB66DC,福星段,22.02,都市：住,,,,06040000
RPXNMLRJQHKFFCB09DC,西屯段,40.00,都市：住,,,,19150006
RPPNMLRJQHKFFBL09CC,幼獅段,2366.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,11280000
RPPNMLRJQHKFFBL09CC,幼獅段,4.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,11300001
RPPNMLRJQHKFFBL09CC,幼獅段,1728.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,11290000
RPSNMLRJQHKFFHL47DC,東平段,19.95,都市：住,,,,14320000
RPQNMLRJQHKFFBL56CC,孔門段,135.00,都市：商,,,,01820000
RPVNMLKKQHKFFAB18EC,大益段,30.48,都市：住,,,,06320000
RPSNMLKKQHKFFGL66CC,螺潭段,67.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00250042
RPQOMLKKQHKFFAB57CC,土庫段,37.00,都市：住,,,,00580025
RPSOMLKKQHKFFAB77CC,頂橋子頭段,4.23,都市：住,,,,00950055
RPSPMLKKQHKFFBB97CC,中清段,4.23,都市：住,,,,00720000
RPSOMLRJQHKFFBB48CC,東正段,15.44,都市：商,,,,01040000
RPPQMLOJQHKFFBB08CC,東正段,20.91,都市：住,,,,01430000
RPUOMLRJQHKFFBB68CC,賴厝?段,81.00,都市：住,,,,03480033
RPPPMLNJQHKFFBB87CC,松觀段,5.57,都市：住,,,,10370000
RPPPMLNJQHKFFBB87CC,松觀段,4.16,都市：住,,,,10380000
RPPPMLNJQHKFFBB87CC,松觀段,3.06,都市：住,,,,10570000
RPTRMLKKQHKFFBB38DC,陳平段,32.00,都市：住,,,,18510035
RPTRMLKKQHKFFBB38DC,陳平段,42.00,都市：住,,,,18550001
RPXRMLLKQHKFFCB88CC,黎明段,24.93,都市：住,,,,03690000
RPSNMLLKQHKFFAB77CC,土庫段,.00,都市：商,,,,02890000
RPUNMLLKQHKFFAB97CC,麻園頭段,16.67,都市：住,,,,01320000
RPROMLLKQHKFFAB77CC,後?子段,21.00,都市：其他:,,,,01630033
RPPPMLLKQHKFFBB87DC,賴厝?段,6.43,都市：住,,,,01120072
RPTNMLLKQHKFFFL86DC,甘潭段,78.22,都市：住,,,,01530000
RPSOMLMKQHKFFAB08DC,下橋子頭段,2627.00,都市：其他:,,,,01340000
RPSOMLMKQHKFFAB08DC,下橋子頭段,2161.00,都市：其他:,,,,01360013
RPOPMLMKQHKFFBB87DC,青田段,1291.00,都市：其他:道路用地,,,,02980000
RPOPMLMKQHKFFBB87DC,青田段,98.00,都市：其他:道路用地,,,,02980001
RPOPMLMKQHKFFBB87DC,青田段,502.00,都市：其他:機關用地,,,,02980002
