編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXPMLNJQHKFFCD98CC,富裕段,26.41,都市：商,,,,08480000
RPPNMLLJQHKFFAD57CC,正覺段,.00,都市：住,,,,04690000
RPWNMLPJQHKFFCD88CC,精忠段,.00,都市：住,,,,06320000
RPRNMLNJQHKFFFR27CC,義林段,142.81,都市：其他:,,,,00650001
RPTNMLPJQHKFFCD58CC,大同段,.00,都市：住,,,,12940000
RPUOMLOJQHKFFCD68CC,竹篙厝段,150.00,都市：商,,,,18090000
RPUOMLOJQHKFFCD68CC,竹篙厝段,150.00,都市：商,,,,18100000
RPPNMLOJQHKFFHR37CC,兵北段,.00,都市：住,,,,00410000
RPQOMLOJQHKFFCD28CC,竹篙厝段,90.00,都市：住,,,,09130000
RPSOMLPJQHKFFCD58CC,東安段,26.54,都市：商,,,,02250000
RPUNMLQJQHKFFBD68CC,和館段,.00,都市：住,,,,00380077
RPTNMLQJQHKFFBD58CC,州北段,.00,都市：住,,,,03820000
RPTNMLQJQHKFFFR77CC,崙中段,.00,都市：住,,,,00480042
RPPNMLQJQHKFFFR37CC,崁腳北段,229.06,都市：工,,,,15130005
RPPNMLQJQHKFFCD38DC,東光段,63.00,都市：商,,,,00930006
RPVOMLQJQHKFFAD88DC,新南段,174.78,都市：住,,,,02680016
RPVOMLQJQHKFFAD88DC,新南段,175.92,都市：住,,,,02680017
RPVNMLQJQHKFFAD68CC,立人段,.00,都市：住,,,,00650004
RPVNMLQJQHKFFAD68CC,立人段,.00,都市：住,,,,01040000
RPQOMLQJQHKFFAD28CC,開元段,.00,都市：住,,,,03610005
RPUNMLRJQHKFFAD68CC,環河段,.00,都市：住,,,,01000000
RPUNMLRJQHKFFAD68CC,環河段,.00,都市：住,,,,01010000
RPWNMLRJQHKFFAD88CC,金華段,.00,都市：商,,,,00630032
RPXNMLRJQHKFFAD98CC,新美段,.00,都市：商,,,,04880000
RPXNMLRJQHKFFAD98CC,新美段,.00,都市：商,,,,04890000
RPXNMLRJQHKFFAD98CC,新美段,.00,都市：商,,,,04900000
RPPOMLRJQHKFFAD28CC,金華段,.00,都市：住,,,,01050001
