編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLPJQHKFFAV37CA,南清段,8.36,都市：住,1,1,全筆移轉,05280001
RPTNMLPJQHKFFAV37CA,南清段,.65,都市：其他:,1,1,全筆移轉,05280002
RPXNMLPJQHKFFAV77CA,馬蘭段,5.43,都市：住,10000,45,持分移轉,16590000
RPTNMLPJQHKFFAV37CA,南清段,.92,都市：住,1,1,全筆移轉,05330000
RPTNMLPJQHKFFAV37CA,南清段,5.36,都市：其他:,1,1,全筆移轉,05330001
RPRNMLOJQHKFFAV07CA,豐年段,5.00,都市：住,10000,10,持分移轉,00270000
RPRNMLKMPHKFFBV27CD,和平南段,47.81,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,00910001
RPSNMLKKQHKFFBV17EA,三仙段,76.35,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,05340005
RPSNMLKKQHKFFBV17EA,三仙段,4.98,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,05400003
RPPNMLOJQHKFFAV96DA,豐工段,1238.13,都市：工,1,1,全筆移轉,01100000
RPPNMLKMPHKFFBV07CD,八仙洞段,480.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12790000
RPPNMLKMPHKFFBV07CD,八仙洞段,60.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12810000
RPPNMLKMPHKFFBV07CD,八仙洞段,3801.10,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,12830000
RPQNMLKMPHKFFBV17CD,田組段,66.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01320001
RPPNMLKKQHKFFBV66CA,北八里段,1133.20,非都市：風景區 ; 非都市編定：農牧用地,4,1,持分移轉,03150000
RPRNMLPLQHKFFDV67CA,秀山段,10.39,都市：住,10000,9,持分移轉,07230000
RPRNMLPLQHKFFDV67CA,秀山段,.00,都市：住,10000,9,持分移轉,07230001
RPRNMLLKQHKFFCV07CA,豐泉段,119.24,都市：住,1,1,全筆移轉,12070000
RPOOMLPJQHKFFAV96CA,豐谷段,134.57,都市：住,1,1,全筆移轉,01700002
RPQNMLQJQHKFFAV17CA,台東段,51.96,都市：住,100000,646,持分移轉,25450000
RPPNMLKKQHKFFAV56CA,常德段,6.60,都市：住,1,1,全筆移轉,05190005
RPVNMLPJQHKFFAV57CA,豐年段,9.05,都市：其他:,10000,169,持分移轉,00550001
RPPNMLKKQHKFFAV56CA,常德段,128.61,都市：住,1,1,全筆移轉,05260003
RPVNMLPJQHKFFAV57CA,豐年段,133.48,都市：住,1,1,全筆移轉,00660000
RPVNMLPJQHKFFAV57CA,豐年段,35.06,都市：其他:,10000,169,持分移轉,00680000
RPVNMLOJQHKFFAV47CA,利家段,89.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,75900067
RPPOMLQJQHKFFAV17CA,建華段,434.58,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00660000
RPPOMLQJQHKFFAV17CA,建華段,434.58,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00660000
RPSNMLOKQHKFFBV37CA,長光段,1682.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02310000
RPRNMLNKQHKFFDV37CA,蘭里段,160.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11600000
RPQNMLMKQHKFFAV86CA,台東段,10.39,都市：住,10000,1623,持分移轉,06380005
RPQNMLMKQHKFFAV86CA,台東段,4.87,都市：住,10000,1623,持分移轉,06380009
RPTNMLNKQHKFFCV57DA,南山段,276.35,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10160000
RPQNMLRJQHKFFBV47DA,高台段,111.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03270000
RPQNMLRJQHKFFBV47DA,高台段,36.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280000
RPQNMLRJQHKFFBV47DA,高台段,101.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03290000
RPPNMLRJQHKFFBV37DA,和平南段,157.03,非都市：風景區 ; 非都市編定：交通用地,1,1,全筆移轉,10600000
RPQNMLTJQHKFFCV77DA,鹿野段,1320.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,32790000
RPPNMLKKQHKFFDV86CA,德其段,694.41,都市：農,1,1,全筆移轉,01020000
RPPNMLKKQHKFFDV86CA,德其段,2606.98,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,01030000
RPPNMLKKQHKFFDV86CA,泰德段,1905.99,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00340000
RPPNMLMKQHKFFCV96CA,溪埔段,352.25,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04360000
RPPNMLMKQHKFFCV96CA,溪埔段,224.53,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04380000
RPSNMLRJQHKFFAV47CA,豐康段,132.52,都市：住,1,1,全筆移轉,08160014
RPSNMLQJQHKFFAV37CA,大業段,184.90,都市：住,1,1,全筆移轉,03600000
RPSNMLQJQHKFFAV37CA,常德段,5.34,都市：住,1,1,全筆移轉,12310000
RPTNMLQJQHKFFAV47CA,大業段,129.85,都市：住,1,1,全筆移轉,03600003
RPQNMLOKQHKFFBV47CD,忠勇段,135.83,都市：住,1,1,全筆移轉,02570000
RPTNMLKKQHKFFAV96CA,豐年段,9.00,都市：住,10000,18,持分移轉,00270000
RPQNMLKKQHKFFAV66CA,台東段,74.00,都市：住,1,1,全筆移轉,05500009
RPVNMLKKQHKFFAV17CA,豐康段,143.05,都市：住,1,1,全筆移轉,08160017
RPWNMLKKQHKFFAV27CA,豐康段,132.78,都市：住,1,1,全筆移轉,08160016
RPQNMLNKQHKFFAV96CA,豐榮段,84.00,都市：住,1,1,全筆移轉,01950000
RPPNMLRKQHKFFAV27CA,鎮樂段,7060.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06770000
RPQNMLQLQHKFFCV57CA,南山段,1338.65,都市：住,1,1,全筆移轉,06410001
RPQNMLLKQHKFFCV96CA,溪埔段,61.68,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06910001
RPPNMLMKQHKFFAV76CA,上岩灣段,2509.18,都市：農,1,1,全筆移轉,03560000
RPUNMLKKQHKFFAV17DA,南王段,154.45,都市：住,1,1,全筆移轉,03790000
RPRNMLKKQHKFFAV86DA,路頂段,71.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03290000
RPQNMLMKQHKFFBV07DA,東柄段,756.76,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,05110001
