編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLNLJIKFFBN98CA,22,94.32,住家用,鋼筋混凝土造,83年2月4日,二層,一層 二層
RPPNMLOJJIKFFCN28CA,19,172.36,住宅、人行道、避難室,鋼筋混凝土造,85年4月18日,七層,一層 二層 陽台 平台 騎樓 地下層
RPPNMLOJJIKFFCN28CA,19,27.39,梯間、機械室、水塔、避難室兼停車空間,鋼筋混凝土造,85年4月18日,七層,
RPSNMLSKJIKFFAN88CA,38,164.01,住商用,鋼筋混凝土造,67年2月27日,三層,一層 二層 三層 騎樓
RPRNMLPJJIKFFAN38CA,1,199.99,騎樓、店舖、住宅、梯間,鋼筋混凝土造,103年7月16日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
RPPNMLNJJIKFFDN28CA,31,111.32,住家用,鋼筋混凝土造,73年11月26日,三層,一層 二層 三層
RPUNMLLKJIKFFEN78CA,30,80.48,住家用,加強磚造,75年2月7日,二層,一層 二層
RPTNMLNKJIKFFGN09CA,23,170.93,見其他登記事項,鋼筋混凝土造,81年7月3日,三層,
RPPNMLTKJIKFFHN76CA,,172.41,騎樓、住宅、樓梯間,鋼筋混凝土造,104年9月4日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPQNMLTKJIKFFHN86CA,,152.86,騎樓、住宅、樓梯間,鋼筋混凝土造,104年9月4日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPOOMLPLJIKFFHN09CA,46,101.61,住家用,加強磚造,59年1月1日,二層,一層 二層 騎樓
RPOOMLPLJIKFFHN09CA,46,110.85,住商用,加強磚造,59年1月1日,二層,一層 二層 騎樓
RPSOMLRLJIKFFHN07CA,,202.10,住宅、樓梯間,鋼筋混凝土造,104年9月4日,三層,一層 二層 三層 陽台 屋頂突出物
RPVNMLMJJIKFFEN98DA,20,82.82,住家用,鋼筋混凝土造,84年5月16日,三層,一層 二層 三層 騎樓
RPQNMLRJJIKFFAN58DA,21,127.26,停車空間、住家,鋼筋混凝土造,83年9月24日,四層,一層 二層 三層 四層 陽台 平台
RPSNMLNJJIKFFAN38DA,35,87.30,住家用,加強磚造,69年12月11日,二層,一層 二層
RPRNMLTKJIKFFHN96CA,,82.32,住宅、樓梯間,鋼筋混凝土造,104年9月4日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLTKJIKFFHN07CA,,161.85,住宅、樓梯間,鋼筋混凝土造,104年9月4日,三層,一層 二層 三層 陽台 屋頂突出物
