編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLNJJIKFFAP18CA,35,108.91,住商用,加強磚造,70年4月15日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLTLJIKFFAP98CA,18,244.26,住商用,鋼筋混凝土造,86年7月15日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPWNMLNJJIKFFAP88CA,42,82.11,住家用,鋼筋混凝土造,62年4月1日,三層,一層 二層 三層
RPUNMLPJJIKFFAP88CA,36,124.53,住商用,加強磚造,68年12月31日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLQJJIKFFBP58CA,,227.07,住宅、停車空間,鋼筋混凝土造,104年5月10日,三層,一層 二層 三層 陽台
RPPNMLTJJIKFFBP88CA,29,186.08,住家用,鋼筋混凝土造,75年4月25日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPQOMLMLJIKFFBP58CA,,107.08,住宅、樓梯間,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPQOMLMLJIKFFBP58CA,,107.08,住宅、樓梯間,鋼筋混凝土造,104年4月20日,三層,一層 二層 三層 見其他登記事項
RPRNMLPLJIKFFAP78CA,17,31.42,住家用,鋼筋混凝土造,87年10月30日,十層,八層 陽台
RPPNMLNJJIKFFCP48DA,20,207.65,住商用,鋼筋混凝土造,84年12月20日,八層,一層 二層 騎樓
RPPNMLNJJIKFFCP48DA,20,37.94,共有部份,鋼筋混凝土造,84年12月20日,八層,
RPPNMLNJJIKFFCP48DA,20,1.85,共有部份,鋼筋混凝土造,84年12月20日,,
RPPNMLNJJIKFFCP48DA,20,27.81,共有部份,鋼筋混凝土造,84年12月20日,,
RPPNMLOJJIKFFAP48EA,41,108.68,住家用,加強磚造,63年6月10日,二層,一層 二層 騎樓
RPSNMLOJJIKFFEP98CA,10,185.81,店舖、住宅、停車空間,鋼筋混凝土造,95年1月26日,四層,一層 二層 三層 四層 陽台 平台 騎樓 雨遮 見其他登記事項
RPRNMLPJJIKFFFP09CA,21,213.66,住家用,鋼筋混凝土造,83年12月20日,四層,一層 二層 三層 四層 陽台 騎樓
RPVNMLNJJIKFFDP09CA,27,195.11,住家用,鋼筋混凝土加強磚造,78年4月25日,三層,一層 二層 三層 陽台
RPUNMLPJJIKFFDP56CA,9,20.92,集合住宅,鋼筋混凝土造,96年2月5日,十三層,四層 陽台
RPUNMLPJJIKFFDP56CA,9,34.63,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPUNMLPJJIKFFDP56CA,9,2.33,走廊,鋼筋混凝土造,96年2月5日,十三層,
RPWNMLQJJIKFFDP86CA,34,139.22,住家用,加強磚造,70年10月10日,二層,一層 二層 陽台 電梯樓梯間
RPUNMLTJJIKFFDP96CA,7,250.05,店舖，停車空間,鋼筋混凝土造,97年11月5日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項
RPVNMLTJJIKFFDP07CA,8,442.79,店舖、住宅、停車空間,鋼筋混凝土造,96年8月28日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPRNMLOJJIKFFAP48CA,,187.42,住家用,鋼筋混凝土造,104年4月19日,四層,一層 二層 三層 四層 陽台
RPUNMLTJJIKFFAP66CA,2,157.25,住家用,鋼筋混凝土造,102年10月4日,三層,一層 二層 三層 陽台
