編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJJIKFFAT68CA,九平段,134.05,都市：住,1,1,全筆移轉,01770001
RPRNMLOJJIKFFAT88CA,麟忠段,91.70,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02780078
RPROMLNJJIKFFAT88CA,,17.18,都市：住,10000,137,持分移轉,08430000
RPOPMLNJJIKFFAT68CA,,3.23,都市：商,10000,49,持分移轉,03440000
RPVNMLOJJIKFFAT66CA,田厝段,73.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08510007
RPVNMLTJJIKFFAT17CA,榮興段,145.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00540000
RPSOMLKKJIKFFAT78CA,前進段,204.00,都市：其他:公共設施保留地,2,1,持分移轉,01410001
RPROMLKKJIKFFAT68CA,前進段,204.00,都市：其他:公共設施保留地,2,1,持分移轉,01410001
RPPNMLLKJIKFFAT48CA,檳榔腳段二小段,23.61,都市：住,10000,148,持分移轉,06160011
RPVOMLOLJIKFFAT96CA,林內段,86.00,都市：住,1,1,全筆移轉,01530009
RPWNMLOLJIKFFBT07CA,武洛段,2747.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04120001
RPVNMLTKJIKFFCT47CA,新五魁段,48.55,都市：商,1,1,全筆移轉,04030000
RPTNMLRKJIKFFCT07CA,,391.09,都市：商,1,1,全筆移轉,09100000
RPTNMLRKJIKFFCT07CA,,123.77,都市：商,1,1,全筆移轉,09110000
RPTNMLRKJIKFFCT07CA,,128.83,都市：商,1,1,全筆移轉,09120000
RPTNMLRKJIKFFCT07CA,,249.23,都市：商,1,1,全筆移轉,09130000
RPTNMLNJJIKFFCT56CA,四春段,87.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07160000
RPOPMLOLJIKFFAT98CA,林內段,45.00,都市：住,2,1,持分移轉,01580027
RPOPMLOLJIKFFAT98CA,林內段,45.00,都市：住,2,1,持分移轉,01580027
RPOPMLOLJIKFFAT98CA,林內段,1.00,都市：住,30,1,持分移轉,01580032
RPOPMLOLJIKFFAT98CA,林內段,1.00,都市：住,30,1,持分移轉,01580032
RPQNMLNLJIKFFCT09CA,興義段,19.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,02680003
RPQNMLNLJIKFFCT09CA,興義段,261.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02680004
RPRNMLPJJIKFFDT66CA,新吉段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15790010
RPQNMLNKJIKFFCT98CA,內田段,74.36,都市：住,6,2,持分移轉,02060000
RPQNMLNKJIKFFCT98CA,內田段,4.96,都市：其他:,6,2,持分移轉,02060001
RPQNMLNKJIKFFCT98CA,內田段,9.36,都市：住,6,2,持分移轉,02070000
RPQNMLNKJIKFFCT98CA,內田段,28.26,都市：住,6,2,持分移轉,02090000
RPQNMLNKJIKFFCT98CA,內田段,1.23,都市：其他:,6,2,持分移轉,02090001
RPQNMLNKJIKFFCT98CA,內田段,7.44,都市：住,6,2,持分移轉,02100000
RPQNMLNKJIKFFCT98CA,內田段,2.32,都市：其他:,6,2,持分移轉,02100001
RPQNMLNKJIKFFCT98CA,內田段,7.77,都市：住,6,2,持分移轉,02110000
RPXNMLNKJIKFFDT17CA,港東段,2758.75,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10560000
RPVNMLSKJIKFFET57CA,射麻裡段,2427.25,非都市：國家公園區 ; 非都市編定：,21041,2840,持分移轉,01400000
RPRNMLNJJIKFFET56CA,新厝段,12.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06760021
RPVNMLSKJIKFFET57CA,射麻裡段,327.31,非都市：國家公園區 ; 非都市編定：,21041,2840,持分移轉,01400005
RPVNMLSKJIKFFET57CA,射麻裡段,306.20,非都市：國家公園區 ; 非都市編定：,5,1,持分移轉,01420006
RPVNMLSKJIKFFET57CA,射麻裡段,54.00,非都市：國家公園區 ; 非都市編定：,5,1,持分移轉,01420020
RPRNMLNJJIKFFET56CA,新厝段,85.87,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06760022
RPQOMLPJJIKFFAT09DA,崙頂段,4053.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05220000
RPPNMLPJJIKFFFT66CA,玉光段,20.60,都市：住,10,1,持分移轉,02850000
RPPNMLPJJIKFFFT66CA,玉光段,76.71,都市：住,1,1,全筆移轉,02990000
RPTNMLQJJIKFFAT76DA,豐田段,15.17,都市：住,10000,130,持分移轉,04020000
RPRNMLOLJIKFFDT86DA,五龍段,4009.32,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02960000
RPRNMLOLJIKFFDT86DA,五龍段,1165.65,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02970000
RPPNMLNJJIKFFBT78DA,大港洋段,293.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,21180000
RPPNMLNJJIKFFBT78DA,大港洋段,12.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,21180001
RPUNMLPLJIKFFCT17DA,內田段,37.26,都市：住,5,3,持分移轉,06060000
RPSNMLPLJIKFFET17DA,石門段,60.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,2,持分移轉,06210000
RPRNMLSKJIKFFET27DA,墾丁段,7.52,非都市：國家公園區 ; 非都市編定：,180,6,持分移轉,04110000
RPRNMLNJJIKFFFT86EA,竹坑段,3620.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02670000
RPVNMLNJJIKFFDT96DA,五房段,141.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07110000
RPVNMLNJJIKFFDT96DA,五房段,30.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,27,1,持分移轉,07330000
RPWNMLQLJIKFFCT47DA,佳平段,199.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1413,199,持分移轉,08860000
RPSNMLOJJIKFFAT09DA,瑞光段,100.00,都市：住,1,1,全筆移轉,02950012
RPXNMLOJJIKFFAT96DA,水源段二小段,35.33,都市：住,3,1,持分移轉,17220000
RPXNMLOJJIKFFAT96DA,水源段二小段,7.00,都市：住,3,1,持分移轉,17230005
RPWNMLOJJIKFFAT86DA,水源段二小段,35.33,都市：住,3,1,持分移轉,17220000
RPWNMLOJJIKFFAT86DA,水源段二小段,7.00,都市：住,3,1,持分移轉,17230005
RPPNMLQJJIKFFDT56CA,仁和段,238.57,都市：住,1,1,全筆移轉,00290003
RPOOMLOJJIKFFAT78DA,水源段二小段,35.33,都市：住,3,1,持分移轉,17220000
RPOOMLOJJIKFFAT78DA,水源段二小段,7.00,都市：住,3,1,持分移轉,17230005
RPQNMLTJJIKFFDT96CA,新東段,73.70,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02900000
RPTNMLNLJIKFFDT86CA,仙吉段,15.87,都市：住,500,87,持分移轉,04880000
RPTNMLNLJIKFFDT86CA,仙吉段,22.87,都市：住,500,87,持分移轉,04890000
