鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
馬公市,土地,國宅段127地號,1436.57,,一般農業區,農牧用地,1041021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7800000,5430,,0.0,0,,RPVOMLPJJIKFFAX37DA,0.0,0.0,0.0,,
馬公市,土地,興仁段37地號,99.76,,鄉村區,乙種建築用地,1041028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,930000,9322,,0.0,0,,RPTNMLMKJIKFFAX86DA,0.0,0.0,0.0,,
湖西鄉,房地(土地+建物),澎湖縣湖西鄉港子尾28號,17.58,,一般農業區,甲種建築用地,1041021,土地1建物1車位0,一層,一層,其他,,,,4.1,0,0,0,有,無,566874,138262,,0.0,0,,RPPNMLKLJIKFFAX98DA,0.0,0.0,0.0,,
馬公市,房地(土地+建物),澎湖縣馬公巿文明路６２號四樓,26.88,住,,,1041006,土地3建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841208,105.62,3,2,2,有,有,3780000,35789,,0.0,0,,RPSNMLTKJIKFFAX37CA,85.72,0.0,3.5,,
馬公市,土地,山水北段758-3地號,127.9,,一般農業區,水利用地,1041020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1532242,11980,,0.0,0,,RPSNMLTJJIKFFAX27CA,0.0,0.0,0.0,,
七美鄉,土地,七美二段972地號,1583.51,,鄉村區,乙種建築用地,1041028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,6315,,0.0,0,,RPTNMLTJJIKFFAX37CA,0.0,0.0,0.0,,
馬公市,土地,興仁段540地號,114.17,,鄉村區,乙種建築用地,1040824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,816925,7155,,0.0,0,,RPPOMLPJJIKFFAX66CA,0.0,0.0,0.0,,
馬公市,土地,興崁段1073地號,773.36,,一般農業區,農牧用地,1041026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3620000,4681,,0.0,0,賣方賣清價含土地增值稅、代書費等費用,RPTNMLNKJIKFFAX86CA,0.0,0.0,0.0,,
馬公市,房地(土地+建物),澎湖縣馬公巿石泉1-102號,51.31,,鄉村區,乙種建築用地,1041025,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0720118,100.62,5,1,5,有,無,2560000,25442,,0.0,0,,RPRNMLNKJIKFFAX76DA,100.62,0.0,0.0,,
