編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLQKKHLFFAE77CA,坡道平面,1650000,,
RPXOMLLJKHLFFEE28CA,坡道平面,1200000,35.47,
RPXPMLNJKHLFFEE58CA,坡道平面,0,17.36,
RPUNMLNLKHLFFEE28CA,坡道平面,0,19.49,
RPPNMLMJKHLFFFE57CA,坡道平面,0,,
RPVNMLNLKHLFFEE38CA,坡道平面,0,22.64,
RPWNMLNLKHLFFEE48CA,坡道平面,0,22.64,
RPSOMLOJKHLFFGE28CA,坡道機械,0,7.76,
RPPNMLQJKHLFFGE08CA,坡道平面,0,17.02,
RPPOMLQKKHLFFAE67CA,坡道機械,0,,
RPSOMLQKKHLFFAE97CA,坡道平面,0,15.92,
RPQOMLPKKHLFFFE28DA,一樓平面,0,,
RPTNMLNJKHLFFDE97DA,坡道平面,0,,
RPQNMLTKKHLFFGE58CA,坡道平面,1250000,27.25,
RPWOMLTKKHLFFEE09CA,坡道機械,0,,
RPXNMLOJKHLFFEE48CA,坡道平面,0,,
RPROMLNJKHLFFEE87CA,坡道平面,0,30.19,
RPQOMLSKKHLFFGE58CA,坡道平面,1150000,27.25,
RPSNMLLKLHLFFCE67CA,坡道平面,0,19.99,
RPQPMLNJKHLFFEE87CA,坡道平面,0,,
RPPOMLOJKHLFFDE67CA,坡道平面,0,20.81,
RPQOMLMJKHLFFDE57CA,坡道平面,0,,
RPQOMLMJKHLFFDE57CA,坡道平面,0,,
RPUPMLSKKHLFFEE88CA,坡道平面,0,,
RPVPMLSKKHLFFEE98CA,坡道平面,0,,
RPXOMLQKKHLFFDE78CA,坡道平面,0,25.92,
RPWOMLQKKHLFFDE68CA,坡道平面,0,,
RPOPMLQKKHLFFDE97CA,坡道平面,0,25.92,
RPXOMLPJKHLFFAE28CA,升降機械,0,9.24,
RPUNMLQLKHLFFAE18CA,坡道機械,0,,
SPSOMLPLKHLFFEE48CA,坡道平面,0,22.88,
RPSOMLPLKHLFFEE38CA,坡道平面,0,22.88,
RPSOMLPLKHLFFEE38CA,坡道平面,0,22.88,
RPVNMLNLKHLFFAE97CA,坡道平面,0,19.76,
RPVNMLNLKHLFFAE97CA,坡道平面,0,19.76,
RPTNMLPLKHLFFCE18CA,坡道機械,0,,
RPSNMLPLKHLFFCE08CA,坡道平面,0,,
RPUNMLPLKHLFFCE28CA,坡道機械,0,,
RPQOMLMLKHLFFBE57CA,坡道機械,0,,
RPWNMLPLKHLFFCE48CA,坡道機械,0,,
RPOOMLPLKHLFFCE77CA,坡道機械,0,,
RPPOMLOJKHLFFEE77CA,坡道平面,0,28.88,
RPUNMLOJKHLFFEE18CA,坡道平面,0,17.89,
RPUNMLOJKHLFFEE18CA,坡道平面,0,17.89,
RPVNMLOJKHLFFEE28CA,坡道平面,0,17.89,
RPPOMLQKKHLFFEE08CA,坡道機械,0,,
RPQOMLOJKHLFFGE08CA,坡道機械,0,,
RPPPMLQKKHLFFDE08CA,坡道平面,0,25.92,
RPSNMLTLKHLFFIE09CA,坡道平面,1480000,23.99,
RPVNMLTKKHLFFLE96CA,坡道機械,0,,
RPSNMLLJLHLFFIE18CA,坡道機械,0,17.61,
RPTOMLOJKHLFFIE58CA,一樓平面,0,,
RPTOMLOJKHLFFIE58CA,一樓平面,0,,
RPTOMLOJKHLFFIE58CA,一樓平面,0,,
RPTOMLOJKHLFFIE58CA,一樓平面,0,,
RPWOMLMLKHLFFEE48CA,坡道機械,1000000,27.54,
RPTNMLQKKHLFFEE38CA,升降機械,0,,
RPPOMLMLKHLFFEE77CA,坡道平面,1600000,36.19,
RPVOMLLJLHLFFGE38CA,坡道平面,0,,
RPUOMLMLKHLFFEE28CA,坡道機械,1000000,27.54,
RPRNMLQLKHLFFDE18CA,坡道機械,770000,11.71,
RPWNMLSKKHLFFDE78CA,坡道平面,0,,
RPTNMLQKKHLFFDE28CA,坡道平面,0,26.47,
RPROMLOJKHLFFDE87CA,坡道平面,0,,
RPROMLQKLHLFFEE38CA,坡道平面,0,26.11,
RPQOMLSKKHLFFDE28CA,坡道機械,0,6.25,
RPSNMLPJKHLFFCE87CA,坡道平面,0,23.12,
RPROMLQKKHLFFCE08CA,坡道平面,0,23.87,
RPWNMLPJKHLFFBE18CA,坡道平面,0,,
RPUNMLPKKHLFFAE97CA,坡道機械,0,7.05,
RPXNMLPKKHLFFAE28CA,坡道平面,0,14.96,
RPUOMLPJKHLFFAE97CA,坡道平面,0,,
RPQOMLMLKHLFFEE87CA,坡道機械,1000000,27.54,
RPROMLMLKHLFFEE97CA,坡道平面,1600000,36.19,
RPTOMLMLKHLFFEE18CA,坡道機械,1100000,27.54,
RPSOMLMLKHLFFEE08CA,坡道機械,1100000,27.54,
RPPNMLLJLHLFFEE47CA,坡道平面,0,22.64,
RPPNMLLLKHLFFAE17CA,坡道平面,0,,
RPVNMLTKKHLFFAE48CA,坡道平面,0,34.73,
RPVNMLRKKHLFFCE48CA,坡道平面,0,,
RPSOMLOLKHLFFAE87CA,坡道平面,0,34.54,
RPWOMLNLKHLFFDE48CA,坡道平面,0,,
RPXNMLSKKHLFFAE58CA,坡道平面,0,20.64,
RPRPMLSKKHLFFEE58CA,坡道平面,0,,
RPVNMLPKKHLFFEE48CA,坡道平面,0,24.97,
RPRNMLPKKHLFFEE08CA,坡道平面,0,,
RPRNMLQKKHLFFEE18CA,坡道機械,0,10.55,
RPUOMLOLKHLFFEE48CA,坡道平面,0,,
RPVNMLMJLHLFFAE77CA,坡道平面,0,,
RPWNMLLJLHLFFEE18CA,坡道平面,0,,
RPQOMLQKLHLFFEE28CA,其他,0,,
RPRNMLOLKHLFFGE28CA,坡道平面,0,12.95,
RPPOMLNJLHLFFAE37CA,坡道平面,0,21.31,
RPTNMLSKKHLFFGE78CA,坡道平面,0,,
RPTOMLPJKHLFFGE58DA,坡道平面,0,,
RPRNMLTKKHLFFEE48CA,坡道機械,0,,
RPPNMLSKKHLFFIE58CA,坡道平面,0,20.24,
RPRNMLSKKHLFFGE58CA,坡道平面,0,,
RPQNMLSKKHLFFGE48CA,坡道平面,0,,
RPRNMLRKKHLFFDE18CA,坡道平面,0,30.18,
