編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLJKHLFFDN38CC,員林段,34.63,都市：商,,,,05870000
RPPNMLLJKHLFFDN38CC,員林段,2.88,都市：商,,,,05870013
RPTNMLOJKHLFFAN78CC,東興段,47.00,都市：農,,,,13640000
RPTNMLOJKHLFFAN78CC,東興段,44.00,都市：農,,,,13790000
RPUNMLPJKHLFFAN98CC,西興段,44.00,都市：商,,,,20870002
RPUNMLPJKHLFFAN98CC,西興段,8.90,都市：商,,,,20940002
RPSNMLPJKHLFFBN98DC,伸東段,.00,都市：住,,,,05210001
RPQNMLNLKHLFFAN68DC,莿桐段,1693.00,都市：工,,,,15450001
RPQNMLKKLHLFFFN78CC,螺陽段,1088.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02360000
RPQNMLKKLHLFFFN78CC,螺陽段,1541.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02370000
RPRNMLLLLHLFFBN68CC,糖友段,63.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,13520000
RPRNMLOJLHLFFCN98DC,順興段,95.50,都市：住,,,,04400001
RPWNMLNLLHLFFAN76DC,南郭段南郭小段,58.00,都市：住,,,,05780038
RPWNMLNLLHLFFAN76DC,南郭段南郭小段,1.15,都市：住,,,,05810000
RPQNMLRJLHLFFHN96CC,鳳山段,82.64,都市：其他:,,,,11160000
RPQNMLRJLHLFFHN96CC,鳳山段,82.64,都市：其他:,,,,11200000
RPPNMLOJLHLFFCN68CC,福橋段,258.73,都市：住,,,,04120000
RPPNMLQLLHLFFAN98DC,南郭段南郭小段,57.00,都市：住,,,,06100000
RPPNMLQLLHLFFAN98DC,南郭段南郭小段,48.00,都市：住,,,,06110000
RPPNMLKLMHLFFGN09DC,新生段,184.00,都市：住,,,,00900008
RPPNMLSLKHLFFDN66CC,永安段,118.41,都市：商,,,,06890000
RPUNMLSJMHLFFDN17CC,三多段,120.49,都市：住,,,,06770006
RPUNMLSJMHLFFDN17CC,三多段,9.54,都市：住,,,,06770016
RPPNMLRKMHLFFDN66CC,員林段,228.00,都市：商,,,,05100017
RPQNMLMJKHLFFDN58CC,和平段,40.68,都市：住,,,,08220000
RPQNMLRKMHLFFDN76CC,員林段,228.00,都市：商,,,,05100017
RPVOMLOLLHLFFAN76CC,茄荖段,2106.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03200000
RPXNMLSKMHLFFAN27CC,學前段,72.99,都市：住,,,,08920000
RPXNMLSKMHLFFAN27CC,學前段,1.97,都市：住,,,,08930000
RPTNMLQLMHLFFDN07CC,仁愛段,99.00,都市：住,,,,08330000
RPRNMLSJLHLFFDN76CC,中山段,112.00,都市：住,,,,01360062
RPVOMLRLMHLFFAN17CC,牛稠子段下?小段,80.00,都市：住,,,,00730003
RPWOMLRLMHLFFAN27CC,牛稠子段牛稠子小段,82.00,都市：住,,,,00620012
RPXNMLMLMHLFFAN76CC,孔門段,.00,都市：商,,,,08570000
RPWNMLOLLHLFFAN76CC,西門口段,.00,都市：住,,,,05190014
RPWNMLOLLHLFFAN76CC,西門口段,.00,都市：住,,,,05190077
RPWNMLOLLHLFFAN76CC,西門口段,.00,都市：住,,,,05190105
RPWNMLOLLHLFFAN76CC,西門口段,.00,都市：住,,,,05190106
RPWNMLOLLHLFFAN76CC,大埔段,.00,都市：住,,,,05020002
RPWNMLOLLHLFFAN76CC,大埔段,.00,都市：住,,,,05020068
RPWNMLOLLHLFFAN76CC,大埔段,.00,都市：住,,,,05020076
RPUNMLQLMHLFFDN27DC,至善段,70.05,非都市： ; 非都市編定：,,,,05900000
