鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
萬丹鄉,土地,新福段921-2地號,439.71,,特定農業區,農牧用地,1050419,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1750000,3980,,0.0,0,,RPTNMLOJNHLFFAT86CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿民生路４１巷７號,69.0,住,,,1050413,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0630629,81.0,4,2,2,有,無,2500000,30864,,0.0,0,含增建或未登記建物。,RPUNMLOJNHLFFAT96CA,81.0,0.0,0.0,,
九如鄉,房地(土地+建物),屏東縣九如鄉黃金路１巷７之５號,107.86,,鄉村區,乙種建築用地,1050412,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830308,149.88,4,2,3,有,無,2030000,13544,,0.0,0,,RPWNMLOJNHLFFAT17CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿中柳路３７５巷１２號,87.23,,鄉村區,乙種建築用地,1050330,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820605,159.18,4,2,2,有,無,2800000,17590,,0.0,0,,RPSOMLOJNHLFFAT86CA,150.84,0.0,8.34,,
屏東市,土地,龍華段1208地號,636.8,,一般農業區,農牧用地,1050330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3141,,0.0,0,二親等間買賣,RPUOMLOJNHLFFAT07CA,0.0,0.0,0.0,,
長治鄉,房地(土地+建物),屏東縣長治鄉新興路８６巷７之７號,87.06,,一般農業區,甲種建築用地,1050412,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0831123,135.42,4,2,3,有,無,3050000,22523,,0.0,0,,RPVOMLOJNHLFFAT17CA,129.15,6.27,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿重慶路１７１巷１７號,99.0,住,,,1050329,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650224,103.74,3,2,2,有,無,2850000,27473,,0.0,0,,RPSNMLNJNHLFFAT66CA,103.74,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿武昌街１１７之１號四樓之八,8.79,住,,,1050419,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841125,50.4,0,0,0,無,有,850000,16865,,0.0,0,,RPOOMLPJNHLFFAT56CA,30.2,0.96,0.0,,
萬丹鄉,土地,萬全段6地號,2.12,農,,,1050419,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,4717,,0.0,0,,RPQOMLPJNHLFFAT76CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿公園路２１號十二樓,40.22,商,,,1050324,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040617,314.18,4,1,3,有,無,19300000,61430,坡道平面,2.62,0,,RPQPMLKKNHLFFAT09CA,173.8,0.0,15.48,,
屏東市,房地(土地+建物),屏東縣屏東巿大連里豐榮街185巷7號,75.32,住,,,1050406,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680321,81.2,3,2,2,有,無,3400000,41872,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLLKNHLFFAT56CA,81.2,0.0,0.0,,
