編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLLJQHLFFAA47CA,32,96.73,住家用,鋼筋混凝土造,73年4月9日,七層,六層 陽臺
RPROMLLJQHLFFAA47CA,32,19.63,共有部分,鋼筋混凝土造,73年4月9日,七層,
RPWNMLLJQHLFFAA87CA,5,227.66,住家用,鋼筋混凝土造,100年10月24日,十二層,一層 二層 三層 四層 陽臺 屋頂突出物 雨遮
RPWNMLLJQHLFFAA87CA,5,12.68,共有部分，本共有部分之項目有社區管理維護空間、機電設備空間、管理員室、供行動不便者昇降機、雨遮、基地內通路等６項。,鋼筋混凝土造,100年10月24日,十二層,
RPWNMLLJQHLFFAA87CA,5,197.54,共有部分，本共有部分之項目有供行動不便者昇降機、增設停車空間管理員室、台電管道間、進風管道、電信機房、排風管道、垃圾資源回收室、汽機車停車空間、停車空間、車道、發電機房、增設停車空間、污水機房、機房、消防泵浦室、防空避難室兼停車空間等１６項。,鋼筋混凝土造,100年10月24日,十二層,
RPWNMLLJQHLFFAA87CA,5,9.24,共有部分，本共有部分之項目有（Ｃ‧Ｄ棟）樓梯間、（Ｃ‧Ｄ棟）水箱等２項。,鋼筋混凝土造,100年10月24日,十二層,
RPSOMLSJQHLFFAA28CA,5,139.87,住家用,鋼筋混凝土造,100年7月13日,十八層,二層 陽臺 雨遮
RPSOMLSJQHLFFAA28CA,5,32.92,共有部分，本共有部分之項目有特別安全梯、梯廳、排煙室等３項。,鋼筋混凝土造,100年7月13日,十八層,
RPSOMLSJQHLFFAA28CA,5,3.86,共有部分，本共有部分之項目有梯廳（排煙室）、機械室、水箱、消防水箱等５項。,鋼筋混凝土造,100年7月13日,十八層,
RPSOMLSJQHLFFAA28CA,5,24.44,共有部分，本共有部分之項目有一般安全梯（ＡＢ）、特別安全梯、行動不便電梯、緊急昇降機、梯廳、進氣管道、陽台、門廳、中央管理室（管理員室）、走道、騎樓、排氣管道、防災中心、電錶室、台電配電室、發電機室、機房（供電信使用）、機械室、蓄水池、消防泵浦室等２０項。,鋼筋混凝土造,100年7月13日,十八層,
