編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNJQHLFFAN68CA,秀水段,911.56,都市：其他:貨物轉運中心區,1,1,全筆移轉,16040000
RPXNMLMKQHLFFAN86CA,西勢子段過溝子小段,437.00,都市：住,8,2,持分移轉,00110000
RPSOMLLJQHLFFAN88CA,新芬園段,176.99,非都市：山坡地保育區 ; 非都市編定：農牧用地,54,1,持分移轉,05680000
RPSOMLLJQHLFFAN88CA,新芬園段,8.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,54,1,持分移轉,05700000
RPSOMLLJQHLFFAN88CA,新芬園段,9.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,54,1,持分移轉,05710000
RPSOMLLJQHLFFAN88CA,新芬園段,12.31,非都市：山坡地保育區 ; 非都市編定：農牧用地,54,1,持分移轉,05720000
RPSOMLLJQHLFFAN88CA,新芬園段,14.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,54,1,持分移轉,05730000
RPSOMLLJQHLFFAN88CA,新芬園段,24.87,非都市：山坡地保育區 ; 非都市編定：農牧用地,54,1,持分移轉,05740000
RPSOMLLJQHLFFAN88CA,新芬園段,31.38,非都市：山坡地保育區 ; 非都市編定：農牧用地,54,1,持分移轉,08580000
RPQNMLOJQHLFFAN88CA,陝西段,2758.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04800000
RPQNMLPJQHLFFAN98CA,嘉興段,2334.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,23180000
RPQNMLPJQHLFFAN98CA,嘉興段,2335.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,23190000
RPUPMLOJQHLFFAN86CA,南興段,83.00,都市：住,1,1,全筆移轉,09040000
RPUPMLOJQHLFFAN86CA,南興段,7.00,都市：住,1,1,全筆移轉,09040009
RPUPMLOJQHLFFAN86CA,南興段,25.58,都市：住,12,1,持分移轉,09040030
RPUPMLOJQHLFFAN86CA,南興段,.64,都市：住,112,1,持分移轉,09020009
RPUPMLOJQHLFFAN86CA,南興段,2.51,都市：住,84,1,持分移轉,09030005
RPOOMLPJQHLFFAN88CA,新莿桐段,28.72,都市：工,1,1,全筆移轉,02230000
RPOOMLPJQHLFFAN88CA,新莿桐段,8.02,都市：工,1,1,全筆移轉,02240000
RPOOMLPJQHLFFAN88CA,新莿桐段,54.32,都市：工,1,1,全筆移轉,02250000
