鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
烈嶼鄉,土地,九宮測段769地號,574.01,住,,,1050727,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,6097,,0.0,0,,RPRNMLMJQHLFFAW07CA,0.0,0.0,0.0,,
金城鎮,土地,后豐港段61地號,1226.0,農,,,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,4078,,0.0,0,,RPSNMLMJQHLFFAW17CA,0.0,0.0,0.0,,
金沙鎮,土地,北八劃段125地號,1000.0,農,,,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,4000,,0.0,0,,RPWNMLNJQHLFFAW67CA,0.0,0.0,0.0,,
烈嶼鄉,土地,公園測段132地號,235.72,其他,,,1050718,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,1485,,0.0,0,,RPPNMLPJQHLFFAW17CA,0.0,0.0,0.0,,
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村６２３號,125.35,其他,,,1050412,土地2建物1車位0,全,三層,透天厝,集合住宅,鋼筋混凝土造,1040508,163.48,3,3,3,有,無,8800000,53829,,0.0,0,,RPWNMLMJQHLFFAW57CA,146.94,0.0,16.54,,
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡２１１號三樓,52.04,其他,,,1050629,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),,,1040408,110.08000000000001,3,2,2,有,無,6200000,56323,,0.0,0,,RPXNMLMJQHLFFAW67CA,85.2,7.17,9.03,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐４８之１２號二樓,51.59,其他,,,1050622,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1050428,96.33,3,2,2,有,無,5000000,51905,,0.0,0,,RPRNMLTJQHLFFAW77CA,82.59,0.0,7.99,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐４８之１１號三樓,49.7,其他,,,1050622,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1050428,93.96000000000001,3,2,2,有,無,4700000,50021,,0.0,0,,RPTNMLTJQHLFFAW97CA,80.24,0.0,6.94,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐４８之１３號三樓,50.7,其他,,,1050622,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1050428,95.11,3,1,2,有,無,4600000,48365,,0.0,0,,RPVNMLTJQHLFFAW18CA,83.46,0.0,6.0,,
金湖鎮,土地,料羅段1210-2地號,304.0,其他,,,1050714,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6080000,20000,,0.0,0,,RPQNMLKKQHLFFAW86CA,0.0,0.0,0.0,,
金湖鎮,房地(土地+建物),金門縣金湖鎮太湖路三段２巷５號,216.52,其他,,,1050625,土地1建物1車位0,全,三層,透天厝,集合住宅,鋼筋混凝土造,0940330,219.24,3,3,3,有,無,11900000,54278,,0.0,0,,RPXNMLOLQHLFFAW08CA,203.41,0.0,15.83,,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林10-2號2樓,66.93,住,,,1050630,土地3建物1車位0,二層,三層,公寓(5樓含以下無電梯),,,1041210,98.14,3,2,2,有,無,6200000,63175,,0.0,0,,RPVNMLPJQHLFFAW87DA,84.39,0.0,8.73,,
金寧鄉,房地(土地+建物),金門縣金寧鄉榜林10-3號2樓,66.93,住,,,1050630,土地3建物1車位0,二層,三層,公寓(5樓含以下無電梯),,,1041210,99.58,3,2,2,有,無,6200000,62261,,0.0,0,,RPWNMLPJQHLFFAW97DA,85.81,0.0,8.75,,
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡１００之２０號,12.39,其他,,,1050801,土地1建物1車位0,一層,三層,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1021120,35.760000000000005,1,1,1,有,無,2120000,59284,,0.0,0,,RPPNMLTJQHLFFAW57CA,22.55,0.0,3.32,,
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村５１９號,42.43,住,,,1050706,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1041230,69.35000000000001,2,2,2,有,無,3800000,54795,,0.0,0,,RPXNMLLKQHLFFAW67CA,64.93,0.0,0.0,,
金沙鎮,土地,斗門劃測段1023-2地號,896.0,農,,,1050718,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4150000,4632,,0.0,0,,RPXNMLTJQHLFFAW38CA,0.0,0.0,0.0,,
金沙鎮,土地,沙東劃段162地號,1295.86,其他,,,1050715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10300000,7948,,0.0,0,,RPOOMLTJQHLFFAW57CA,0.0,0.0,0.0,,
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村５２１號三樓,44.94,住,,,1050725,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1041230,71.66,2,2,2,有,無,3750000,52330,,0.0,0,,RPWNMLLKQHLFFAW57CA,64.89,0.0,2.35,,
金城鎮,土地,庵前村段42地號,105.0,其他,,,1050807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,32381,,0.0,0,,RPOOMLLKQHLFFAW86CA,0.0,0.0,0.0,,
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村６４３號,85.76,其他,,,1050619,土地2建物1車位0,全,三層,透天厝,集合住宅,鋼筋混凝土造,1040508,164.16,3,3,3,有,無,8700000,52997,,0.0,0,,RPTNMLLKQHLFFAW27CA,146.94,0.0,17.22,,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮市港三路２３７號八樓,24.94,住,,,1050718,土地1建物1車位2,八層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050421,126.03,3,2,2,有,無,9000000,71412,坡道機械,19.88,0,,RPVNMLLKQHLFFAW47CA,72.13,1.97,8.06,,
