編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLTLNHNFFFE66CA,岡山段,4.28,都市：商,3930,561,持分移轉,01090013
RPTNMLQKNHNFFHE66DA,甲仙段,8.51,都市：住,10000,56,持分移轉,00610000
RPUNMLKKNHNFFCE28DA,仁愛段,50.12,都市：住,16,1,持分移轉,05950000
RPUNMLKKNHNFFCE28DA,仁愛段,2.69,都市：其他:綠地,16,1,持分移轉,05950001
RPPNMLTJNHNFFLE76CA,大寮段芎蕉腳小段,353.00,都市：農,1,1,全筆移轉,17870001
RPQNMLTJNHNFFLE86CA,翁公園段,290.72,都市：農,1339,670,持分移轉,58650000
RPQNMLTJNHNFFLE86CA,翁公園段,224.00,都市：農,1,1,全筆移轉,58650001
RPQNMLTJNHNFFLE86CA,翁公園段,223.00,都市：農,1,1,全筆移轉,58650002
RPQNMLTJNHNFFLE86CA,翁公園段,223.00,都市：農,1,1,全筆移轉,58650003
RPQNMLTJNHNFFLE86CA,翁公園段,417.00,都市：農,1,1,全筆移轉,58650008
RPVNMLPKNHNFFLE07CA,翁公園段,17.74,都市：住,20000,415,持分移轉,37890094
RPVNMLPKNHNFFLE07CA,翁公園段,61.50,都市：住,2,1,持分移轉,37890113
RPPNMLTLLHOFFAE48DA,龍華段八小段,6.70,都市：住,10000,37,持分移轉,24060000
RPUPMLOKNHNFFBE68CA,苓洲段,9.00,都市：商,5,1,持分移轉,14350000
RPUPMLOKNHNFFBE68CA,苓洲段,.40,都市：其他:道路用地,5,1,持分移轉,14350001
RPPOMLKKNHNFFGE18CA,永豐段,83.38,都市：住,1,1,全筆移轉,10130000
RPOPMLRKNHNFFGE88CA,埤頂段,73.35,都市：住,100000,146,持分移轉,12430035
RPPNMLKKNHNFFIE38DA,永仁段,79.67,都市：住,1,1,全筆移轉,00460006
RPPPMLSLNHNFFGE56CA,興田段,40.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03800000
RPPPMLSLNHNFFGE56CA,興田段,30.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03890000
RPPNMLLKNHNFFKE58CA,美中段,158.99,都市：住,1,1,全筆移轉,00360000
RPPNMLLKNHNFFKE58CA,美中段,92.37,都市：住,1,1,全筆移轉,00510000
RPUNMLRJNHNFFGE86CD,新庄子段,27.04,都市：住,10000,200,持分移轉,01960000
RPPNMLLLNHNFFGE28CA,文英段,23.65,都市：住,10000,154,持分移轉,21500002
RPROMLNLNHNFFIE98CA,澄合段,27.68,都市：住,100000,1312,持分移轉,03780000
RPQOMLNLNHNFFIE88CA,澄合段,27.68,都市：住,100000,1312,持分移轉,03780000
RPQNMLLKNHNFFCE97DA,仁愛段,61.00,都市：住,1,1,全筆移轉,04500050
RPVNMLQJOHNFFLE17CA,內湖段,2.46,都市：其他:保護區,648,1,持分移轉,11210000
RPVNMLQJOHNFFLE17CA,內湖段,.19,都市：其他:道路用地,648,1,持分移轉,09770000
RPVNMLQJOHNFFLE17CA,內湖段,.48,都市：住,648,1,持分移轉,10040000
RPVNMLQJOHNFFLE17CA,內湖段,.49,都市：住,648,1,持分移轉,09760000
RPQNMLTJNHNFFLE17CD,翁公園段,10.00,都市：住,1,1,全筆移轉,40180040
RPSNMLOJNHNFFLE86CD,溪州段,1.00,都市：住,1,1,全筆移轉,35170012
RPPNMLTJNHNFFIE76CD,大昌段,33.17,都市：住,10000,78,持分移轉,00660000
RPPNMLRJNHNFFLE86CD,赤崁段,564.00,都市：農,1,1,全筆移轉,17830000
RPQNMLTJNHNFFLE17CD,翁公園段,61.00,都市：住,1,1,全筆移轉,40190015
RPQNMLOKNHNFFLE09CA,王公廟段苦苓腳小段,57.00,都市：住,1,1,全筆移轉,10470014
RPUNMLQJOHNFFLE07CA,內湖段,6.15,都市：住,720,1,持分移轉,06000000
RPQNMLPKNHNFFLE56CA,義和段,66.99,都市：住,1,1,全筆移轉,01420008
RPQNMLPKNHNFFLE56CA,義和段,5.99,都市：住,32,1,持分移轉,01420010
RPQNMLPKNHNFFLE56CA,義和段,9.81,都市：住,32,1,持分移轉,01450011
RPSNMLTKMHNFFKE96CA,和平段,3399.32,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02240000
RPQNMLSJNHNFFGE56CD,牛潮埔段,31.68,都市：住,65,1,持分移轉,14570000
RPRNMLOLMHNFFHE78CA,光興段,121.48,非都市：一般農業區 ; 非都市編定：農牧用地,10000,2786,持分移轉,06030000
