編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLSKQHNFFHD56CA,11,338.53,店舖，住宅，停車空間，樓梯間,鋼筋混凝土造,96年9月27日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮,全筆移轉
RPRNMLOKQHNFFAD28CA,,115.70,集合住宅,鋼筋混凝土構造,107年4月11日,二十五層,二十一層 陽台,全筆移轉
RPRNMLOKQHNFFAD28CA,,99.60,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會空間、梯廳、樓梯間、機械室、水箱、公共服務空間、排煙室、昇降機、（汽車）車道、門廊、外廊、管道間、資源回收區（環保資源室）、宅配室、水錶室兼消防機房共十七項。,鋼筋混凝土構造,107年4月11日,二十五層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,109.74,集合住宅,鋼筋混凝土造,92年9月16日,十四層,九層 陽台,全筆移轉
RPXNMLTLQHNFFAD86CA,15,38.28,管理室等,鋼筋混凝土造,92年9月16日,十四層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,20.82,公共設施,鋼筋混凝土造,92年9月16日,十四層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,.33,超級市場、辦公室,鋼筋混凝土造,92年9月16日,十四層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,.01,管理室等,鋼筋混凝土造,92年9月16日,十四層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,.00,公共設施,鋼筋混凝土造,92年9月16日,十四層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,.09,店舖、住宅,鋼筋混凝土造,92年9月16日,十三層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,.00,公共設施,鋼筋混凝土造,92年9月16日,十三層,,持分移轉
RPXNMLTLQHNFFAD86CA,15,.00,公共設施,鋼筋混凝土造,92年9月16日,十三層,,持分移轉
RPWOMLNKQHNFFAD88DA,60,35.53,住家用,磚造,48年1月1日,一層,一層,全筆移轉
RPWNMLKMQHNFFAD68DA,27,102.00,住家用,鋼筋混凝土造,80年6月4日,十二層,七層 陽台,全筆移轉
RPWNMLKMQHNFFAD68DA,27,1.56,共有部分,鋼筋混凝土造,80年6月4日,十二層,,持分移轉
RPWNMLKMQHNFFAD68DA,27,8.97,商業用,鋼筋混凝土造,80年6月4日,十二層,,持分移轉
RPWNMLKMQHNFFAD68DA,27,17.69,共有部分,鋼筋混凝土造,80年6月4日,十二層,,持分移轉
RPQOMLOLPHNFFBD38CA,,60.30,集合住宅,鋼筋混凝土造,107年1月25日,九層,七層 陽台,全筆移轉
RPQOMLOLPHNFFBD38CA,,62.03,本共有部分之項目有停車空間，防空避難室兼停車空間，管理維護空間，門廊，梯廳，樓梯間，機械室，水塔等８項,鋼筋混凝土造,107年1月25日,九層,,持分移轉
RPQNMLNLPHNFFDD38CA,25,23.02,住家用,鋼筋混凝土造,82年4月1日,四層,三層 陽台,全筆移轉
RPQNMLNLPHNFFDD38CA,25,7.26,共有部分,鋼筋混凝土造,82年4月14日,四層,,持分移轉
RPRNMLSKPHNFFCD78CA,31,216.47,住商用,鋼筋混凝土造,76年1月13日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓 地下層,全筆移轉
RPPNMLSKPHNFFED78CA,53,101.25,住商用,鋼筋混凝土造,54年4月1日,二層,一層 二層 騎樓,全筆移轉
RPPOMLLJQHNFFKD78CA,25,56.80,住家用,鋼筋混凝土造,82年6月10日,七層,二層 陽台,全筆移轉
RPPPMLOLPHNFFDD58CA,,144.03,住家用,鋼筋混凝土造,107年5月4日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPOMLLJQHNFFKD78CA,25,6.86,共有部分,鋼筋混凝土造,82年6月10日,七層,,持分移轉
RPPOMLLJQHNFFKD78CA,25,9.52,共有部分,鋼筋混凝土造,82年6月10日,七層,,持分移轉
RPQNMLSKPHNFFCD68CA,35,70.49,集合住宅,鋼筋混凝土造,72年7月5日,五層,一層 陽台,全筆移轉
RPQNMLSKPHNFFCD68CA,35,5.79,共有部分,鋼筋混凝土造,72年7月5日,五層,,持分移轉
RPWNMLLKPHNFFHD09CA,21,238.35,住商用,鋼筋混凝土造,86年3月13日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPVNMLMKPHNFFHD09CA,24,81.39,住家用,鋼筋混凝土造,83年9月23日,八層,三層 陽台,全筆移轉
RPVNMLMKPHNFFHD09CA,24,12.78,梯間、機械室、水箱,鋼筋混凝土造,83年9月23日,八層,,持分移轉
RPUNMLRJQHNFFBD88CA,1,277.15,住商用,鋼筋混凝土造,106年8月14日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPVNMLMKPHNFFHD09CA,24,11.42,停車空間、防空避難室,鋼筋混凝土造,83年9月23日,八層,,持分移轉
RPXNMLLJQHNFFKD86CA,,59.04,住家用,鋼筋混凝土構造,107年2月2日,十六層,十六層 陽台,全筆移轉
RPXNMLLJQHNFFKD86CA,,15.01,本共有部分之項目有：Ｃ棟第２～１６層樓梯間、屋頂突出物第一層樓梯間、過樑投影面積、屋頂突出物第二層機械室、水箱部份,鋼筋混凝土構造,107年2月2日,十六層,,持分移轉
RPXNMLLJQHNFFKD86CA,,2.87,本共有部分之項目有：管委會使用空間、門廊、機電設備及其他、汽車坡道及停車空間,鋼筋混凝土構造,107年2月2日,十六層,,持分移轉
RPXNMLLJQHNFFKD86CA,,48.03,共有部分之項目有：防空避難室兼停車空間，停車空間,鋼筋混凝土構造,107年2月2日,十六層,,持分移轉
RPWNMLSJQHNFFID27CA,,70.97,集合住宅,鋼筋混凝土構造,107年2月14日,五層,四層 陽台,全筆移轉
RPWNMLSJQHNFFID27CA,,38.36,本共有部分之項目有集合住宅、停車空間、騎樓、樓梯間、機械室、水箱等,鋼筋混凝土構造,107年2月14日,五層,,持分移轉
RPPNMLRKPHNFFED78DA,40,38.11,住家用,加強磚造,67年6月2日,二層,一層 二層,持分移轉
RPSNMLRKPHNFFBD68CA,32,182.35,住商用,加強磚造,75年4月24日,二層,一層 二層 陽台 屋頂突出物 騎樓,全筆移轉
RPVNMLSKPHNFFAD98CA,2,302.43,住家用,鋼筋混凝土構造,105年9月23日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPPNMLTKPHNFFAD48CA,37,16.50,商業用,鋼筋混凝土造,70年10月19日,四層,,持分移轉
RPPNMLTKPHNFFAD48CA,37,.34,共有部分,鋼筋混凝土造,70年10月19日,四層,,持分移轉
RPTNMLSKPHNFFAD78CA,24,24.19,住家用,鋼筋混凝土造,84年1月4日,十二層,七層,全筆移轉
RPTNMLSKPHNFFAD78CA,24,7.77,共有部分,鋼筋混凝土造,84年1月4日,十二層,,持分移轉
RPVNMLKKQHNFFID09CA,,200.91,住家用,鋼筋混凝土構造,107年4月24日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLRKPHNFFAD58DA,3,97.34,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,二層 陽台,全筆移轉
RPRNMLRKPHNFFAD58DA,3,69.33,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,,持分移轉
RPUNMLQJQHNFFKD07CA,1,27.67,本共有部分之項目有：停車空間，水箱，消防機房，緊急發電機室，停車空間兼防空避難室，電信室，台電配電場所，梯廳，管委會使用空間，機車停車空間，樓梯間，水錶室，電梯機房等１３項,鋼筋混凝土構造,106年3月3日,十四層,,持分移轉
RPXOMLLMPHNFFKD17CA,20,43.29,住家用,鋼筋混凝土造,87年10月26日,十一層,九層 陽台 雨遮,全筆移轉
RPXOMLLMPHNFFKD17CA,20,5.69,共有部分,鋼筋混凝土造,87年10月26日,十一層,,持分移轉
RPXOMLLMPHNFFKD17CA,20,13.85,共有部分,鋼筋混凝土造,87年10月26日,十一層,,持分移轉
RPPOMLTKPHNFFKD96CA,27,150.95,住家用,鋼筋混凝土造,80年10月23日,六層,五層 陽台,全筆移轉
RPPOMLTKPHNFFKD96CA,27,13.01,共有部分,鋼筋混凝土造,80年10月23日,六層,,持分移轉
RPPOMLKKQHNFFID58CA,,200.91,住家用,鋼筋混凝土構造,107年4月24日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPOMLTKPHNFFKD96CA,27,25.98,共有部分,鋼筋混凝土造,80年10月23日,六層,,持分移轉
