編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLRLPHNFFBV08CA,萬年段,229.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05180002
RPQNMLPLPHNFFBV57CA,北都蘭段,4846.39,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,09170000
RPSNMLQJQHNFFAV67CA,建業段,7.11,都市：住,1,1,全筆移轉,04380001
RPPNMLPLPHNFFBV47CA,高原段,4347.50,非都市：森林區 ; 非都市編定：農牧用地,2,1,持分移轉,15060000
RPPNMLPLPHNFFBV47CA,高原段,4347.50,非都市：森林區 ; 非都市編定：農牧用地,2,1,持分移轉,15060000
RPXNMLKKPHNFFAV57CA,台東段,41.00,都市：其他:河道用地,1,1,全筆移轉,06540754
RPTNMLMKPHNFFAV37CA,新生段,119.00,都市：住,1,1,全筆移轉,07130001
RPPNMLNKPHNFFAV07CA,和平段,2381.60,非都市：河川區 ; 非都市編定：水利用地,1,1,全筆移轉,04160000
RPPNMLNKPHNFFAV07CA,和平段,10218.77,非都市：河川區 ; 非都市編定：水利用地,1,1,全筆移轉,04170000
RPPNMLNKPHNFFAV07CA,和平段,22420.96,非都市：河川區 ; 非都市編定：水利用地,1,1,全筆移轉,04200000
RPPNMLNKPHNFFAV07CA,和平段,161.12,非都市：山坡地保育區 ; 非都市編定：水利用地,1,1,全筆移轉,04410001
RPRNMLTKPHNFFAV87CA,南王段,25.16,都市：住,1,1,全筆移轉,08630005
RPSNMLTKPHNFFAV97CA,南王段,62.52,都市：住,1,1,全筆移轉,08630002
RPPNMLKLPHNFFAV86CA,上岩灣段,86.94,都市：住,100000,1013,持分移轉,01980000
RPVNMLNLPHNFFAV77CA,馬蘭段,4.02,都市：住,10000,84,持分移轉,16850000
RPVNMLNLPHNFFAV77CA,馬蘭段,2.58,都市：住,10000,84,持分移轉,16860000
RPPNMLLMPHNFFBV17CA,南佳里段,5556.83,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,07440000
RPVNMLOLPHNFFAV87CA,豐年段,18.00,都市：住,10000,36,持分移轉,00270000
RPPNMLLKQHNFFAV96CA,豐榮段,111.00,都市：住,1,1,全筆移轉,09940000
RPPNMLSKPHNFFCV77CA,豐泉段,167.68,都市：住,1,1,全筆移轉,07910007
RPPNMLSJQHNFFCV77CA,豐泉段,465.47,都市：住,1,1,全筆移轉,07790000
RPQNMLSKPHNFFCV87CA,豐泉段,176.27,都市：住,1,1,全筆移轉,07910006
RPPNMLQLPHNFFCV67CA,加拿段,542.86,非都市：山坡地保育區 ; 非都市編定：農牧用地,7,5,持分移轉,03800006
RPPNMLQLPHNFFCV67CA,加拿段,535.71,非都市：山坡地保育區 ; 非都市編定：農牧用地,7,5,持分移轉,03800007
RPRNMLRLPHNFFAV77CA,石壁段,1276.51,都市：農,1,1,全筆移轉,01200000
RPTNMLQLPHNFFAV87CA,旭川段,96.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00730000
SPRNMLMJQHNFFAV37DA,北南王段,161.45,都市：其他:河川用地,2,1,持分移轉,08710000
RPTNMLNJQHNFFAV47CA,龍過脈段,2551.73,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03740001
RPRNMLMJQHNFFAV27DA,北南王段,1584.23,都市：其他:河川用地,2,1,持分移轉,08700000
RPPNMLKMPHNFFAV07DA,建華段,310.80,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04930000
RPVNMLMJQHNFFAV67DA,北南王段,793.72,都市：其他:河川用地,2,1,持分移轉,08960000
RPUNMLMJQHNFFAV57DA,北南王段,1584.23,都市：其他:河川用地,2,1,持分移轉,08700000
RPWNMLMJQHNFFAV77DA,北南王段,793.72,都市：其他:河川用地,2,1,持分移轉,08960000
SPUNMLMJQHNFFAV67DA,北南王段,161.45,都市：其他:河川用地,2,1,持分移轉,08710000
RPQNMLMJQHNFFAV17DA,知本段,5000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,82860002
