編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLQLIINFFAA77DA,51,16.05,住家用,加強磚造,56年6月6日,三層,一層 平台,持分移轉
RPTNMLMKIINFFDA67DA,26,67.36,住家用,鋼筋混凝土造,81年7月21日,六層,一層 平台,全筆移轉
RPTNMLMKIINFFDA67DA,26,32.34,共有部分,鋼筋混凝土造,81年7月21日,六層,,持分移轉
RPPOMLPLIINFFEA77CA,2,152.56,住家用,鋼筋混凝土造,105年5月17日,十五層,十四層 陽臺 雨遮,全筆移轉
RPPOMLPLIINFFEA77CA,2,96.15,本共有部分之項目：梯廳、梯廳兼排煙室、走道、公共門廳（管委會使用空間）、門廳、Ａ梯特別安全梯、緊急昇降機（供行動不便使用）、昇降機、陽台、出入口雨遮、Ｂ梯特別安全梯、排煙室、雨遮、機械室、機械室（水錶室）、消防水箱、民生水箱、電梯機械室、台電配電場、受電箱、腳踏車停車區、電信機房、緊急昇降機、排煙室進氣口、排煙室排煙口、發電機室、發電機室進風口、發電機室排風口、停車空間排風口、防空避難室兼停車空間、停車空間、水箱（一）、水箱（二）、消防泵浦室、雨水回收室、風車等３６項。,鋼筋混凝土造,105年5月17日,十五層,,持分移轉
RPPQMLSJJINFFCA08DA,37,120.03,住家用,鋼筋混凝土造,70年12月31日,五層,一層 平台,全筆移轉
RPSNMLRKIINFFCA87CA,11,29.10,住家用,鋼筋混凝土造,96年10月2日,十二層,三層 陽臺 雨遮,全筆移轉
RPSNMLRKIINFFCA87CA,11,11.80,共有部分,鋼筋混凝土造,96年10月2日,十二層,,持分移轉
RPVNMLPKIINFFEA18CA,9,66.51,住家用,鋼筋混凝土造,99年3月29日,十三層,四層 陽臺 雨遮,全筆移轉
RPVNMLPKIINFFEA18CA,9,7.74,本共有部分之項目有地下一至三層排煙室、緊急升降機、安全梯、地下一層台電配電室、受電箱、機房、電信室、電表區、電梯機坑、管理員室、地下二層台電管道間、排風口、進風口、發電機室、垃圾集中區、地下三層污水機房、消防機房、蓄水池、人孔蓋及泵浦機房等二十項。,鋼筋混凝土造,99年3月29日,十三層,,持分移轉
RPVNMLPKIINFFEA18CA,9,25.39,本共有部分之項目有一層至十三層梯廳、緊急升降機、一般升降機、排煙室、戶外安全梯、一層陽台、管理委員會使用空間、機車停車區、屋頂突出物一至二層緊急升降機、一般升降機、戶外安全梯、屋頂突出物一層排煙室、屋頂突出物二層梯廳、機房、消防水塔、屋頂突出物三層升降機機房、屋頂水塔、戶外安全梯、地下一層機車停車區、進風管道、地下二至三層排風管道及進風管道等二十二項。,鋼筋混凝土造,99年3月29日,十三層,,持分移轉
RPVNMLPKIINFFEA18CA,9,.08,一般事務所,鋼筋混凝土造,99年3月29日,十三層,地下一層,持分移轉
RPVNMLPKIINFFEA18CA,9,35.90,本共有部分之項目有地下一層法定停車位１７位、車道、防空避難室兼停車空間、地下二層法定停車位１４位、獎勵停車位１０位、車道、停車空間、地下三層獎勵停車位２５位、停車空間及車道等十項。,鋼筋混凝土造,99年3月29日,十三層,,持分移轉
RPVNMLPKIINFFEA18CA,9,.01,本共有部分之項目有地下一至三層排煙室、緊急升降機、安全梯、地下一層台電配電室、受電箱、機房、電信室、電表區、電梯機坑、管理員室、地下二層台電管道間、排風口、進風口、發電機室、垃圾集中區、地下三層污水機房、消防機房、蓄水池、人孔蓋及泵浦機房等二十項。,鋼筋混凝土造,99年3月29日,十三層,,持分移轉
RPQRMLSJJINFFCA18CA,11,.07,商業用,鋼筋混凝土造,96年8月10日,十三層,一層,持分移轉
RPQRMLSJJINFFCA18CA,11,.00,共有部分,鋼筋混凝土造,96年8月10日,十三層,,持分移轉
RPQRMLSJJINFFCA18CA,11,41.29,共有部分,鋼筋混凝土造,96年8月10日,十三層,,持分移轉
RPQRMLSJJINFFCA18CA,11,67.31,住家用,鋼筋混凝土造,96年8月10日,十三層,九層 陽臺 雨遮,持分移轉
RPQRMLSJJINFFCA18CA,11,16.48,共有部分,鋼筋混凝土造,96年8月10日,十三層,,持分移轉
RPQRMLSJJINFFCA18CA,11,11.81,共有部分,鋼筋混凝土造,96年8月10日,十三層,,持分移轉
RPUNMLRKIINFFCA08CA,34,69.31,商業用,鋼筋混凝土造,73年6月21日,十二層,三層,全筆移轉
RPUNMLRKIINFFCA08CA,34,27.43,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPUNMLRKIINFFCA08CA,34,4.29,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPUNMLRKIINFFCA08CA,34,76.66,商業用,鋼筋混凝土造,73年6月21日,十二層,三層,全筆移轉
RPUNMLRKIINFFCA08CA,34,30.26,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPUNMLRKIINFFCA08CA,34,4.86,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPVOMLLLJINFFDA97CA,38,9.56,見使用執照,鋼筋混凝土造,69年4月21日,十二層,見使用執照,持分移轉
RPVOMLLLJINFFDA97CA,38,.00,共有部分,鋼筋混凝土造,69年4月21日,十二層,,
RPQNMLPKIINFFCA57DA,35,97.07,住商用,鋼筋混凝土造,73年3月27日,五層,一層 平台 見其他登記事項,全筆移轉
RPORMLQKIINFFBA77DA,38,2.98,商業用,鋼筋混凝土造,70年2月25日,十五層,二層,全筆移轉
RPORMLQKIINFFBA77DA,38,.36,共有部分,鋼筋混凝土造,70年2月25日,十五層,,持分移轉
RPORMLQKIINFFBA77DA,38,3.36,共有部分,鋼筋混凝土造,70年2月25日,十五層,,持分移轉
RPOPMLMLIINFFFA57CA,49,39.55,住家用,加強磚造,58年9月5日,四層,二層,持分移轉
RPQNMLQKIINFFBA47CA,,51.49,住家用,加強磚造,,四層,二層,全筆移轉
RPPNMLQKIINFFBA37CA,50,28.05,住家用,鋼筋混凝土造,57年8月16日,五層,三層,全筆移轉
RPWNMLRKIINFFCA28CA,34,76.66,住家用,鋼筋混凝土造,73年6月21日,十二層,十層,全筆移轉
RPWNMLRKIINFFCA28CA,34,21.43,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPWNMLRKIINFFCA28CA,34,2.00,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPXNMLRKIINFFCA38CA,34,76.66,住家用,鋼筋混凝土造,73年6月21日,十二層,九層,全筆移轉
RPXNMLRKIINFFCA38CA,34,19.52,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPXNMLRKIINFFCA38CA,34,4.86,共有部分,鋼筋混凝土造,73年6月21日,十二層,,持分移轉
RPPNMLPKJINFFCA47CA,3,239.59,住家用,鋼骨鋼筋混凝土造,105年3月30日,十四層,十二層 陽臺 雨遮,全筆移轉
RPPNMLPKJINFFCA47CA,3,174.59,本共有部分之項目有車道、停獎出入門廳（管理員室）、安全梯（Ｂ－１）、安全梯（Ａ－２）、戶外安全梯（Ａ－１）、緊急昇降機、行動不便使用電梯、排煙室、梯廳、管委會空間、陽台、管道間、排煙室兼梯廳、機房、機電設備空間、消防水箱、自來水箱、升降機機房、進風管道、排氣管道、台電配電室、儲藏室、停車空間、發電機室、機房（供電信使用）、垃圾儲藏室、防空避難室兼停車空間、蓄水池及消防泵浦室等２９項。,鋼骨鋼筋混凝土造,105年3月30日,十四層,,持分移轉
RPUOMLOKJINFFEA18CA,,237.08,（Ｈ２）集合住宅,鋼筋混凝土造,107年7月2日,十四層,十三層 陽臺 雨遮,全筆移轉
RPUOMLOKJINFFEA18CA,,31.69,本共有部分之項目有管道間、Ａ棟梯廳兼排煙室、甲梯、梯廳、緊急昇降機兼行動不便使用者電梯、一般電梯、機房（水表室）、不鏽鋼消防水箱、電梯機房、機坑及水箱室共１１項,鋼筋混凝土造,107年7月2日,十四層,,持分移轉
RPUOMLOKJINFFEA18CA,,226.32,本共有部分之項目有管委會使用空間、進風、排煙、Ａ棟梯廳兼排煙室、Ｂ棟梯廳兼排煙室、緊急昇降機兼行動不便使用者電梯、機房、一般電梯、管道間、甲梯、乙梯、丙梯、丁梯、門廳、陽台、梯廳、戶外安全梯、安全梯、Ａ棟排風機房、Ｂ棟排風機房、發電機房、進風管道、電信機房、Ａ棟機房、排風管道、電錶區、台電配電室、受電箱、防空避難室兼停車空間、停車空間、Ａ棟水箱、Ｂ棟水箱、走廊、進風機房、自來水箱機房、汽車坡道、汽機車坡道及消防幫浦室共３８項,鋼筋混凝土造,107年7月2日,十四層,,持分移轉
RPPNMLLLIINFFEA27CA,58,223.84,住家用,加強磚造,49年9月12日,二層,一層 二層 騎樓,全筆移轉
RPSNMLOKJINFFCA67CA,7,79.91,策略性產業〈資訊服務業〉,鋼筋混凝土造,101年1月4日,十一層,九層 陽臺,全筆移轉
