編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRPMLRLJINFFCH88CA,8,224.02,住宅（附屬停車空間）,鋼筋混凝土造,99年10月30日,五層,一層 二層 三層 四層 五層 陽台 雨遮,全筆移轉
RPRPMLRLJINFFCH88CA,8,.14,共有（電信機房）,鋼筋混凝土造,99年10月30日,五層,,持分移轉
RPRNMLTKJINFFGH56CA,27,217.00,住家用,鋼筋混凝土造,81年2月1日,十七層,七層 陽台 花台,全筆移轉
RPRNMLTKJINFFGH56CA,27,42.75,共有部份,鋼筋混凝土造,81年2月1日,十七層,,持分移轉
RPRNMLTKJINFFGH56CA,27,19.83,共有部份,鋼筋混凝土造,81年2月1日,十七層,,持分移轉
RPQNMLMKJINFFGH38CA,43,78.92,住家用,加強磚造,65年1月12日,二層,一層 二層,全筆移轉
RPSTMLMLJINFFBH78CA,,74.58,集合住宅,鋼筋混凝土造,107年8月22日,十三層,四層 陽台 雨遮,全筆移轉
RPSTMLMLJINFFBH78CA,,66.21,本共有部分之項目有：防空避難室兼停車空間、停車空間、樓梯間、機房、水箱、雨水機房、污水機房、消防機房、垃圾暫存空間、受電箱、台電配電場所、發電機房、電信機房、管委會使用空間、門廳、梯廳、電梯機房、自來水箱、消防水箱等十九項。,鋼筋混凝土造,107年8月22日,十三層,,持分移轉
RPVNMLLKIINFFHH88DA,32,85.59,商業用,鋼筋混凝土造,76年4月1日,五層,一層 平台,全筆移轉
RPVOMLPKIINFFAH58CA,,81.72,住家用,鋼筋混凝土造,107年6月1日,十五層,十四層 陽台,全筆移轉
RPVOMLPKIINFFAH58CA,,81.73,本共有部分之項目有附屬（防空避難室兼停車空間、機房、水箱、停車空間、機械室、垃圾儲藏室、台電配電場所、管委會使用空間、公共服務空間、樓電梯間、樓梯間、電梯機房）等項。,鋼筋混凝土造,107年6月1日,十五層,,持分移轉
RPUOMLPKIINFFAH48CA,,60.04,住家用,鋼筋混凝土造,107年6月1日,十五層,十層 陽台,全筆移轉
RPUOMLPKIINFFAH48CA,,70.83,本共有部分之項目有附屬（防空避難室兼停車空間、機房、水箱、停車空間、機械室、垃圾儲藏室、台電配電場所、管委會使用空間、公共服務空間、樓電梯間、樓梯間、電梯機房）等項。,鋼筋混凝土造,107年6月1日,十五層,,持分移轉
RPWOMLPKIINFFAH68CA,,56.81,住家用,鋼筋混凝土造,107年6月1日,十五層,十二層 陽台,全筆移轉
RPWOMLPKIINFFAH68CA,,69.16,本共有部分之項目有附屬（防空避難室兼停車空間、機房、水箱、停車空間、機械室、垃圾儲藏室、台電配電場所、管委會使用空間、公共服務空間、樓電梯間、樓梯間、電梯機房）等項。,鋼筋混凝土造,107年6月1日,十五層,,持分移轉
RPUNMLRKIINFFAH58CA,38,34.13,住家用,鋼筋混凝土造,69年8月20日,六層,四層 陽台,全筆移轉
RPUNMLRKIINFFAH58CA,38,2.08,共有部份,鋼筋混凝土造,69年8月20日,六層,,持分移轉
RPQOMLPKIINFFAH08CA,,56.81,住家用,鋼筋混凝土造,107年6月1日,十五層,十層 陽台,全筆移轉
RPQOMLPKIINFFAH08CA,,69.16,本共有部分之項目有附屬（防空避難室兼停車空間、機房、水箱、停車空間、機械室、垃圾儲藏室、台電配電場所、管委會使用空間、公共服務空間、樓電梯間、樓梯間、電梯機房）等項。,鋼筋混凝土造,107年6月1日,十五層,,持分移轉
RPVNMLQKIINFFAH58CA,19,456.63,辦公室．教室．遊戲室．樓梯間,鋼筋混凝土造,89年1月25日,三層,一層 二層 三層 屋頂突出物,持分移轉
RPXPMLKMIINFFAH58CA,20,78.71,住家用,鋼筋混凝土造,87年5月28日,八層,三層 陽台,全筆移轉
RPXPMLKMIINFFAH58CA,20,29.20,共有部份,鋼筋混凝土造,87年5月28日,八層,,持分移轉
RPXPMLKMIINFFAH58CA,20,.20,警衛室,鋼筋混凝土造,87年5月28日,八層,一層,持分移轉
RPXPMLKMIINFFAH58CA,20,22.16,共有部份,鋼筋混凝土造,87年5月28日,八層,,持分移轉
RPUNMLSJJINFFGH66CA,37,81.00,住家用,加強磚造,70年12月30日,二層,一層 二層,全筆移轉
RPRNMLNLJINFFBH38EA,29,18.51,住家用,鋼筋混凝土造,78年5月29日,五層,二層,全筆移轉
RPRNMLNLJINFFBH38EA,29,5.98,共有部份,鋼筋混凝土造,78年5月29日,五層,,持分移轉
RPQPMLSKIINFFHH56CA,22,34.18,一般事務所或工商服務業,鋼筋混凝土造,85年12月31日,九層,二層 露台,全筆移轉
RPQPMLSKIINFFHH56CA,22,5.12,共有部份,鋼筋混凝土造,85年12月31日,九層,,持分移轉
RPQPMLSKIINFFHH56CA,22,6.33,共有部份,鋼筋混凝土造,85年12月31日,九層,,持分移轉
RPROMLMLJINFFGH68CA,13,104.17,集合住宅、停車空間,鋼筋混凝土造,95年3月20日,五層,一層 二層 三層 四層 五層 陽台 雨遮,持分移轉
RPROMLMLJINFFGH68CA,13,.64,共有部份,鋼筋混凝土造,95年3月20日,一層,,持分移轉
RPXNMLSKIINFFAH98CA,24,98.47,住家用,鋼筋混凝土造,83年9月8日,十二層,十層 陽台,全筆移轉
RPXNMLSKIINFFAH98CA,24,13.34,共有部份,鋼筋混凝土造,83年9月8日,十二層,,持分移轉
RPXNMLSKIINFFAH98CA,24,7.60,共有部份,鋼筋混凝土造,83年9月8日,十五層,,持分移轉
RPXNMLSKIINFFAH98CA,24,34.38,防空避難室、停車場,鋼筋混凝土造,83年9月8日,十五層,地下一層,持分移轉
RPQNMLNJJINFFGH38CA,,80.08,共有部份,鋼筋混凝土造,107年7月26日,十五層,,持分移轉
RPQNMLNJJINFFGH38CA,,87.37,住家用,鋼筋混凝土造,107年7月26日,十五層,七層 陽台 雨遮,全筆移轉
RPTNMLRKIINFFAH48CA,5,248.40,住家用,鋼筋混凝土造,103年3月1日,二十七層,三層 陽台 雨遮,全筆移轉
RPTNMLRKIINFFAH48CA,5,229.76,本共有部份之項目有停車空間、防空避難室、頂蓋型開放空間，公共服務空間、樓梯間及機房、水箱等７項。,鋼筋混凝土造,103年3月1日,二十七層,,持分移轉
RPVNMLLJJINFFAH08CA,21,26.84,一般事務所,鋼筋混凝土造,86年12月24日,十七層,十三層 陽台,全筆移轉
RPVNMLLJJINFFAH08CA,21,3.16,共有部份,鋼筋混凝土造,86年12月24日,十七層,,持分移轉
RPVNMLLJJINFFAH08CA,21,8.22,共有部份,鋼筋混凝土造,86年12月24日,十七層,,持分移轉
RPTPMLMKIINFFBH28CA,14,17.99,住家用,鋼筋混凝土造,93年4月10日,十層,十層 陽台,全筆移轉
RPTPMLMKIINFFBH28CA,14,5.77,共有部份,鋼筋混凝土造,93年4月10日,十層,,持分移轉
RPTPMLMKIINFFBH28CA,14,.54,共有部份,鋼筋混凝土造,93年4月10日,十層,,持分移轉
RPTPMLMKIINFFBH28CA,14,2.33,共有部份,鋼筋混凝土造,93年4月10日,十層,,持分移轉
RPTNMLQKIINFFGH98CA,24,182.41,住家用,鋼筋混凝土造,83年12月6日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項,全筆移轉
RPPNMLMLIINFFCH87CA,,19.16,住家用,土造,,一層,一層,持分移轉
RPUPMLTKIINFFBH09CA,39,16.02,商業用,鋼筋混凝土造,69年2月4日,六層,一層 騎樓,持分移轉
RPUQMLLKIINFFBH38CA,25,18.61,住家用,鋼筋混凝土造,82年7月1日,七層,七層 陽台,全筆移轉
RPUQMLLKIINFFBH38CA,25,3.10,共有部份,鋼筋混凝土造,82年7月1日,七層,,持分移轉
RPUQMLLKIINFFBH38CA,25,1.22,共有部份,鋼筋混凝土造,82年7月1日,七層,,持分移轉
RPXRMLRJJINFFBH76CA,9,49.40,住家用,鋼筋混凝土造,98年6月29日,二十一層,五層 陽台,全筆移轉
RPXRMLRJJINFFBH76CA,9,2.22,共有部份,鋼筋混凝土造,98年6月29日,二十二層,,持分移轉
RPXRMLRJJINFFBH76CA,9,2.44,共有部份,鋼筋混凝土造,98年6月29日,二十一層,,持分移轉
RPXRMLRJJINFFBH76CA,9,9.85,共有部份,鋼筋混凝土造,98年6月29日,二十一層,,持分移轉
RPXRMLRJJINFFBH76CA,9,2.04,共有部份,鋼筋混凝土造,98年6月29日,二十二層,,持分移轉
RPWQMLTJJINFFBH76CA,,84.19,集合住宅,鋼筋混凝土造,107年8月22日,十三層,四層 陽台 雨遮,全筆移轉
RPWQMLTJJINFFBH76CA,,70.89,本共有部分之項目有：防空避難室兼停車空間、停車空間、樓梯間、機房、水箱、雨水機房、污水機房、消防機房、垃圾暫存空間、受電箱、台電配電場所、發電機房、電信機房、管委會使用空間、門廳、梯廳、電梯機房、自來水箱、消防水箱等十九項。,鋼筋混凝土造,107年8月22日,十三層,,持分移轉
RPVQMLTJJINFFBH66CA,,73.55,集合住宅,鋼筋混凝土造,107年8月22日,十三層,七層 陽台 雨遮,全筆移轉
RPVQMLTJJINFFBH66CA,,66.21,本共有部分之項目有：防空避難室兼停車空間、停車空間、樓梯間、機房、水箱、雨水機房、污水機房、消防機房、垃圾暫存空間、受電箱、台電配電場所、發電機房、電信機房、管委會使用空間、門廳、梯廳、電梯機房、自來水箱、消防水箱等十九項。,鋼筋混凝土造,107年8月22日,十三層,,持分移轉
RPSRMLTJJINFFBH09CA,,74.58,集合住宅,鋼筋混凝土造,107年8月22日,十三層,十二層 陽台 雨遮,全筆移轉
