編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKJINFFBA47CC,大龍段二小段,.00,都市：商,,,,06260000
RPPNMLMKJINFFCA37CC,中山段三小段,.00,都市：商,,,,04040000
RPWNMLMKJINFFBA97CC,文昌段二小段,11.25,都市：住,,,,06560000
RPWNMLMKJINFFBA97CC,文昌段二小段,18.00,都市：住,,,,06570000
RPSNMLMKJINFFCA67CC,潭美段五小段,.00,都市：其他:工商混合區,,,,00020001
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01290000
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01300000
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01310000
RPOPMLMKJINFFBA37CC,玉泉段一小段,.00,都市：商,,,,03920000
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01310001
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01320000
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01330000
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01340000
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01350000
RPVOMLMKJINFFBA97CC,玉泉段二小段,.00,都市：商,,,,01460000
RPTNMLMKJINFFCA77CC,德惠段四小段,.00,都市：商,,,,04580000
RPTOMLMKJINFFCA87CC,長安段一小段,.00,都市：商,,,,00170000
RPVNMLMKJINFFCA97CC,石潭段四小段,.00,都市：住,,,,03750000
RPPNMLMKJINFFEA57CC,天母段三小段,.00,都市：住,,,,04390000
RPTNMLMKJINFFEA97CC,行義段二小段,.00,都市：住,,,,03220000
RPWPMLMKJINFFCA28CC,碧湖段一小段,.00,都市：住,,,,07260000
RPWNMLMKJINFFEA28CC,芝山段二小段,.00,都市：住,,,,04820000
RPQOMLMKJINFFEA77CC,蘭雅段二小段,.00,都市：商,,,,03230000
RPSOMLMKJINFFEA97CC,大業段三小段,.00,都市：住,,,,07760000
RPUNMLMKJINFFDA97CC,雅祥段四小段,.00,都市：住,,,,05830000
RPXNMLMKJINFFDA28CC,延吉段三小段,.00,都市：商,,,,06220000
RPOOMLMKJINFFDA47CC,信義段三小段,.00,都市：其他:住宅區(信義計劃特定專用區),,,,00240000
