編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLTJNHOFFJE27CA,,233.10,住家用,鋼筋混凝土造,,,,全筆移轉
RPWNMLPKNHOFFJE07CA,,215.01,住家用,鋼筋混凝土造,108年2月22日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPWNMLOKNHOFFJE96CA,,211.22,住家用,鋼筋混凝土造,,,,全筆移轉
RPWNMLTJNHOFFJE37CA,,160.96,住家用,鋼筋混凝土造,,,,全筆移轉
RPPNMLKLNHOFFJE58CA,25,25.26,住家用,鋼筋混凝土造,82年12月15日,十層,六層 陽台,全筆移轉
RPPNMLKLNHOFFJE58CA,25,4.29,樓梯間、門廊、電梯間、水箱、受電室、機械室。,鋼筋混凝土造,82年12月15日,十層,,持分移轉
RPXNMLPKNHOFFEE66CA,24,26.41,住家用,鋼筋混凝土造,84年8月9日,五層,三層 陽台,全筆移轉
RPXNMLPKNHOFFEE66CA,24,3.03,見使用執照,鋼筋混凝土造,84年8月9日,五層,,持分移轉
RPOOMLOLMHOFFAE08DA,37,23.91,,鋼筋混凝土造,70年10月3日,十二層,十一層,全筆移轉
RPOOMLOLMHOFFAE08DA,37,7.42,,鋼筋混凝土造,70年10月3日,十二層,,持分移轉
RPPNMLRJNHOFFCE68CD,31,100.38,住家用,鋼筋混凝土造,77年6月11日,五層,五層 陽台,全筆移轉
RPXNMLNJNHOFFLE07CA,,182.67,集合住宅,鋼筋混凝土造,,,,全筆移轉
RPOOMLNJNHOFFLE88CA,,179.24,集合住宅,鋼筋混凝土造,,,,全筆移轉
RPQNMLNLMHOFFKE98CA,2,208.32,住家用,鋼筋混凝土造,106年8月24日,三層,一層 二層 三層 陽台,全筆移轉
RPVNMLMKMHOFFIE09CA,24,91.16,住家用,鋼筋混凝土造,84年1月11日,七層,五層 陽台 花台,全筆移轉
