編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLPKPHOFFAI76EA,1,219.48,店舖、住宅、樓梯間,鋼筋混凝土構造,107年12月24日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPWNMLPKPHOFFAI96EA,1,228.29,店舖、住宅、樓梯間,鋼筋混凝土構造,107年12月24日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVNMLPKPHOFFAI86EA,1,223.00,店舖、住宅、樓梯間,鋼筋混凝土構造,107年12月24日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPRNMLLKPHOFFAI68EA,1,284.74,住宅、停車空間、樓梯間,鋼筋混凝土構造,107年8月2日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPUNMLMJQHOFFAI88CA,,213.85,住家用,鋼筋混凝土構造,108年5月23日,三層,一層 二層 三層 陽台,全筆移轉
RPVPMLLJQHOFFAI09CA,,269.54,店舖、樓梯間、住宅,鋼骨構造,108年3月22日,二層,一層 二層 陽台,全筆移轉
RPOPMLQKPHOFFAI88CA,23,70.24,住家用,鋼筋混凝土造,85年3月11日,二十層,十八層 陽台,全筆移轉
RPTOMLRLPHOFFAI86CA,30,302.37,住商用,鋼筋混凝土造,78年7月3日,五層,一層 二層 三層 四層 五層 陽台 平台 騎樓 露台,全筆移轉
RPOPMLQKPHOFFAI88CA,23,24.10,共有部份,鋼筋混凝土造,85年3月11日,二十層,,持分移轉
RPPNMLKLPHOFFAI28CA,13,165.13,住宅、梯間,鋼筋混凝土造,95年6月16日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPRPMLMLPHOFFAI88CA,25,100.66,住家用,鋼筋混凝土造,83年7月18日,十二層,八層 陽台,全筆移轉
RPRPMLMLPHOFFAI88CA,25,30.95,共有部份,鋼筋混凝土造,83年7月18日,十二層,,持分移轉
RPOPMLTKPHOFFAI56CA,51,26.15,住家用,木造,57年3月15日,一層,一層,全筆移轉
RPQPMLLJQHOFFAI58CA,,193.91,住宅、樓梯間,鋼筋混凝土構造,108年5月1日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPTNMLMJQHOFFAI78CA,29,80.60,住家用,鋼筋混凝土造,79年6月15日,七層,二層 陽台,全筆移轉
RPTNMLMJQHOFFAI78CA,29,23.87,共有部份,鋼筋混凝土造,79年6月15日,七層,,持分移轉
RPUNMLRLPHOFFAI86CA,28,27.09,住家用,鋼筋混凝土造,80年5月31日,六層,三層,全筆移轉
RPUNMLRLPHOFFAI86CA,28,7.66,共有部份,鋼筋混凝土造,80年5月31日,六層,,持分移轉
RPWNMLMJQHOFFAI09CA,,181.14,住家用,鋼筋混凝土構造,108年5月23日,三層,一層 二層 三層 陽台,全筆移轉
RPVNMLMJQHOFFAI98CA,,224.09,住家用,鋼筋混凝土構造,108年5月23日,三層,一層 二層 三層 陽台,全筆移轉
RPXNMLMJQHOFFAI56CA,,194.77,住家用,鋼筋混凝土構造,108年5月23日,三層,一層 二層 三層 陽台,全筆移轉
RPOOMLSKPHOFFAI98CA,42,89.98,住家用,鋼筋混凝土加強磚造,66年5月24日,二層,一層 二層 騎樓,全筆移轉
RPUNMLSKPHOFFAI86CA,29,126.38,住家用,鋼筋混凝土造,79年12月18日,七層,二層 陽台,全筆移轉
RPUNMLSKPHOFFAI86CA,29,14.46,共有部份,鋼筋混凝土造,79年12月18日,七層,,持分移轉
