編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLMKQHOFFCD48CC,虎尾寮段,.00,,,,,03660090
RPROMLMKQHOFFCD68CC,東安段,.00,,,,,02250000
RPTNMLOKQHOFFID96CC,白崙段,.00,都市：商,,,,00890005
RPTNMLMKQHOFFAD58CC,仁愛段,.00,,,,,04500002
RPRNMLMKQHOFFAD38CC,頂美段,95.54,都市：住,,,,09830000
RPQOMLMKQHOFFAD38CC,金華段,.00,,,,,00410058
RPQOMLOKQHOFFHD66CC,圳西段,.00,都市：工,,,,04940012
RPROMLMKQHOFFAD48CC,金華段,.00,,,,,00410058
RPUNMLOKQHOFFAD88CC,永福段,26.00,都市：商,,,,06770000
RPOOMLOKQHOFFHD09CC,三德段,22.12,都市：住,,,,04760000
RPWNMLPKQHOFFID37CC,媽祖廟段二小段,.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02000000
RPXOMLPKQHOFFAD76CC,觀音段,90.70,都市：商,,,,04620000
RPXOMLPKQHOFFAD76CC,觀音段,9.24,都市：商,,,,04640000
RPOOMLPKQHOFFCD68CC,育樂段,32.75,都市：住,,,,04490000
RPRNMLQKQHOFFAD78CC,三民段,.00,,,,,02380000
RPRNMLQKQHOFFAD78CC,三民段,.00,,,,,02390000
RPSNMLOKQHOFFKD07CC,成功段,34.73,都市：住,,,,02210000
RPQOMLPKQHOFFKD07CC,頂南段,.00,都市：住,,,,04000000
RPWOMLPKQHOFFCD86CC,仁和段,.00,都市：住,,,,00900001
RPUNMLQKQHOFFAD09CC,金華段,.00,,,,,00640000
RPOOMLQKQHOFFAD58CC,頂美段,.00,,,,,07530000
RPVNMLQKQHOFFAD56CC,銀同段,.00,,,,,10610000
RPQOMLQKQHOFFAD78CC,金城段,.00,,,,,00750001
RPVNMLQKQHOFFAD56CC,銀同段,.00,,,,,10620000
RPVNMLQKQHOFFAD56CC,銀同段,.00,,,,,10630000
RPTNMLQKQHOFFID17CC,健康段,.00,都市：住,,,,00180018
RPPNMLQKQHOFFKD96CC,橋北段,.00,都市：住,,,,00520000
RPOOMLTKQHOFFBD98CC,溪東段,109.70,都市：住,,,,01480004
RPXOMLTKQHOFFCD37CC,德高段,.00,,,,,07110002
RPVNMLTKQHOFFCD07CC,仁和段,23.94,都市：住,,,,00900000
RPUNMLKLQHOFFCD78CC,公英段,35.83,都市：住,,,,00080000
RPOOMLKLQHOFFCD28CC,鹽埕段,146.00,都市：住,,,,02300308
RPQNMLKLQHOFFAD18CC,立人段,.00,都市：住,,,,00650003
RPTNMLKLQHOFFCD68CC,水交社段,.00,,,,,00020000
RPVNMLKLQHOFFAD68CC,開元段,.00,都市：其他:廣場兼停車場用地,,,,03610025
RPVNMLKLQHOFFAD68CC,開元段,.00,都市：商,,,,05970000
RPVNMLKLQHOFFAD68CC,開元段,.00,都市：住,,,,06180000
