編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLKMIIOFFAN88CA,46,107.83,住家用,鋼筋混凝土加強磚造,62年5月5日,二層,一層 二層 騎樓,全筆移轉
RPQNMLLMIIOFFGN56DA,28,192.15,住家用,鋼筋混凝土造,81年3月31日,三層,一層 二層 三層,全筆移轉
RPQNMLOKJIOFFDN98CA,,21.13,本共有部分係依使用執照之建築概要表記載項目有防空避難室兼停車空間、台電配電室、消防機械室、發電機室、電信室、梯廳、安全梯間、騎樓、管理室、資源回收室、安全梯、樓梯間、水箱等１３項,鋼筋混凝土造,108年8月6日,七層,,持分移轉
RPQNMLOKJIOFFDN98CA,,40.48,集合住宅,鋼筋混凝土造,108年8月6日,七層,三層 陽台 雨遮,持分移轉
RPQNMLOKJIOFFDN98CA,,21.13,本共有部分係依使用執照之建築概要表記載項目有防空避難室兼停車空間、台電配電室、消防機械室、發電機室、電信室、梯廳、安全梯間、騎樓、管理室、資源回收室、安全梯、樓梯間、水箱等１３項,鋼筋混凝土造,108年8月6日,七層,,持分移轉
RPQNMLOKJIOFFDN98CA,,40.48,集合住宅,鋼筋混凝土造,108年8月6日,七層,三層 陽台 雨遮,持分移轉
RPPNMLTLIIOFFDN76CA,24,51.66,住家用,鋼筋混凝土造,84年8月22日,十層,六層 陽台,全筆移轉
RPPNMLTLIIOFFDN76CA,24,20.68,防空避難室、停車空間、梯間,鋼筋混凝土造,84年8月22日,十層,,持分移轉
RPPNMLTLIIOFFGN07CA,1,860.37,老人長期照顧中心,鋼筋混凝土造,108年3月21日,三層,一層,全筆移轉
RPPNMLTLIIOFFGN07CA,1,309.39,門廳、安全梯梯間、消防機房、污物室、廚房配膳室、梯廳、發電機室、電梯機房、機械室,鋼筋混凝土造,108年3月21日,三層,,持分移轉
RPPNMLTLIIOFFGN07CA,1,905.15,老人長期照顧中心,鋼筋混凝土造,108年3月21日,三層,二層,全筆移轉
RPPNMLTLIIOFFGN07CA,1,325.57,門廳、安全梯梯間、消防機房、污物室、廚房配膳室、梯廳、發電機室、電梯機房、機械室,鋼筋混凝土造,108年3月21日,三層,,持分移轉
RPPNMLTLIIOFFGN07CA,1,243.17,老人長期照顧中心,鋼筋混凝土造,108年3月21日,三層,三層 陽台,全筆移轉
