編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPKJIOFFDQ66CA,39,114.40,住家用,加強磚造,70年4月1日,二層,一層 二層 陽台,全筆移轉
RPRNMLMLIIOFFDQ56CA,42,115.36,住家用,鋼筋混凝土加強磚造,67年2月10日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPVNMLSKIIOFFBQ27CA,39,76.00,住家用,鋼筋混凝土加強磚造,69年12月1日,二層,一層 二層,全筆移轉
RPUNMLNKJIOFFBQ76CA,15,18.19,住家用,鋼筋混凝土造,94年1月3日,五層,三層 陽台,全筆移轉
RPUNMLNKJIOFFBQ76CA,15,2.72,走廊,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPUNMLNKJIOFFBQ76CA,15,1.79,梯廳、樓電梯室、消防泵浦、電信室、梯間,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPUNMLNKJIOFFBQ76CA,15,18.19,住家用,鋼筋混凝土造,94年1月3日,五層,三層 陽台,全筆移轉
RPUNMLNKJIOFFBQ76CA,15,2.72,走廊,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPUNMLNKJIOFFBQ76CA,15,1.79,梯廳、樓電梯室、消防泵浦、電信室、梯間,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPPNMLPLIIOFFBQ56DA,12,364.95,停車空間、店舖、集合住宅,鋼筋混凝土造,96年6月28日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項,全筆移轉
RPSNMLPLIIOFFBQ86DA,,158.94,住宅、門廊、樓梯間,鋼筋混凝土造,108年7月12日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTNMLPLIIOFFBQ96DA,,158.94,住宅、門廊、樓梯間,鋼筋混凝土造,108年7月12日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLMLIIOFFBQ98CA,26,213.75,住家用,鋼筋混凝土加強磚造,82年7月14日,四層,一層 二層 三層 四層 陽台 平台 電梯樓梯間,全筆移轉
RPRNMLOKJIOFFDQ76CA,40,89.50,住商用,鋼筋混凝土加強磚造,69年2月22日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPRNMLOKJIOFFDQ76CA,40,89.50,住商用,鋼筋混凝土加強磚造,69年2月22日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPVNMLOLIIOFFDQ17CA,40,106.12,住家用,鋼筋混凝土加強磚造,69年1月18日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPUNMLLKJIOFFCQ66CA,25,159.55,住家用,鋼筋混凝土造,83年6月29日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項,全筆移轉
RPQNMLNLIIOFFBQ98CA,,211.10,住宅、樓梯間,鋼筋混凝土造,108年8月29日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLNLIIOFFBQ09CA,,211.35,住宅、樓梯間,鋼筋混凝土造,108年8月29日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPSNMLNLIIOFFBQ56CA,,211.35,住宅、樓梯間,鋼筋混凝土造,108年8月29日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTNMLNLIIOFFBQ66CA,,211.10,住宅、樓梯間,鋼筋混凝土造,108年8月29日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTNMLNLIIOFFDQ96DA,2,244.74,住家用,鋼筋混凝土造,107年3月14日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLMJJIOFFCQ56CA,38,120.57,住家用,鋼筋混凝土加強磚造,70年12月29日,二層,一層 二層 陽台 電梯樓梯間,全筆移轉
RPVNMLLKJIOFFCQ76CA,25,34.60,住家用,鋼筋混凝土造,84年2月28日,五層,二層 陽台,全筆移轉
RPVNMLLKJIOFFCQ76CA,25,9.46,共有部分,鋼筋混凝土造,84年2月28日,五層,,持分移轉
RPWNMLLKJIOFFCQ86CA,39,98.10,住家用,鋼筋混凝土加強磚造,70年2月1日,二層,一層 二層,全筆移轉
RPQOMLPJJIOFFDQ76CA,1,168.23,住宅、樓梯間,鋼筋混凝土造,107年5月17日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPRNMLOLIIOFFEQ86CA,24,173.40,廠房,鋼骨造,84年8月8日,一層,一層,全筆移轉
RPPNMLTLIIOFFBQ86CA,39,83.82,住家用,鋼筋混凝土加強磚造,69年12月4日,二層,一層 二層,全筆移轉
RPRNMLSLIIOFFEQ27CA,2,187.53,住宅,鋼筋混凝土造,106年10月31日,三層,一層 二層 三層 陽台,全筆移轉
RPWNMLSJJIOFFDQ57CA,24,70.64,集合住宅,鋼筋混凝土造,84年12月27日,五層,五層 陽台,全筆移轉
RPWNMLSJJIOFFDQ57CA,24,12.77,樓梯間、停車空間,鋼筋混凝土造,84年12月27日,五層,,持分移轉
