編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLLLMHPFFEA18CA,坡道平面,2900000,28.50,
RPSOMLLLMHPFFEA18CA,坡道平面,4000000,39.24,
RPPQMLPKMHPFFCA18CA,坡道平面,2200000,,
RPQOMLKLMHPFFAA47CA,坡道平面,0,,
RPWNMLLLMHPFFEA48CA,坡道平面,0,,
RPOOMLOKMHPFFFA08CA,坡道平面,0,19.82,
RPOOMLOKMHPFFFA08CA,坡道平面,0,19.82,
RPXNMLLJNHPFFDA38CA,坡道平面,0,,
RPXNMLLJNHPFFDA38CA,坡道平面,0,,
RPXQMLLLMHPFFCA68CA,坡道平面,0,43.67,
RPPNMLKLMHPFFFA77CA,坡道平面,0,,
RPPNMLKLMHPFFFA77CA,坡道平面,0,,
RPPNMLRKMHPFFBA97CA,坡道平面,2800000,22.59,
RPXOMLKKOHPFFDA68DA,坡道平面,1950000,39.32,
RPRPMLKLMHPFFEA08CA,坡道平面,0,43.04,
RPWOMLOKMHPFFAA38CA,坡道平面,1880000,,
RPOOMLKLMHPFFFA77CA,升降機械,0,,
RPPPMLKLMHPFFBA57CA,坡道平面,2450000,27.87,
RPPNMLLLMHPFFBA47CA,坡道平面,2550000,27.87,
RPSNMLLLMHPFFCA87CA,坡道平面,2300000,14.03,
RPUNMLLLMHPFFFA48DA,坡道平面,3500000,,
RPOPMLSJNHPFFFA58CA,升降平面,1000000,,
RPPNMLNLMHPFFEA97CA,坡道平面,2300000,42.87,
RPWNMLNLMHPFFDA58CA,坡道平面,1980000,,
RPRNMLSLMHPFFBA38CA,坡道平面,0,10.75,
RPOPMLRLNHPFFEA58CA,坡道平面,0,37.91,
RPOPMLTKNHPFFAA28CA,坡道平面,1700000,35.33,
RPOOMLLKNHPFFCA57CA,坡道平面,2600000,38.04,
RPVOMLMJOHPFFEA58CA,塔式車位,0,,
RPVOMLMJOHPFFEA58CA,塔式車位,0,,
RPVOMLMJOHPFFEA58CA,塔式車位,0,,
RPVOMLMJOHPFFEA58CA,塔式車位,0,,
RPOQMLMLMHPFFCA87CA,坡道平面,0,,
RPOQMLMLMHPFFCA87CA,坡道平面,0,,
RPOQMLMLMHPFFCA87CA,坡道平面,0,,
RPOQMLMLMHPFFCA87CA,坡道平面,0,,
RPOQMLMLMHPFFCA87CA,坡道平面,0,,
RPOQMLMLMHPFFCA87CA,坡道機械,0,,
RPOQMLMLMHPFFCA87CA,坡道機械,0,,
RPOQMLMLMHPFFCA87CA,坡道機械,0,,
RPQOMLNLMHPFFBA87CA,坡道平面,0,,
RPUNMLOLMHPFFDA48CA,坡道平面,0,24.82,
RPURMLNLMHPFFCA68CA,坡道平面,1970000,49.35,
RPTOMLLJOHPFFFA38CA,坡道平面,0,34.91,
RPPOMLLKNHPFFCA67CA,坡道平面,2200000,38.04,
RPOPMLNLMHPFFFA18CA,升降平面,2000000,36.82,
RPRNMLRLMHPFFAA18CA,塔式車位,1100000,.02,
RPSSMLNLMHPFFCA68DA,坡道平面,3000000,,
RPSSMLNLMHPFFCA68DA,坡道平面,3000000,,
RPROMLNLMHPFFCA08CA,坡道平面,0,,
RPQOMLOLMHPFFCA08CA,坡道平面,0,,
RPSPMLMLNHPFFBA18CA,塔式車位,0,20.73,
RPPVMLKMMHPFFCA38CA,坡道平面,2500000,35.33,
RPPVMLKMMHPFFCA38CA,坡道平面,2500000,31.15,
RPPVMLKMMHPFFCA38CA,坡道平面,2500000,31.15,
RPWRMLTLMHPFFCA96DA,坡道平面,1700000,30.48,
RPWRMLTLMHPFFCA96DA,坡道平面,1700000,30.48,
RPWRMLTLMHPFFCA96DA,坡道平面,1700000,30.48,
RPORMLLKNHPFFFA18CA,坡道平面,3100000,36.77,
RPURMLTLMHPFFCA66CA,坡道平面,0,38.97,
RPQNMLSLMHPFFDA48CA,坡道平面,0,32.81,
RPUNMLSLMHPFFBA68CA,坡道機械,0,17.21,
RPSOMLSLMHPFFDA78CA,坡道平面,2650000,49.04,
RPQNMLLKOHPFFCA77CA,坡道平面,0,,
RPXNMLLJNHPFFCA38DA,坡道平面,2350000,31.82,
RPWNMLLJNHPFFCA28DA,坡道平面,1550000,24.27,
RPSNMLSLMHPFFCA58CA,升降平面,0,31.68,
RPQOMLQJNHPFFDA28CA,坡道平面,0,,
RPTOMLSJNHPFFBA58CA,塔式車位,2300000,20.73,
RPUOMLSLMHPFFFA56CA,坡道平面,0,26.67,
RPWNMLTLMHPFFBA98CA,坡道平面,0,34.74,
RPTNMLTLMHPFFFA09CA,坡道平面,0,,
RPTNMLTLMHPFFFA09CA,坡道平面,0,,
RPTNMLTLMHPFFFA09CA,坡道平面,0,,
RPVOMLLJOHPFFCA28CA,坡道平面,0,,
RPUPMLLLNHPFFAA18CA,坡道機械,2000000,13.93,
RPSNMLTLMHPFFDA78CA,坡道平面,2800000,,
RPTNMLTLMHPFFCA88DA,坡道平面,2600000,30.11,
RPRPMLPLNHPFFEA68CA,坡道平面,2000000,38.89,
RPRPMLPLNHPFFEA68CA,坡道平面,2000000,38.89,
RPTOMLTLMHPFFBA78CA,坡道平面,2800000,35.24,
RPUOMLTLMHPFFBA88CA,坡道平面,2300000,35.24,
RPXOMLTLMHPFFBA56CA,坡道平面,2100000,35.24,
RPWOMLTLMHPFFBA09CA,坡道平面,2200000,35.24,
RPVOMLTLMHPFFBA98CA,坡道平面,2100000,35.24,
RPVNMLKMMHPFFDA28CA,升降機械,820000,,
RPVNMLPJNHPFFFA88DA,坡道平面,2500000,37.99,
RPQOMLLKNHPFFCA77CA,坡道平面,2100000,38.04,
RPXQMLOJNHPFFCA88CA,升降平面,1200000,,
RPQOMLMKOHPFFBA97DA,坡道機械,0,,
RPTVMLKMMHPFFCA78CA,塔式車位,0,,
RPRUMLKMMHPFFCA48CA,坡道平面,1800000,37.54,
RPQVMLKMMHPFFCA48CA,坡道機械,800000,19.75,
RPROMLMKNHPFFCA97CA,升降機械,0,18.72,
RPRPMLKMMHPFFDA08CA,坡道平面,2500000,,
RPTNMLNJNHPFFCA08CA,坡道平面,3000000,30.82,
RPTNMLNJNHPFFCA08CA,坡道平面,5500000,61.65,
RPVNMLLKNHPFFAA97CA,升降平面,0,,
RPUOMLPKNHPFFCA68DA,坡道平面,1500000,,
RPUOMLPKNHPFFCA68DA,坡道平面,1500000,,
RPUOMLPKNHPFFCA68DA,坡道平面,1500000,,
RPUOMLPKNHPFFCA68DA,坡道平面,1500000,,
RPXOMLKMMHPFFDA58CA,坡道平面,0,38.91,
RPQNMLTKNHPFFCA48CA,坡道平面,0,33.75,
RPQNMLTKNHPFFCA48CA,坡道平面,0,33.75,
RPPNMLLKOHPFFBA57CA,升降機械,900000,14.06,
RPWOMLLKNHPFFEA58CA,坡道平面,0,,
RPXOMLSJNHPFFCA09CA,坡道平面,0,50.73,
RPSNMLOKNHPFFDA28CA,坡道平面,1500000,,
RPXOMLOJNHPFFEA88CA,坡道平面,2550000,,
RPUNMLPJNHPFFBA38DA,坡道平面,2492,36.73,
RPUNMLOKNHPFFDA48CA,坡道平面,1500000,,
RPSOMLLJNHPFFEA08CA,升降平面,0,37.80,
RPPNMLMKOHPFFBA67CA,坡道機械,0,,
RPROMLPJNHPFFEA38CA,坡道平面,0,,
RPQPMLPJNHPFFCA18CA,坡道平面,1970000,49.35,
RPOQMLPJNHPFFAA87CA,坡道平面,0,,
RPTPMLQLNHPFFCA78CA,坡道平面,0,27.10,
RPTPMLQLNHPFFCA78CA,坡道平面,0,27.10,
RPQOMLPKNHPFFBA18DA,坡道機械,0,,
RPSPMLQJNHPFFBA38CA,坡道平面,2000000,34.74,
RPRPMLLKNHPFFCA97CA,坡道平面,0,47.42,
