鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹽埕區,建物,高雄市鹽埕區五福四路２６３號４樓之４,0.0,商,,,1090206,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0711210,33.76,1,0,1,有,有,有,7600,225,,0.0,0,106年度高雄市政府包租代管計畫,RPPNMLLKKHPFFAE67CC
鼓山區,建物,高雄市鼓山區中華一路４８５號,19.19,住,,,1090207,土地0建物1車位0,,3,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830825,171.11,3,2,2,有,無,有,28000,164,,0.0,0,,RPSNMLLKKHPFFAE97CC
鼓山區,建物,高雄市鼓山區裕誠路１０９１號１２樓A室,0.0,商,,,1090207,土地0建物1車位1,,12,辦公商業大樓,商業用,鋼筋混凝土造,0790216,115.67,0,0,0,無,有,無,21000,182,坡道平面,0.0,0,,RPOOMLLKKHPFFAE67CC
鼓山區,建物,高雄市鼓山區裕誠路１０９１號１２樓A室,0.0,商,,,1090207,土地0建物1車位1,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0790216,115.67,0,0,0,無,有,無,21000,182,坡道平面,0.0,0,,RPQOMLLKKHPFFAE87CC
苓雅區,建物,高雄市苓雅區廣東一街１１９號５樓,0.0,住,,,1090206,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0721029,102.89,3,2,2,有,無,有,10000,97,,0.0,0,高雄市政府包租代管計畫,RPUNMLLKKHPFFBE28CC
苓雅區,建物,高雄市苓雅區仁義街１６６號８樓之５、之６,0.0,商,,,1090211,土地0建物2車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860104,107.03,4,1,2,有,無,有,14500,135,,0.0,0,兩戶為打通物件,RPSOMLLKKHPFFBE18CC
三民區,房地(土地+建物),高雄市三民區昌裕街１９０巷２號,54.76,住,,,1090120,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0760508,138.4,3,2,3,有,無,有,16000,116,,0.0,0,,RPROMLLKKHPFFDE28CC
三民區,土地,中都段三小段213地號,185.0,住,,,1090203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,135,,0.0,0,1.承租未保存登記建物約52坪.,RPSOMLLKKHPFFDE38CC
三民區,建物,高雄市三民區鼎貴路１５１號１樓,150.0,住,,,1090207,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0910104,50.03,0,0,0,無,無,無,50000,999,,0.0,0,,RPUOMLLKKHPFFDE58CC
左營區,建物,高雄市左營區民族一路９６９號６樓,0.0,住,,,1090206,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850712,150.44,3,2,2,有,有,有,13500,90,,0.0,0,高雄市政府包租代管計畫,RPOOMLLKKHPFFEE08CC
左營區,房地(土地+建物)+車位,高雄市左營區富民路２１３號,36.1,住,,,1090210,土地1建物1車位0,見其它登記事項,13,店面(店鋪),住商用,鋼筋混凝土造,0790417,254.54,0,0,0,有,有,無,75000,295,坡道機械,0.0,0,,RPSOMLLKKHPFFEE48CC
楠梓區,房地(土地+建物),高雄市楠梓區加仁路１３３號,83.03,住,,,1090116,土地1建物1車位0,全,4,透天厝,見其它登記事項,見其它登記事項,1080528,224.01,0,0,0,無,無,有,40000,179,,0.0,0,,RPPPMLLKKHPFFEE28CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區北賢街６７號１１樓,26.71,其他,,,1090202,土地1建物1車位1,見其他登記事項,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080827,153.89,3,2,2,有,有,無,17000,110,坡道平面,20.21,0,,RPQNMLLKKHPFFGE38CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區北賢街４９號１３樓,19.88,住,,,1090209,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080827,115.26,2,2,1,有,有,無,13000,113,坡道平面,20.21,0,,RPTNMLLKKHPFFGE68CC
鳳山區,土地,牛潮埔段1099地號,223.04,工,,,1090208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,38000,170,,0.0,0,,RPSOMLLKKHPFFGE68CC
鳥松區,土地,夢裡段1030-1地號,382.0,農,,,1090121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,35000,92,,0.0,0,1.承租未保存登記建物約90坪,RPPNMLLKKHPFFIE48CC
鳥松區,土地,夢裡段1011地號,528.92,農,,,1090118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,35000,66,,0.0,0,1.實際承租地坪為160坪.2.承租未保存登記建物約145坪.,RPQNMLLKKHPFFIE58CC
大社區,土地,保甲段1160地號,198.34,農,,,1090131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,17000,86,,0.0,0,1.實際承租地坪約60坪.2.承租未保存登記建物約40坪.,RPWNMLLKKHPFFIE56CC
大社區,土地,三奶壇段372-3地號,231.4,其他,,,1090203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,16500,71,,0.0,0,1.租賃期間:2年又7天.2.實際承租地坪約70坪.3.承租未保存登記建物約75坪.,RPXNMLLKKHPFFIE66CC
