編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSLMHPFFAN86DA,坡道平面,0,,
RPVNMLQJNHPFFAN07CA,坡道平面,800000,,
RPQNMLLJNHPFFAN68CA,坡道機械,0,,
RPROMLNKNHPFFDN86CA,坡道平面,0,,
RPSNMLPLNHPFFAN86CA,坡道機械,0,,
RPXNMLKLNHPFFAN86CA,坡道機械,0,,
RPRNMLSLNHPFFDN37CA,坡道平面,0,,
RPRNMLLKNHPFFAN88CA,坡道平面,0,,
RPPNMLQKNHPFFDN86CA,坡道平面,1000000,31.22,
RPPOMLRLLHPFFAN66CA,坡道平面,0,,
RPTNMLQKMHPFFDN17CA,坡道平面,1040000,29.77,
RPTNMLQKMHPFFDN17CA,坡道平面,1040000,29.77,
RPVNMLTJMHPFFAN27CA,坡道機械,0,,
RPQNMLKMMHPFFDN09CA,坡道機械,0,18.01,
RPOPMLTJMHPFFAN76CA,坡道平面,0,22.53,
RPRNMLSJMHPFFAN76CA,坡道平面,0,31.26,
RPRNMLSJMHPFFAN76CA,坡道平面,0,31.26,
RPQNMLQKMHPFFBN66CA,坡道平面,0,,
RPXNMLKLMHPFFDN07CA,坡道平面,1100000,30.55,
RPSNMLQKMHPFFCN96CA,坡道平面,0,,
RPRNMLLLMHPFFGN86CA,一樓平面,0,,
RPRNMLQKMHPFFCN86CA,坡道平面,0,,
RPWNMLSLMHPFFAN47CA,坡道平面,0,,
RPPNMLNKNHPFFCN09CA,坡道機械,0,,
RPRNMLOJNHPFFDN76CA,坡道平面,1100000,30.55,
RPQNMLPJNHPFFAN09CA,升降機械,0,,
RPSNMLOJNHPFFDN86CA,坡道平面,950000,30.55,
RPTNMLKMMHPFFDN76CA,坡道平面,0,,
RPPOMLMKNHPFFAN88CA,坡道平面,0,,
RPRNMLSJNHPFFAN86CA,坡道機械,300000,,
RPRNMLSJNHPFFAN86CA,坡道機械,300000,,
RPVNMLLJNHPFFHN27CA,坡道平面,0,,
