編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRPMLKLMHPFFAO09CA,23,21.01,住家用,鋼筋混凝土造,86年7月15日,十二層,七層 陽台,全筆移轉
RPRPMLKLMHPFFAO09CA,23,3.32,共有部分,鋼筋混凝土造,86年7月15日,十二層,,持分移轉
RPRPMLKLMHPFFAO09CA,23,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,,持分移轉
RPRPMLKLMHPFFAO09CA,23,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,,持分移轉
RPUNMLLLMHPFFAO66CA,30,12.94,見使用執照,鋼筋混凝土造,79年8月16日,九層,地下二層,全筆移轉
RPUNMLLLMHPFFAO66CA,30,2.90,共有部分,鋼筋混凝土造,79年8月16日,九層,,持分移轉
RPRNMLLLMHPFFAO98CA,23,25.92,住家用,鋼筋混凝土造,86年7月7日,五層,三層 陽台,全筆移轉
RPRNMLLLMHPFFAO98CA,23,6.60,共有部分,鋼筋混凝土造,86年7月7日,五層,,持分移轉
RPRNMLLLMHPFFAO98CA,23,.68,住家用,鋼筋混凝土造,86年7月7日,四層,一層,持分移轉
RPRNMLLLMHPFFAO98CA,23,.68,住家用,鋼筋混凝土造,86年7月7日,四層,三層,持分移轉
RPXPMLOLMHPFFAO57DA,30,135.99,住家用,鋼筋混凝土造,78年11月7日,十二層,五層 陽台,全筆移轉
RPXPMLOLMHPFFAO57DA,30,25.52,共有部分,鋼筋混凝土造,78年11月7日,十二層,,持分移轉
RPOPMLQJNHPFFAO86EA,13,.23,守衛室,鋼筋混凝土造,96年8月7日,十七層,一層,持分移轉
RPOPMLQJNHPFFAO86EA,13,275.25,集合住宅,鋼筋混凝土造,96年8月7日,十七層,十一層 陽台 雨遮,全筆移轉
RPOPMLQJNHPFFAO86EA,13,.04,樓梯間,鋼筋混凝土造,96年8月7日,十七層,,持分移轉
RPOPMLQJNHPFFAO86EA,13,50.10,防空避難室兼停車空間、防災中心、樓梯間,鋼筋混凝土造,96年8月7日,十七層,,持分移轉
RPOPMLQJNHPFFAO86EA,13,42.29,樓梯間,鋼筋混凝土造,96年8月7日,十七層,,持分移轉
RPOPMLQJNHPFFAO86EA,13,68.87,防空避難室兼停車空間、防災中心、樓梯間,鋼筋混凝土造,96年8月7日,十七層,,持分移轉
RPQOMLTLMHPFFAO17CA,11,.01,守衛室,鋼筋混凝土造,97年11月26日,十四層,一層,持分移轉
RPTNMLRLMHPFFAO17CA,2,98.24,集合住宅,鋼筋混凝土造,107年9月3日,二十七層,二十三層 陽台,全筆移轉
RPQOMLTLMHPFFAO17CA,11,.00,樓梯間、樓梯電梯間、水箱、昇降機械室,鋼筋混凝土造,97年11月26日,十四層,,持分移轉
RPTNMLRLMHPFFAO17CA,2,24.04,共有部分,鋼筋混凝土造,107年9月3日,二十七層,,持分移轉
