編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLKKQHPFFBJ09DA,坡道平面,1200000,30.46,地下五樓含以下
RPTRMLQJQHPFFBJ37DA,坡道平面,1150000,33.13,地下一樓
RPUQMLOLQHPFFBJ47EA,坡道平面,0,29.81,地下四樓
RPTRMLPJQHPFFBJ27DA,坡道平面,0,,地下四樓
RPRPMLMKQHPFFBJ66DA,坡道平面,1200000,,地下一樓
RPTNMLPJQHPFFBJ86DA,一樓平面,1000000,26.90,一樓
RPQNMLKLQHPFFDJ09DA,坡道平面,900000,26.27,地下二樓
RPROMLSKQHPFFDJ37DA,坡道平面,950000,28.51,地下二樓
RPOOMLSKQHPFFDJ07DA,坡道平面,900000,26.27,地下二樓
RPVNMLSKQHPFFDJ67DA,坡道平面,900000,26.27,地下二樓
RPTNMLPLQHPFFCJ17DA,坡道平面,0,28.75,地下二樓
RPXNMLLLQHPFFCJ17DA,坡道平面,0,,地下一樓
RPXNMLLLQHPFFCJ17DA,坡道平面,0,,地下一樓
RPQQMLKLQHPFFBJ56DA,坡道平面,700000,33.13,地下一樓
RPPQMLKLQHPFFBJ09DA,坡道平面,650000,32.10,地下一樓
RPTOMLKKQHPFFCJ66DA,坡道平面,1100000,27.34,地下二樓
RPQOMLPLQHPFFBJ96EA,坡道平面,0,,地下一樓
RPXNMLPLQHPFFBJ47DA,坡道平面,0,35.68,地下四樓
RPXNMLPLQHPFFBJ47DA,坡道平面,0,35.68,地下四樓
RPXNMLOLQHPFFBJ37DA,坡道機械,0,5.88,地下二樓
RPXNMLLMQHPFFBJ17DA,坡道平面,0,31.69,地下三樓
RPPPMLSJQHPFFBJ96DA,坡道平面,0,,地下一樓
RPOOMLRLQHPFFDJ07DA,一樓平面,0,,一樓
RPWNMLLJRHPFFBJ96EA,坡道平面,1200000,34.50,地下三樓
RPWNMLLJRHPFFBJ96EA,坡道平面,1200000,29.81,地下三樓
RPPOMLLMQHPFFDJ66DA,坡道機械,0,5.68,一樓
RPOPMLKLQHPFFCJ98DA,坡道平面,0,,地下一樓
RPPNMLLMQHPFFBJ98DA,坡道平面,0,33.69,地下一樓
RPTNMLMKQHPFFDJ86DA,坡道平面,0,,地下一樓
RPTNMLRLQHPFFBJ27DA,坡道平面,0,32.29,地下二樓
RPSOMLSLQHPFFBJ37DA,坡道平面,1250000,41.35,地下一樓
RPRNMLLJRHPFFBJ98DA,坡道平面,500000,29.09,地下一樓
RPTOMLLMQHPFFBJ86DA,坡道平面,0,15.41,地下二樓
RPTOMLLMQHPFFBJ86DA,坡道平面,0,15.41,地下二樓
RPPNMLPLQHPFFBJ66DA,坡道平面,0,,地下二樓
RPXNMLLLQHPFFBJ07DA,坡道平面,950000,26.90,地下一樓
RPWQMLMJRHPFFBJ37EA,坡道平面,0,29.81,地下四樓
RPSRMLMJRHPFFBJ07EA,坡道平面,0,25.95,地下三樓
RPRNMLLMQHPFFBJ66EA,坡道平面,1250000,16.55,地下一樓
RPRNMLLMQHPFFBJ66EA,坡道機械,700000,8.29,地下二樓
RPRNMLLMQHPFFBJ66EA,坡道機械,700000,8.29,地下二樓
RPRNMLLMQHPFFBJ66EA,坡道機械,0,,地下二樓
RPXNMLSKQHPFFDJ87DA,坡道平面,1000000,26.27,地下一樓
RPOOMLSLQHPFFDJ17DA,坡道平面,1000000,30.31,地下二樓
RPTNMLMJRHPFFDJ86DA,坡道平面,900000,26.27,地下二樓
RPUNMLMJRHPFFDJ96DA,坡道平面,900000,26.27,地下二樓
RPVNMLNJRHPFFBJ07EA,坡道平面,0,,地下三樓
RPVNMLNJRHPFFBJ07EA,坡道平面,0,,地下三樓
RPWNMLLMQHPFFBJ07DA,坡道平面,0,,地下二樓
RPSOMLLKQHPFFBJ56DA,坡道平面,0,34.86,地下一樓
RPVOMLNJRHPFFBJ07DA,坡道平面,0,30.77,地下三樓
RPVOMLNJRHPFFBJ07DA,坡道平面,0,30.77,地下三樓
RPUOMLMJRHPFFBJ86DA,坡道平面,0,35.96,地下二樓
RPROMLLLQHPFFCJ66DA,坡道平面,0,,地下一樓
RPQPMLNJRHPFFBJ76EA,坡道平面,0,38.62,地下一樓
RPSNMLOJRHPFFBJ76DA,坡道平面,0,,地下一樓
RPTNMLNJRHPFFBJ76DA,坡道平面,0,,地下一樓
RPWOMLNJRHPFFBJ27EA,坡道平面,0,,地下一樓
RPWOMLNJRHPFFBJ27EA,坡道平面,0,,地下二樓
RPRQMLRJRHPFFBJ37EA,升降機械,0,,地下一樓
RPWOMLOJRHPFFBJ37EA,坡道平面,1100000,,地下二樓
RPWOMLOJRHPFFBJ37EA,坡道平面,1100000,,地下二樓
RPRRMLMJRHPFFBJ96EA,坡道平面,1300000,,地下一樓
RPWNMLRJRHPFFCJ57DA,坡道平面,0,,地下二樓
