編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSOMLLKQHPFFCA48CC,36,77.10,商業用,鋼筋混凝土造,73年2月27日,七層,,
RPPOMLLKQHPFFCA18CC,35,87.10,住家用,鋼筋混凝土造,74年5月23日,五層,,
RPOOMLLKQHPFFBA97CC,43,83.66,住家用,鋼筋混凝土造,66年9月5日,五層,,
RPSOMLLKQHPFFCA48CC,36,4.85,共有部分,鋼筋混凝土造,73年2月27日,七層,,
RPPOMLLKQHPFFCA18CC,35,7.86,共有部分,鋼筋混凝土造,74年5月23日,五層,,
RPVOMLLKQHPFFCA78CC,39,98.24,住家用,鋼筋混凝土造,70年7月14日,五層,,
RPRNMLLKQHPFFCA28CC,40,82.73,見使用執照,鋼筋混凝土造,69年5月29日,四層,,
RPQRMLLKQHPFFCA58CC,31,69.81,住家用,鋼筋混凝土造,78年5月17日,十五層,,
RPUNMLLKQHPFFAA38CC,52,105.95,住家用,加強磚造,57年11月30日,四層,,
RPQRMLLKQHPFFCA58CC,31,15.98,共有部分,鋼筋混凝土造,78年5月17日,十五層,,
RPTOMLLKQHPFFFA88CC,39,65.45,見使用執照,鋼筋混凝土造,70年12月31日,十一層,,
RPTOMLLKQHPFFFA88CC,39,8.68,共有部分,鋼筋混凝土造,70年12月31日,十二層,,
RPWRMLLKQHPFFCA56CC,9,150.71,住家用,鋼筋混凝土造,100年3月22日,十二層,,
RPWRMLLKQHPFFCA56CC,9,78.32,本共有部分之項目有管理委員會使用空間、門廳、汽車昇降機控制設備、機電設備空間、梯廳、一般安全梯〈甲梯〉、一般安全梯〈乙梯〉、一般安全梯〈丙梯〉、機車昇降機、陽台、雨遮、昇降機間、機房〈供電信使用〉、防空避難室兼停車空間、發電機室、台電配電室、昇降機坑、消防泵浦室、水箱、電梯機房、梯間、消防水箱等２２項。,鋼筋混凝土造,100年3月22日,十二層,,
RPSOMLLKQHPFFDA58CC,,52.70,,加強磚造,,二層,,
RPURMLLKQHPFFCA98CC,31,79.88,商業用,鋼筋混凝土造,78年5月22日,五層,,
RPURMLLKQHPFFCA98CC,31,3.59,商業用,鋼筋混凝土造,78年5月22日,五層,,
RPURMLLKQHPFFCA98CC,31,12.32,共有部分,鋼筋混凝土造,78年5月22日,五層,,
RPRNMLLKQHPFFDA38CC,10,115.96,住家用,鋼筋混凝土造,99年12月1日,十三層,,
RPUPMLMKQHPFFDA98CC,,30.64,工業用,鋼筋混凝土造,,四層,,
