鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷A5-5F,33.21,住,,,1080912,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.0,3,1,2,有,無,9880000,64595,坡道平面,36.72,1400000,,RPTPMLMKQHPFFKD17CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷A5-7F,33.69,住,,,1081014,土地1建物1車位2,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.72,3,1,2,有,無,11100000,63224,坡道平面,73.44,2800000,,RPVPMLMKQHPFFKD37CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷A5-8F,33.69,住,,,1081114,土地1建物1車位2,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.72,3,1,2,有,無,11300000,64747,坡道平面,73.44,2800000,,RPWNMLNKQHPFFKD37CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷A5-9F,33.69,住,,,1081114,土地1建物1車位2,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.72,3,1,2,有,無,10950000,63605,坡道平面,73.44,2600000,,RPPOMLNKQHPFFKD76CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷B1-2F,23.44,住,,,1090305,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.63,2,1,1,有,無,7300000,64193,坡道平面,36.72,1400000,,RPVOMLNKQHPFFKD37CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷B1-3F,23.44,住,,,1081206,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.63,2,1,1,有,無,7130000,63432,坡道平面,36.72,1300000,,RPWOMLNKQHPFFKD47CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷B1-5F,23.44,住,,,1090122,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.63,2,1,1,有,無,7160000,63758,坡道平面,36.72,1300000,,RPVNMLOKQHPFFKD37CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷B1-6F,23.44,住,,,1090107,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.63,2,1,1,有,無,7220000,64411,坡道平面,36.72,1300000,,RPWNMLOKQHPFFKD47CB,大聚,
永康區,房地(土地+建物)+車位,臺南市永康區小東路423巷B1-7F,23.44,住,,,1081111,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.63,2,1,1,有,無,7380000,65064,坡道平面,36.72,1400000,,RPWOMLSKQHPFFKD97CB,大聚,
