編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWOMLLKQHPFFAH66CB,坡道平面,1750000,34.24,地下四樓
RPUSMLLKQHPFFAH86CB,坡道平面,1800000,34.24,地下三樓
RPRUMLLKQHPFFAH76CB,坡道平面,1800000,34.24,地下四樓
RPRVMLLKQHPFFAH86CB,坡道平面,1700000,34.24,地下三樓
RPVUMLLKQHPFFAH17CB,坡道平面,1900000,34.24,地下三樓
RPWVMLLKQHPFFAH37CB,坡道平面,1800000,34.24,地下三樓
RPPWMLLKQHPFFAH76CB,坡道平面,1800000,34.24,地下三樓
RPUWMLLKQHPFFAH27CB,坡道平面,1950000,34.24,地下一樓
RPSWMLLKQHPFFAH07CB,坡道平面,1700000,34.24,地下四樓
RPWWMLLKQHPFFAH47CB,坡道平面,1800000,34.24,地下四樓
RPVWMLLKQHPFFAH37CB,坡道平面,1950000,34.24,地下二樓
RPONNLLKQHPFFAH48CB,坡道平面,1950000,34.24,地下二樓
RPQNNLLKQHPFFAH68CB,坡道平面,1950000,34.24,地下二樓
RPRNNLLKQHPFFAH78CB,坡道平面,2000000,34.24,地下一樓
RPSNNLLKQHPFFAH88CB,坡道平面,1950000,34.24,地下二樓
RPXNNLLKQHPFFAH76CB,坡道平面,1900000,34.24,地下三樓
RPQOMLLKQHPFFBH78CB,坡道平面,0,,地下二樓
RPROMLLKQHPFFBH88CB,坡道平面,0,,地下二樓
RPUOMLLKQHPFFBH56CB,坡道平面,0,,地下二樓
RPSOMLLKQHPFFBH98CB,坡道平面,0,,地下二樓
RPOPMLLKQHPFFBH68CB,坡道平面,0,,地下二樓
RPQPMLLKQHPFFBH88CB,坡道平面,0,,地下一樓
RPSPMLLKQHPFFBH09CB,坡道平面,0,,地下二樓
RPTPMLLKQHPFFBH56CB,坡道平面,0,,地下一樓
RPXPMLLKQHPFFBH96CB,坡道平面,0,,地下二樓
