編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLTKQHPFFBM67CC,草屯段,52.00,都市：其他:商業區 64.03%， 道路 35.97%,,,,07290134
RPTNMLTKQHPFFBM77CC,玉峰段,34.04,都市：其他:住宅區 99.99%， 道路 0.01%,,,,05280000
RPVNMLPLQHPFFBM67CC,建興段,112.11,都市：住,,,,04270000
RPWNMLPLQHPFFBM77CC,建興段,112.11,都市：住,,,,04270000
RPRNMLLLRHPFFAM86CC,新豐段新豐小段,545.16,都市：住,,,,00060000
RPPOMLNJRHPFFAM76CC,南投段,78.00,都市：商,,,,04560008
RPQNMLQKRHPFFCM37CC,和平段,166.31,都市：商,,,,09350000
RPQNMLQKRHPFFCM37CC,和平段,138.52,都市：商,,,,09360000
RPQNMLQKRHPFFCM37CC,和平段,69.04,都市：商,,,,09370000
RPTNMLQLRHPFFBM67CC,明賢段,82.68,都市：住,,,,10920000
RPXNMLSLIIPFFBM47CC,新富功段,177.74,都市：農,,,,02990000
RPOOMLOJJIPFFAM68CC,新廍段,98.37,都市：住,,,,01750000
