鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
頭份市,土地,光華段706-1地號,53.08,商,,,1130202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11199880,211000,,0.0,0,,RPQNMLQJKHJGFFK68DA,0.0,0.0,0.0,無,0001
竹南鎮,房地(土地+建物),苗栗縣竹南鎮營盤里１３鄰環市路三段８８之７號,92.63,住,,,1130206,土地1建物1車位0,全,四層,透天厝,住家用,增建ＲＣ構造,0630730,245.48,0,0,0,無,無,13000000,52957,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQKKHJGFDK68DA,228.56,0.0,16.92,無,0002
竹南鎮,土地,大埔段中大埔小段542-5地號,743.0,,特定農業區,農牧用地,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4044600,5444,,0.0,0,,RPQNMLMJKHJGFDK08DA,0.0,0.0,0.0,無,
竹南鎮,土地,仁德段719地號,36.18,,,,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,12438,,0.0,0,包含公共設施保留地用地；,RPSNMLPKKHJGFDK68DA,0.0,0.0,0.0,無,0003
通霄鎮,土地,土城段521地號,964.0,,特定農業區,農牧用地,1130202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1400000,1452,,0.0,0,,RPSNMLKLKHJGFCK18DA,0.0,0.0,0.0,無,
卓蘭鎮,土地,新坪頂段410地號,555.58,,山坡地保育區,農牧用地,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,117600,212,,0.0,0,,RPQNMLMLKHJGFAK97DA,0.0,0.0,0.0,無,
苑裡鎮,土地,田寮段871-1地號,1646.0,,特定農業區,農牧用地,1130207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3550000,2157,,0.0,0,,RPRNMLKLKHJGFCK08DA,0.0,0.0,0.0,無,0004
卓蘭鎮,土地,食水坑段142地號,3214.58,,山坡地保育區,農牧用地,1130206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1988000,618,,0.0,0,,RPPNMLMLKHJGFAK87DA,0.0,0.0,0.0,無,
銅鑼鄉,土地,新雞隆段1585-770地號,60.0,,山坡地保育區,林業用地,1130205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,60000,1000,,0.0,0,,RPPNMLLLKHJGFEK28EA,0.0,0.0,0.0,無,0005
西湖鄉,土地,新四湖段832地號,7.6,,特定農業區,水利用地,1130220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16895,2223,,0.0,0,協議價購；,RPQNMLTKKHJGFEK98DA,0.0,0.0,0.0,無,
西湖鄉,土地,鴨母坑段840地號,121.0,,山坡地保育區,丙種建築用地,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,4132,,0.0,0,本土地交易價格包含一棟老舊未登記建物4房2廳1衛.,RPPNMLQLKHJGFEK68DA,0.0,0.0,0.0,無,
苑裡鎮,土地,苑中段1167地號,4.36,商,,,1130219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,534366,122561,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLMLKHJGFCK08DA,0.0,0.0,0.0,無,0006
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英三街１５號三樓之六,20.05,,山坡地保育區,丙種建築用地,1130202,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930513,27.37,1,1,1,有,有,600000,21922,,0.0,0,,RPVNMLLLKHJGFDK68DA,17.94,0.82,1.93,無,
大湖鄉,土地,大湖段478-5地號,1455.0,,山坡地保育區,農牧用地,1130202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,320000,220,,0.0,0,,RPPNMLQLKHJGFAK28DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物),苗栗縣苗栗市福星里６鄰忠勇新村５４號,85.93,住,,,1130203,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,94.94,3,2,2,有,無,4600000,48452,,0.0,0,頂樓加蓋；其他增建；,RPXNMLTLKHJGFBK86DA,94.94,0.0,0.0,無,
後龍鎮,土地,苦苓腳段3095地號,1105.0,,特定農業區,農牧用地,1130217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1900000,1719,,0.0,0,,RPUPMLTKKHJGFDK86DA,0.0,0.0,0.0,無,0007
竹南鎮,房地(土地+建物),苗栗縣竹南鎮佳興里２３鄰環市路三段６０２號,13.77,住,,,1130220,土地1建物1車位0,一層，騎樓,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1011213,118.38,0,1,1,有,有,8800000,74337,,0.0,0,,RPWOMLMLKHJGFDK98DA,82.85,3.24,5.68,有,0008
頭份市,房地(土地+建物)+車位,苗栗縣頭份市文化里１６鄰八德二路１８９巷２７號九樓,29.57,住,,,1130208,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120217,154.03,3,2,2,有,有,14400000,93488,坡道平面,27.16,0,,RPXNMLTKKHJGFFK17DA,77.56,0.0,7.8,有,0009
苗栗市,房地(土地+建物),苗栗縣苗栗市啟文路２２號,116.02,住,,,1130201,土地1建物1車位0,一層，見其他登記事項,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0600114,94.85,4,2,2,有,無,3143724,33144,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRKKHJGFBK58DA,94.85,0.0,0.0,無,
後龍鎮,土地,龍頂段85地號,807.66,住,,,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,45140000,55890,,0.0,0,,RPTNMLLJKHJGFDK28DA,0.0,0.0,0.0,無,
竹南鎮,土地,龍天段1398地號,44.66,都市：其他:綠地,,,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,11196,,0.0,0,包含公共設施保留地用地；,RPUNMLMJKHJGFDK48DA,0.0,0.0,0.0,無,0010
泰安鄉,土地,細道邦段1278-27地號,7108.89,,山坡地保育區,林業用地,1130220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,270000,38,,0.0,0,,RPPNMLOJLHJGFAK08EA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福星里５鄰國華路３０１號十二樓之二,8.85,住,,,1130201,土地4建物1車位1,十二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810929,92.51,1,1,1,有,有,2620000,28321,坡道平面,0.0,0,停車位B1：75號,RPOOMLQJKHJGFBK18DA,55.56,0.0,0.0,有,
後龍鎮,土地,龍北段838-6地號,121.0,住,,,1130201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5680000,46942,,0.0,0,,RPPNMLLJKHJGFDK87DA,0.0,0.0,0.0,無,
銅鑼鄉,土地,新雞隆段1090-3地號,163.0,,山坡地保育區,農牧用地,1130201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,378649,2323,,0.0,0,協議價購；,RPRNMLTLJHJGFEK09DA,0.0,0.0,0.0,無,
