編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLLJIIGFAM97CB,坡道平面,1150000,25.00,地下二樓
RPXNMLKLJIIGFAM58CB,坡道平面,1150000,25.00,地下二樓
RPPNMLNLJIIGFAM08CB,坡道平面,1150000,25.00,地下二樓
RPPNMLRLJIIGFAM58DB,坡道平面,1600000,22.62,地下一樓
RPPNMLSLJIIGFAM58CB,坡道平面,1000000,23.14,地下二樓
RPRNMLSLJIIGFAM78CB,坡道平面,1250000,25.00,地下一樓
RPQNMLSLJIIGFAM68CB,坡道平面,1150000,25.00,地下二樓
RPPNMLRLJIIGFBM58CB,坡道平面,1150000,52.49,地下一樓
RPQNMLRLJIIGFBM68CB,坡道平面,1150000,52.49,地下一樓
RPPNMLKMJIIGFBM97CB,坡道平面,1150000,52.49,地下二樓
RPQNMLKMJIIGFBM08CB,坡道平面,1550000,35.80,地下一樓
RPPNMLKMJIIGFAM87CB,坡道機械,700000,18.76,地下二樓
RPSNMLSLJIIGFAM88CB,坡道平面,1150000,25.00,地下二樓
RPTNMLSLJIIGFAM98CB,坡道平面,1150000,25.00,地下二樓
RPPNMLLLJIIGFAM87CB,坡道平面,1150000,25.00,地下二樓
RPTNMLMJKIIGFDM58CB,一樓平面,1000000,12.23,一樓
RPWNMLKLJIIGFAM48CB,坡道平面,1150000,25.00,地下二樓
RPSNMLKMJIIGFCM38CB,坡道平面,3000000,33.11,地下三樓
RPRNMLKMJIIGFCM28CB,坡道平面,3000000,33.11,地下二樓
RPPNMLPJKIIGFCM38CB,坡道平面,3000000,33.11,地下三樓
RPTNMLKMJIIGFCM48CB,坡道平面,3000000,33.11,地下三樓
RPPNMLQJKIIGFCM48CB,坡道平面,3000000,33.11,地下二樓
RPQNMLQJKIIGFCM58CB,坡道平面,3000000,33.11,地下三樓
RPPNMLRJKIIGFBM48CB,坡道平面,1150000,52.49,地下一樓
RPRNMLSJKIIGFCM88CB,坡道平面,1400000,26.00,地下三樓
RPPNMLSJKIIGFDM78CB,一樓平面,850000,13.72,一樓
RPVNMLKLJIIGFAM38CB,坡道平面,1150000,25.00,地下二樓
RPPNMLLKKIIGFCM08CB,坡道平面,1400000,26.00,地下三樓
RPQNMLLKKIIGFCM18CB,坡道平面,1500000,26.00,地下二樓
RPPNMLNKKIIGFAM08CB,坡道平面,1450000,26.45,地下二樓
RPPNMLQJKIIGFAM28CB,坡道平面,1150000,25.00,地下二樓
RPQNMLQJKIIGFAM38CB,坡道平面,1150000,25.00,地下二樓
RPQNMLNKKIIGFAM18CB,坡道平面,1250000,25.00,地下一樓
RPPNMLNKKIIGFCM28CB,坡道平面,1400000,26.00,地下三樓
RPRNMLNKKIIGFCM48CB,坡道平面,1400000,26.00,地下三樓
RPQNMLNKKIIGFDM48CB,一樓平面,1000000,12.23,一樓
RPRNMLNKKIIGFDM58CB,一樓平面,850000,12.23,一樓
RPSNMLNKKIIGFDM68CB,升降機械,750000,6.88,一樓
RPQNMLOKKIIGFCM48CB,坡道平面,3000000,33.11,地下二樓
RPPNMLOKKIIGFCM38CB,坡道平面,3000000,33.11,地下三樓
