編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLPKJIIGFAU66DC,39,35.70,住家用,鋼筋混凝土造,73年8月27日,五層,,
RPPNMLPKJIIGFAU56DC,44,100.67,住商用,鋼筋混凝土加強磚造,69年1月19日,二層,,
RPRNMLPKJIIGFAU76DC,43,157.09,住家用,鋼筋混凝土加強磚造,69年6月18日,二層,,
RPQNMLPKJIIGFAU66DC,33,11.57,共有部份,鋼筋混凝土造,79年8月21日,五層,,
RPQNMLPKJIIGFAU66DC,39,1.35,停車空間,鋼筋混凝土造,73年8月27日,五層,,
RPRNMLPKJIIGFAU66CC,42,26.45,店鋪、住宅、民宿,鋼筋混凝土造,70年8月28日,四層,,
RPPNMLOKJIIGFAU98CC,36,37.29,商業用,鋼筋混凝土造,76年11月4日,七層,,
RPPNMLOKJIIGFAU98CC,36,23.09,共有部份,鋼筋混凝土造,76年11月4日,七層,,
RPSNMLPKJIIGFAU76CC,31,44.12,倉儲,鋼筋混凝土造,81年9月30日,八層,,
RPSNMLPKJIIGFAU76CC,31,11.77,共有部份,鋼筋混凝土造,81年9月30日,八層,,
RPQNMLNKJIIGFAU98CC,28,64.95,住家用,鋼筋混凝土造,84年6月30日,七層,,
RPQNMLNKJIIGFAU98CC,28,9.79,共有部份,鋼筋混凝土造,84年6月30日,七層,,
RPQNMLNKJIIGFAU98CC,28,12.61,共有部份,鋼筋混凝土造,84年6月30日,七層,,
RPPNMLPKJIIGFAU09CC,30,60.79,住家用,鋼筋混凝土造,83年4月14日,六層,,
RPPNMLPKJIIGFAU09CC,30,22.38,共有部份,鋼筋混凝土造,83年4月14日,六層,,
RPRNMLQKJIIGFAU76CC,33,30.97,住家用,鋼筋混凝土造,79年12月1日,三層,,
RPQNMLPKJIIGFAU56CC,37,37.98,住家用,鋼筋混凝土造,76年2月23日,五層,,
RPRNMLNKJIIGFAU09CC,18,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPTNMLQKJIIGFAU96CC,27,29.85,住家用,鋼筋混凝土造,85年10月29日,十六層,,
RPTNMLQKJIIGFAU96CC,27,4.94,共有部份,鋼筋混凝土造,85年10月29日,十六層,,
RPTNMLQKJIIGFAU96CC,27,7.55,共有部份,鋼筋混凝土造,85年10月29日,十六層,,
RPTNMLMLJIIGFAU66CC,27,39.56,住家用,鋼筋混凝土造,86年1月13日,七層,,
RPTNMLMLJIIGFAU66CC,27,16.53,共有部份,鋼筋混凝土造,86年1月13日,七層,,
RPPNMLNLJIIGFAU98CC,30,30.44,住家用,鋼筋混凝土造,83年3月23日,三層,,
RPQNMLNLJIIGFAU09CC,36,177.75,住家用,鋼筋混凝土造,76年12月2日,二層,,
RPRNMLNLJIIGFAU56CC,47,112.86,住商用,鋼筋混凝土加強磚造,66年2月8日,二層,,
RPSNMLNLJIIGFAU66CC,30,22.79,住家用,鋼筋混凝土造,83年4月14日,六層,,
RPSNMLNLJIIGFAU66CC,30,4.73,共有部份,鋼筋混凝土造,83年4月14日,六層,,
RPTNMLNLJIIGFAU76CC,29,61.99,住家用,鋼筋混凝土造,83年5月16日,五層,,
RPTNMLNLJIIGFAU76CC,29,31.92,共有部份,鋼筋混凝土造,83年5月16日,五層,,
RPUNMLNLJIIGFAU86CC,2,96.28,集合住宅,鋼筋混凝土造,110年12月15日,五層,,
RPUNMLNLJIIGFAU86CC,2,35.36,共有部份,鋼筋混凝土造,110年12月15日,五層,,
RPUNMLNLJIIGFAU86CC,2,13.75,共有部分（停車空間）,鋼筋混凝土造,110年12月15日,五層,,
RPPNMLOLJIIGFAU09CC,29,18.63,住家用,鋼筋混凝土造,83年11月15日,十二層,,
RPPNMLOLJIIGFAU09CC,29,5.76,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPPNMLOLJIIGFAU09CC,29,3.18,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPQNMLOLJIIGFAU56CC,18,26.45,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPRNMLOLJIIGFAU66CC,4,54.94,集合住宅,鋼筋混凝土造,108年7月1日,五層,,
RPRNMLOLJIIGFAU66CC,4,23.47,本共有部分之項目有電梯、安全梯、梯廳、電信室、無障礙電梯、屋頂突出物及停車空間等７項,鋼筋混凝土造,108年7月1日,五層,,
RPSNMLOLJIIGFAU76CC,18,26.45,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPUNMLOLJIIGFAU96CC,18,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPQNMLLLJIIGFAU88CC,49,62.22,住商用,鋼筋混凝土加強磚造,63年7月26日,三層,,
RPPNMLLLJIIGFAU78CC,33,64.00,住商用,鋼筋混凝土造,79年12月4日,四層,,
RPQNMLKLJIIGFAU78CC,38,135.19,住商用,鋼筋混凝土造,74年8月13日,二層,,
RPTNMLLLJIIGFAU56CC,54,77.38,住家用,鋼筋混凝土加強磚造,58年5月27日,二層,,
RPPNMLRKJIIGFAU66CC,29,61.09,住家用,鋼筋混凝土造,84年3月2日,十七層,,
RPWNMLLLJIIGFAU86CC,53,83.81,住家用,木石磚石（磚石造）,,一層,,
RPPNMLRKJIIGFAU66CC,29,15.92,共有部份,鋼筋混凝土造,84年3月2日,十七層,,
RPPNMLMLJIIGFAU88CC,25,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,,
RPPNMLMLJIIGFAU88CC,25,11.61,共有部份,鋼筋混凝土造,88年4月14日,五層,,
RPRNMLMLJIIGFAU09CC,36,239.00,住商用,鋼筋混凝土造,76年7月14日,三層,,
RPPNMLMLJIIGFAU88CC,25,7.56,共有部份,鋼筋混凝土造,88年4月14日,五層,,
RPTNMLRLJIIGFAU17CC,4,60.87,集合住宅,鋼筋混凝土造,108年11月28日,五層,,
RPTNMLRLJIIGFAU17CC,4,10.65,本共有部分之項目有安全梯、梯廳、機房（一）、（二）、電梯、管理室等,鋼筋混凝土造,108年11月28日,五層,,
RPTNMLSLJIIGFAU27CC,1,44.43,集合住宅,鋼筋混凝土造,111年6月13日,五層,,
RPTNMLSLJIIGFAU27CC,1,23.21,集合住宅,鋼筋混凝土造,111年6月13日,五層,,
RPQNMLKMJIIGFAU88CC,6,33.95,住家用,鋼筋混凝土造,106年8月8日,五層,,
RPRNMLTLJIIGFAU17CC,29,129.11,住商用,鋼筋混凝土造,83年9月26日,三層,,
RPSNMLRLJIIGFAU07CC,18,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPPNMLLJKIIGFAU68CC,36,28.52,住家用,鋼筋混凝土造,76年11月17日,七層,,
RPQNMLTLJIIGFAU07CC,29,39.67,住商用,鋼筋混凝土造,83年10月29日,四層,,
RPPNMLKMJIIGFAU78CC,37,34.38,住家用,鋼筋混凝土造,76年2月23日,五層,,
RPRNMLKMJIIGFAU98CC,36,28.82,住家用,鋼筋混凝土造,76年11月17日,七層,,
RPWNMLLJKIIGFAU76CC,29,188.79,住商用,鋼筋混凝土造,84年1月12日,四層,,
RPTNMLLJKIIGFAU09CC,29,11.54,商業用,鋼筋混凝土造,83年6月30日,十二層,,
RPTNMLLJKIIGFAU09CC,29,2.60,共有部份,鋼筋混凝土造,83年6月30日,十二層,,
RPTNMLLJKIIGFAU09CC,29,6.09,共有部份,鋼筋混凝土造,83年6月30日,十二層,,
RPPOMLLJKIIGFAU78CC,29,34.07,住家用,鋼筋混凝土造,84年3月16日,五層,,
RPPOMLLJKIIGFAU78CC,29,8.66,共有部份,鋼筋混凝土造,84年3月16日,五層,,
RPVNMLLJKIIGFAU66CC,33,170.30,住商用,鋼筋混凝土造,80年4月30日,四層,,
RPXNMLLJKIIGFAU86CC,30,59.42,住家用,鋼筋混凝土造,82年6月22日,七層,,
RPXNMLLJKIIGFAU86CC,30,24.39,共有部份,鋼筋混凝土造,82年6月22日,七層,,
RPSOMLOJKIIGFAU76CC,18,26.45,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPWNMLOJKIIGFAU07CC,37,19.83,住商用,鋼筋混凝土造,75年8月27日,四層,,
RPPNMLPJKIIGFAU09CC,34,80.35,住商用,鋼筋混凝土造,79年1月5日,三層,,
RPPOMLOJKIIGFAU09CC,21,111.98,住家用,鋼筋混凝土造,91年12月2日,14,,
RPPOMLOJKIIGFAU09CC,21,65.19,共有部份,鋼筋混凝土造,91年12月2日,十四層,,
RPQOMLOJKIIGFAU56CC,,45.00,住家用,木造,,一層,,
RPOOMLOJKIIGFAU98CC,29,37.76,住家用,鋼筋混凝土造,83年11月15日,十二層,,
RPOOMLOJKIIGFAU98CC,29,7.70,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPOOMLOJKIIGFAU98CC,29,3.97,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPXNMLOJKIIGFAU17CC,18,19.84,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPROMLOJKIIGFAU66CC,18,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPTNMLOJKIIGFAU76CC,53,90.80,住家用,鋼筋混凝土加強磚造,60年3月4日,二層,,
RPPNMLQJKIIGFAU56CC,10,14497.95,商業用,鋼筋混凝土造,103年1月28日,十二層,,
RPQNMLQJKIIGFAU66CC,29,41.74,住家用,鋼筋混凝土造,84年3月3日,五層,,
RPQNMLQJKIIGFAU66CC,29,10.95,共有部份,鋼筋混凝土造,84年3月3日,五層,,
RPPNMLRJKIIGFAU66CC,32,23.14,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,,
RPQNMLLKKIIGFAU88CC,36,103.00,住商用,鋼筋混凝土造,77年1月12日,五層,,
RPQNMLLKKIIGFAU88CC,36,5.40,共有部份,鋼筋混凝土造,77年1月12日,五層,,
RPQNMLLKKIIGFAU88CC,36,5.89,共有部份,鋼筋混凝土造,77年1月12日,五層,,
RPWNMLLKKIIGFAU86CC,20,61.98,住商用,鋼筋混凝土造,93年3月3日,二層,,
RPTNMLLKKIIGFAU56CC,40,71.46,住家用,鋼筋混凝土造,73年4月17日,五層,,
RPTNMLLKKIIGFAU56CC,40,18.84,共有部份,鋼筋混凝土造,73年4月17日,五層,,
RPXNMLLKKIIGFAU96CC,46,114.92,住家用,鋼筋混凝土造,67年5月18日,二層,,
RPPNMLNKKIIGFAU98CC,36,38.41,住家用,鋼筋混凝土造,76年11月17日,七層,,
RPQNMLNKKIIGFAU09CC,18,26.45,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPRNMLLKKIIGFAU98CC,6,101.96,集合住宅,鋼筋混凝土造,107年1月29日,十一層,,
RPRNMLLKKIIGFAU98CC,6,38.19,共有部份,鋼筋混凝土造,107年1月29日,十一層,,
RPRNMLLKKIIGFAU98CC,6,18.46,共有部份,鋼筋混凝土造,107年1月29日,十一層,,
RPSNMLLKKIIGFAU09CC,31,82.14,倉儲,鋼筋混凝土造,81年9月30日,八層,,
RPRNMLNKKIIGFAU56CC,18,26.45,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPVNMLLKKIIGFAU76CC,29,128.69,商業用,鋼筋混凝土造,83年11月21日,十二層,,
RPSNMLLKKIIGFAU09CC,31,16.85,共有部份,鋼筋混凝土造,81年9月30日,八層,,
RPVNMLLKKIIGFAU76CC,29,14.68,共有部份,鋼筋混凝土造,83年11月21日,十二層,,
RPVNMLLKKIIGFAU76CC,29,37.87,共有部份,鋼筋混凝土造,83年11月21日,十二層,,
RPQNMLOKKIIGFAU66DC,43,128.92,住商用,鋼筋混凝土造,69年6月18日,四層,,
RPSNMLNKKIIGFAU66CC,26,62.52,住商用,鋼筋混凝土造,86年8月1日,七層,,
RPSNMLNKKIIGFAU66CC,26,22.52,共有部份,鋼筋混凝土造,86年8月1日,七層,,
RPPNMLKLKIIGFAU88DC,26,157.67,店舖、住宅,鋼筋混凝土造,86年10月28日,二層,,
RPPNMLTKKIIGFAU07DC,29,48.33,住家用,鋼筋水泥,83年8月11日,八層,,
RPPNMLTKKIIGFAU07DC,29,19.22,共有部份,鋼筋混凝土造,83年8月11日,八層,,
RPRNMLKLKIIGFAU09DC,23,80.61,住家用,鋼筋混凝土造,90年3月15日,十四層,,
