編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTKKHJGFBD08CC,4,230.89,店舖、集合住宅、停車空間,鋼筋混凝土造,109年3月4日,四層,,
RPPNMLKLKHJGFBD17CC,,74.79,集合住宅,鋼筋混凝土造,112年9月13日,十四層,,
RPPNMLKLKHJGFBD17CC,,69.22,本共有部分之項目有停車空間、梯間、台電配電場所、垃圾儲藏室、垃圾暫停車位、發電機房、樓電梯間、水箱、儲藏室、雨水機房、防空避難室兼停車空間、公共服務空間、無障礙廁所、宅配室、迴廊、門廳、管委會使用空間、車道、樓梯間、水錶室、機房、機械室、消防水箱等２３項。,鋼筋混凝土造,112年9月13日,十四層,,
RPUNMLTKKHJGFHD09CC,48,71.56,住商用,加強磚造,65年5月20日,二層,,
RPQNMLKLKHJGFDD47CC,29,118.96,住家用,鋼筋混凝土造,83年11月14日,七層,,
RPQNMLKLKHJGFDD47CC,29,.15,共有部分,鋼筋混凝土造,83年11月14日,七層,,
RPQNMLKLKHJGFDD47CC,29,57.05,共有部分,鋼筋混凝土造,83年11月14日,十二層,,
RPPNMLSKKHJGFDD08CC,32,160.78,住商用,鋼筋混凝土造,81年6月19日,四層,,
RPQNMLKLKHJGFAD17CC,16,25.63,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,,
RPWNMLKLKHJGFAD77CC,41,59.46,住家用,鋼筋混凝土造,71年12月7日,九層,,
RPQNMLKLKHJGFAD17CC,16,3.44,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPQNMLKLKHJGFAD17CC,16,6.59,共有部分,鋼筋混凝土構造,96年8月24日,十四層,,
RPWNMLKLKHJGFAD77CC,41,16.18,共有部分,鋼筋混凝土造,71年12月7日,九層,,
RPTNMLLLKHJGFAD57CC,27,26.08,住家用,鋼筋混凝土造,85年11月27日,十一層,,
RPTNMLKLKHJGFAD47CC,29,59.25,住家用,鋼筋混凝土造,83年10月15日,十三層,,
RPPNMLLLKHJGFAD17CC,20,149.30,店舖、住宅,鋼筋混凝土造,92年9月16日,十三層,,
RPTNMLKLKHJGFAD47CC,29,1.59,共有部分,鋼筋混凝土造,83年10月15日,十三層,,
RPTNMLLLKHJGFAD57CC,27,6.91,共有部分,鋼筋混凝土造,85年11月27日,十一層,,
RPTNMLKLKHJGFAD47CC,29,21.38,共有部分,鋼筋混凝土造,83年10月15日,十三層,,
RPPNMLLLKHJGFAD17CC,20,2.86,公共設施,鋼筋混凝土造,92年9月16日,十三層,,
RPTNMLLLKHJGFAD57CC,27,3.21,共有部分,鋼筋混凝土造,85年11月27日,十一層,,
RPSOMLTKKHJGFAD28CC,27,25.95,住家用,鋼筋混凝土造,85年12月2日,十九層,,
RPPNMLLLKHJGFAD17CC,20,13.77,公共設施,鋼筋混凝土造,92年9月16日,十三層,,
RPSOMLTKKHJGFAD28CC,27,2.65,共有部分,鋼筋混凝土造,85年12月2日,十九層,,
RPUNMLKLKHJGFAD57CC,31,122.76,住家用,鋼筋混凝土造,82年1月12日,六層,,
RPSOMLTKKHJGFAD28CC,27,5.61,共有部分,鋼筋混凝土造,85年12月2日,十九層,,
RPUNMLKLKHJGFAD57CC,31,18.57,共有部分,鋼筋混凝土造,82年1月12日,六層,,
RPUNMLKLKHJGFAD57CC,31,9.70,共有部分,鋼筋混凝土造,82年1月12日,六層,,
RPVNMLLLKHJGFAD77CC,29,20.60,住家用,鋼筋混凝土造,83年12月16日,十三層,,
RPVNMLLLKHJGFAD77CC,29,7.20,共有部分,鋼筋混凝土造,83年12月16日,十三層,,
RPSOMLLLKHJGFAD57CC,4,51.45,集合住宅,鋼筋混凝土構造,108年12月17日,二十三層,,
RPSOMLLLKHJGFAD57CC,4,25.37,本共有部分之項目有門廊、門廳、車道、公共服務空間、防災中心、樓梯間、機械室、昇降機間兼排煙室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,108年12月17日,二十三層,,
RPRNMLMLKHJGFAD47CC,33,17.52,住家用,鋼筋混凝土造,80年5月17日,八層,,
RPRNMLMLKHJGFAD47CC,33,6.70,共有部分,鋼筋混凝土造,80年5月17日,八層,,
RPTNMLMLKHJGFAD67CC,46,28.19,住家用,鋼筋混凝土造,66年12月2日,七層,,
RPTNMLMLKHJGFAD67CC,46,6.15,共有部分,鋼筋混凝土造,66年12月2日,七層,,
RPUNMLMLKHJGFAD77CC,27,24.85,辦公室,鋼筋混凝土造,85年8月21日,十三層,,
RPUNMLMLKHJGFAD77CC,27,5.50,共有部分,鋼筋混凝土造,85年8月21日,十三層,,
RPUNMLMLKHJGFAD77CC,27,4.00,共有部分,鋼筋混凝土造,85年8月21日,十三層,,
RPVNMLMLKHJGFAD87CC,28,23.73,住家用,鋼筋混凝土造,84年10月24日,十三層,,
RPVNMLMLKHJGFAD87CC,28,6.43,共有部分,鋼筋混凝土造,84年10月24日,十三層,,
RPROMLMLKHJGFAD57CC,39,47.35,住家用,鋼筋混凝土造,73年12月28日,十四層,,
RPROMLMLKHJGFAD57CC,39,15.82,共有部分,鋼筋混凝土造,73年12月28日,十四層,,
RPQNMLTKKHJGFGD58CC,47,85.01,住家用,加強磚造,66年7月9日,二層,,
RPPNMLKLKHJGFCD27CC,29,13.20,住商用,鋼筋混凝土造,83年11月15日,五層,,
RPTPMLTKKHJGFCD68CC,48,14.00,住商用,鋼筋混凝土造,64年9月10日,三層,,
RPPNMLQKKHJGFCD77CC,1,43.78,集合住宅,鋼筋混凝土構造、鋼骨造,112年3月29日,十四層,,
RPQNMLKLKHJGFCD37CC,29,13.20,住商用,鋼筋混凝土造,83年11月15日,五層,,
RPPNMLQKKHJGFCD77CC,1,40.22,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會空間、樓梯間、機械室、公共空間、門廊共７項。,鋼筋混凝土加強磚造,112年3月29日,十四層,,
RPTNMLLLKHJGFCD77CC,53,100.74,住家用,補強磚造,60年5月22日,四層,,
RPTNMLLLKHJGFCD77CC,53,13.32,共有部分,補強磚造,60年5月22日,四層,,
RPOPMLTKKHJGFCD18CC,2,21.65,集合住宅,鋼筋混凝土構造,111年6月1日,六層,,
RPOPMLTKKHJGFCD18CC,2,13.11,本共有部分之項目有：防空避難室兼停車空間、梯廳、安全梯、台電配電室、緊急發電機、電信室、消防機房、汙水機房、雨水機房、水箱、管理委員會空間、中央監控室、戶外安全梯、機房、管委會空間（走廊）、管委會空間等十六項。,鋼筋混凝土構造,111年6月1日,六層,,
RPVNMLMLKHJGFCD08CC,41,76.54,集合住宅,鋼筋混凝土造,71年11月25日,五層,,
RPPNMLLLKHJGFID97CC,22,131.05,住商用,鋼筋混凝土造,91年4月9日,二層,,
RPVNMLMLKHJGFCD08CC,41,10.48,集合住宅,鋼筋混凝土造,71年11月25日,五層,,
RPVNMLMLKHJGFCD08CC,41,6.23,共有部分,鋼筋混凝土造,71年11月25日,五層,,
RPTNMLMLKHJGFID48CC,22,210.18,廠房、預備室、機械室。,鋼筋混凝土造,90年9月6日,四層,,
RPRNMLNLKHJGFCD77CC,52,37.20,住家用,加強磚造,60年12月20日,二層,,
RPSNMLNLKHJGFCD87CC,52,41.20,住家用,加強磚造,60年12月20日,二層,,
RPTNMLNLKHJGFCD97CC,31,98.60,住家用,鋼筋混凝土造,82年6月28日,六層,,
RPTNMLNLKHJGFCD97CC,31,31.83,共有部分,鋼筋混凝土造,82年6月28日,六層,,
RPPNMLNLKHJGFCD57CC,38,130.13,住家用,鋼筋混凝土造,74年8月28日,二層,,
RPQNMLNLKHJGFHD18CC,28,19.06,住家用,鋼筋混凝土造,85年5月22日,九層,,
RPQNMLNLKHJGFHD18CC,28,9.29,門廊、走廊、梯間、機械室、水箱、防空避難室、停車空間、騎樓,鋼筋混凝土造,85年5月22日,九層,,
RPRNMLNLKHJGFAD57CC,23,80.51,集合住宅,鋼筋混凝土造,89年11月20日,十四層,,
RPRNMLNLKHJGFAD57CC,23,23.41,共有部分,鋼筋混凝土造,89年11月20日,十四層,,
RPPNMLNLKHJGFED77CC,6,54.44,店舖、住宅,鋼筋混凝土構造,107年3月19日,四層,,
RPPNMLOLKHJGFCD67CC,52,16.00,住家用,加強磚造,61年8月1日,二層,,
RPRNMLOLKHJGFCD87CC,23,18.18,防空避難室、停車空間、住宅、走道,鋼筋混凝土造,90年2月8日,六層,,
RPWNMLNLKHJGFCD28CC,31,21.48,住家用,鋼筋混凝土造,81年10月15日,五層,,
RPSNMLOLKHJGFCD97CC,23,16.00,防空避難室、停車空間、住宅、走道,鋼筋混凝土造,90年2月8日,六層,,
RPQNMLOLKHJGFCD77CC,41,99.76,住商用,鋼筋混凝土造,72年5月12日,三層,,
RPQNMLOLKHJGFHD28CC,31,19.83,住商用,鋼筋混凝土造,82年3月1日,四層,,
RPPNMLOLKHJGFHD18CC,31,19.83,住商用,鋼筋混凝土造,82年3月1日,四層,,
RPRNMLOLKHJGFHD38CC,31,19.83,住商用,鋼筋混凝土造,82年3月1日,四層,,
RPPNMLPLKHJGFCD77CC,23,19.83,防空避難室、停車空間、住宅、走道,鋼筋混凝土造,90年2月8日,六層,,
RPPNMLPLKHJGFAD57CC,5,102.63,集合住宅,鋼筋混凝土構造,107年9月21日,二十九層,,
RPSNMLOLKHJGFHD48CC,31,19.83,住商用,鋼筋混凝土造,82年3月1日,四層,,
RPPNMLPLKHJGFAD57CC,5,69.54,本共有部分之項目有門廊、門廳、垃圾暫存空間、防災中心、管委會使用空間、樓梯間、車道、出入口緩衝空間、外廊、機械室、水箱、停車空間、防空避難室兼停車空間,鋼筋混凝土構造,107年9月21日,二十九層,,
RPTNMLOLKHJGFHD58CC,31,19.83,住商用,鋼筋混凝土造,82年3月1日,四層,,
RPPNMLPLKHJGFHD28CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPQNMLPLKHJGFHD38CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPRNMLPLKHJGFHD48CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPTNMLPLKHJGFHD68CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPUNMLPLKHJGFHD78CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPVNMLPLKHJGFHD88CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPSNMLPLKHJGFHD58CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPSNMLQLKHJGFAD97CC,7,79.61,集合住宅,鋼筋混凝土構造,106年1月19日,十四層,,
RPSNMLQLKHJGFAD97CC,7,73.74,本共有部分之項目有：防空避難室兼停車空間、停車空間、車道、外廊、管委會使用空間、梯廳、排煙室、樓梯間、垃圾暫存空間、機械室、水箱、門廊、昇降梯間、陽台等。,鋼筋混凝土構造,106年1月19日,十四層,,
RPWNMLPLKHJGFHD98CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPXNMLPLKHJGFHD09CC,18,23.14,店舖、旅館、停車空間、辦公室、梯間、電梯機械室,鋼骨造,94年10月14日,四層,,
RPQNMLQLKHJGFBD87CC,3,86.02,集合住宅,鋼筋混凝土造,110年5月26日,十九層,,
RPQNMLQLKHJGFBD87CC,3,49.18,本共有部份之項目有：防空避難室兼停車空間、停車空間、樓梯間、機械房、水箱、管委會使用空間、中繼馬達設備室、門廊、外廊、防災中心、車道、梯間、昇降機間等１３項。,鋼筋混凝土造,110年5月26日,十九層,,
RPRNMLQLKHJGFCD08CC,24,89.46,集合住宅,鋼筋混凝土造,88年10月21日,十三層,,
RPRNMLQLKHJGFCD08CC,24,18.21,共有部分,鋼筋混凝土造,88年10月21日,十三層,,
RPRNMLQLKHJGFCD08CC,24,31.08,共有部分,鋼筋混凝土造,88年10月21日,十三層,,
RPRNMLQLKHJGFHD58CC,47,39.66,住商用,加強磚造,66年3月1日,四層,,
RPPNMLQLKHJGFID48CC,1,86.96,集合住宅,鋼筋混凝土造,112年5月10日,五層,,
RPPNMLQLKHJGFID48CC,1,45.46,本共有部分之項目有門廊、管委會使用空間、停車空間、安全梯、昇降機、機電等空間、樓梯間等７項,鋼筋混凝土造,112年5月10日,五層,,
RPPNMLRLKHJGFAD77CC,38,891.43,商業用,鋼筋混凝土造,75年1月21日,十二層,,
RPPNMLRLKHJGFAD77CC,38,165.04,共有部分,鋼筋混凝土造,75年1月21日,十二層,,
RPPNMLRLKHJGFBD87CC,1,36.85,集合住宅,鋼筋混凝土造,112年5月8日,五層,,
RPPNMLRLKHJGFBD87CC,1,16.83,本建物共有部分樓梯間及昇降機間、管理維護空間、電信室、停車空間、樓梯間共５項。,鋼筋混凝土造,112年5月8日,五層,,
RPQNMLRLKHJGFAD87CC,42,152.57,住家用,鋼筋混凝土造,71年8月9日,七層,,
RPQNMLRLKHJGFAD87CC,42,48.59,共有部分,鋼筋混凝土造,71年8月9日,七層,,
RPSNMLRLKHJGFBD18CC,1,40.13,住家用,鋼筋混凝土造,111年9月28日,四層,,
RPTNMLRLKHJGFBD28CC,1,37.39,住家用,鋼筋混凝土造,111年9月28日,四層,,
RPUNMLRLKHJGFBD38CC,1,37.39,住家用,鋼筋混凝土造,111年9月28日,四層,,
RPVNMLRLKHJGFBD48CC,1,29.09,住家用,鋼筋混凝土造,111年9月28日,四層,,
RPXNMLRLKHJGFBD68CC,1,30.35,集合住宅,鋼筋混凝土造,112年5月8日,五層,,
RPXNMLRLKHJGFBD68CC,1,14.05,本建物共有部分樓梯間及昇降機間、管理維護空間、電信室、停車空間、樓梯間共５項。,鋼筋混凝土造,112年5月8日,五層,,
RPWNMLRKKHJGFKD76CC,28,33.76,住家用,鋼筋混凝土造,85年4月26日,十層,,
RPUNMLRKKHJGFKD56CC,8,26.21,店舖，住宅,鋼筋混凝土構造,104年12月2日,四層,,
RPWNMLRKKHJGFKD76CC,28,8.61,共有部分,鋼筋混凝土造,85年4月26日,十層,,
RPRNMLRLKHJGFKD98CC,12,13.20,店舖，住宅,鋼筋混凝土構造,101年3月28日,四層,,
RPWNMLRKKHJGFKD76CC,28,5.84,共有部分,鋼筋混凝土造,85年4月26日,十層,,
RPPNMLRLKHJGFID58CC,44,63.30,住商用,加強磚造,68年12月10日,三層,,
RPSNMLKLKHJGFKD38CC,31,73.78,住家用,鋼筋混凝土造,82年1月8日,五層,,
RPTNMLMLKHJGFKD68CC,30,19.42,住家用,鋼筋混凝土造,83年4月13日,七層,,
RPTNMLNLKHJGFKD78CC,10,21.49,住宅，停車空間,鋼筋混凝土構造,102年8月21日,四層,,
RPSNMLKLKHJGFKD38CC,31,16.98,共有部分,鋼筋混凝土造,82年1月8日,五層,,
RPTNMLKLKHJGFKD48CC,24,20.14,住家用,鋼筋混凝土造,88年8月24日,十四層,,
RPTNMLMLKHJGFKD68CC,30,6.60,共有部分,鋼筋混凝土造,83年4月13日,七層,,
RPTNMLKLKHJGFKD48CC,24,.57,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPTNMLKLKHJGFKD48CC,24,1.04,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPTNMLKLKHJGFKD48CC,24,6.24,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPRNMLQLKHJGFKD88CC,12,15.00,店舖，住宅,鋼筋混凝土構造,101年3月28日,四層,,
RPSNMLNLKHJGFKD68CC,8,25.62,店舖，住宅,鋼筋混凝土構造,104年12月2日,五層,,
RPVNMLLLKHJGFKD78CC,24,70.84,住家用,鋼筋混凝土造,88年8月24日,十四層,,
RPVNMLLLKHJGFKD78CC,24,1.81,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPVNMLLLKHJGFKD78CC,24,16.42,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPVNMLLLKHJGFKD78CC,24,14.46,共有部分,鋼筋混凝土造,88年8月24日,十四層,,
RPVNMLKLKHJGFKD68CC,30,92.63,住家用,鋼筋混凝土造,82年10月13日,六層,,
RPVNMLKLKHJGFKD68CC,30,37.54,共有部分,鋼筋混凝土造,82年10月13日,六層,,
RPQNMLNLKHJGFKD48CC,26,23.11,住家用,鋼筋混凝土造,87年6月2日,七層,,
RPRNMLMLKHJGFKD48CC,30,20.04,住家用,鋼筋混凝土造,82年12月30日,九層,,
RPQNMLQLKHJGFKD78CC,12,15.00,店舖，住宅,鋼筋混凝土構造,101年3月28日,四層,,
RPQNMLNLKHJGFKD48CC,26,2.23,共有部分,鋼筋混凝土造,87年6月2日,七層,,
RPRNMLMLKHJGFKD48CC,30,15.50,共有部分,鋼筋混凝土造,82年12月30日,九層,,
RPQNMLNLKHJGFKD48CC,26,7.36,共有部分,鋼筋混凝土造,87年6月2日,七層,,
RPQNMLRLKHJGFKD88CC,41,23.00,住家用,加強磚造,71年8月27日,二層,,
RPUNMLMLKHJGFKD78CC,32,112.38,住家用,鋼筋混凝土造,80年12月5日,三層,,
RPOOMLRLKHJGFBD87CC,1,31.64,集合住宅,鋼筋混凝土造,112年5月8日,五層,,
RPTNMLLLKHJGFKD58CC,25,37.22,住家用,鋼筋混凝土造,88年5月19日,十一層,,
RPTNMLLLKHJGFKD58CC,25,11.92,共有部分,鋼筋混凝土造,88年5月19日,十四層,,
RPOOMLRLKHJGFBD87CC,1,14.57,本建物共有部分樓梯間及昇降機間、管理維護空間、電信室、停車空間、樓梯間共５項。,鋼筋混凝土造,112年5月8日,五層,,
RPTNMLLLKHJGFKD58CC,25,4.64,共有部分,鋼筋混凝土造,88年5月19日,十四層,,
RPRNMLKLKHJGFKD28CC,13,21.49,住宅，停車空間,鋼筋混凝土造,100年1月5日,四層,,
RPSNMLRLKHJGFKD09CC,21,55.07,見使用執照,鋼筋混凝土造,92年3月25日,四層,,
RPPNMLSLKHJGFAD87CC,1,87.62,店舖,鋼筋混凝土構造,112年4月11日,十五層,,
RPPNMLSLKHJGFAD87CC,1,24.46,本共有部分之項目有排煙室、昇降機、安全梯、機房、管道間、梯廳、水表室、電梯機房等８項。,鋼筋混凝土構造,112年4月11日,十五層,,
RPPNMLSLKHJGFAD87CC,1,25.11,本共有部分之項目有防空避難室兼停車空間、停車空間、電信室、公共服務空間、梯廳、防災中心、機房等７項。,鋼筋混凝土構造,112年4月11日,十五層,,
RPQNMLTLKHJGFBD18CC,42,89.67,集合住宅,鋼筋混凝土造,70年9月7日,四層,,
RPQNMLTLKHJGFBD18CC,42,3.07,避難室,鋼筋混凝土造,70年9月7日,四層,,
RPQNMLTLKHJGFBD18CC,42,8.08,共有部分,鋼筋混凝土造,70年9月7日,四層,,
RPPOMLTLKHJGFAD08CC,33,47.61,住家用,鋼筋混凝土造,79年9月17日,六層,,
RPPOMLTLKHJGFAD08CC,33,17.09,共有部分,鋼筋混凝土造,79年9月17日,六層,,
RPWNMLTLKHJGFCD88CC,45,94.53,住商用,鋼筋混凝土造,68年4月3日,三層,,
RPPOMLTLKHJGFCD28CC,30,55.19,住家用,鋼筋混凝土造,82年9月11日,六層,,
RPPOMLTLKHJGFCD28CC,30,6.46,共有部分,鋼筋混凝土造,82年9月11日,六層,,
RPPOMLTLKHJGFCD28CC,30,9.48,共有部分,鋼筋混凝土造,82年9月11日,六層,,
RPRPMLTLKHJGFAD38CC,33,19.12,住家用,鋼筋混凝土造,80年5月17日,八層,,
RPRPMLTLKHJGFAD38CC,33,8.02,共有部分,鋼筋混凝土造,80年5月17日,八層,,
