鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三民區,房地(土地+建物)+車位,高雄市三民區聯興路50巷和民族一路交叉口,7.57,住,,,1130211,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.5,2,1,1,有,無,13870000,118786,坡道平面,15.31,1850000,,RPPNMLLKKHJGFDE37CB,孟學苑,B棟21號,
三民區,房地(土地+建物)+車位,高雄市三民區聯興路50巷和民族一路交叉口,6.5,住,,,1130213,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.73,2,1,1,有,無,12380000,130245,坡道機械,5.74,1050000,,RPPNMLNKKHJGFDE57CB,孟學苑,B棟05號,
三民區,房地(土地+建物)+車位,高雄市三民區聯興路50巷和民族一路交叉口,9.72,住,,,1130214,土地1建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.24,3,1,2,有,無,17750000,121219,坡道平面,15.31,2000000,,RPTNMLPKKHJGFDE18CB,孟學苑,B棟3號,
三民區,房地(土地+建物),高雄市三民區聯興路50巷和民族一路交叉口,5.23,住,,,1130215,土地1建物1車位0,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.57,2,1,1,有,無,9570000,137559,,0.0,0,,RPWNMLPKKHJGFDE48CB,孟學苑,B棟16號,
三民區,房地(土地+建物)+車位,高雄市三民區聯興路50巷和民族一路交叉口,9.92,住,,,1130215,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.32,3,1,2,有,無,19430000,129915,坡道平面,15.31,2150000,,RPXNMLQKKHJGFDE68CB,孟學苑,A棟11號,
大寮區,房地(土地+建物)+車位,高雄市大寮區保生段123地號,33.17,住,,,1130214,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,110.55,2,2,2,有,無,8330000,74690,一樓平面,13.75,1100000,,RPPNMLQKKHJGFLE68CB,時尚知音,B1棟2F號,
大寮區,房地(土地+建物)+車位,高雄市大寮區開封段244地號,30.67,住,,,1130214,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,106.08,2,2,2,有,無,8210000,79445,一樓平面,20.99,1450000,,RPQNMLQKKHJGFLE78CB,我愛寮天,A2棟5F號,
大寮區,房地(土地+建物),高雄市大寮區開封段244地號,25.73,住,,,1130215,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,71.47,2,2,2,有,無,5830000,81573,,0.0,0,,RPSNMLQKKHJGFLE98CB,我愛寮天,C1棟2F號,
大寮區,房地(土地+建物),高雄市大寮區開封段244地號,26.0,住,,,1130215,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,72.06,2,2,2,有,無,5880000,81599,,0.0,0,,RPTNMLQKKHJGFLE09CB,我愛寮天,C2棟2F號,
大寮區,房地(土地+建物),高雄市大寮區開封段244地號,26.13,住,,,1130216,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,72.72,2,2,2,有,無,5780000,79483,,0.0,0,,RPUNMLQKKHJGFLE56CB,我愛寮天,A5棟4F號,
大寮區,房地(土地+建物),高雄市大寮區開封段244地號,26.13,住,,,1130216,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,72.72,2,2,2,有,無,5720000,78658,,0.0,0,,RPVNMLQKKHJGFLE66CB,我愛寮天,A5棟3F號,
小港區,房地(土地+建物),高雄市小港區明義街39巷9號,80.0,住,,,1130212,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,192.96,4,2,3,有,無,22400000,116086,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費2345000元；傢俱設備費355000元；,RPQNMLQKKHJGFCE97DB,築印18-日日好日,B棟7號,
小港區,房地(土地+建物),高雄市小港區明義街39巷7號,80.0,住,,,1130212,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,193.41,4,2,3,有,無,22385000,115739,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費2345000元；傢俱設備費340000元；,RPRNMLQKKHJGFCE08DB,築印18-日日好日,B棟8號,
三民區,房地(土地+建物)+車位,高雄市三民區平等路和延慶街路口B03棟26樓,24.01,住,,,1130213,土地1建物1車位2,二十六層,30,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,229.08,4,2,2,有,無,32500000,146918,坡道平面,37.0,4280000,,RPPNMLRKKHJGFDE97CB,遠雄琢蘊,B03F26號,
三民區,房地(土地+建物)+車位,高雄市三民區平等路和延慶街路口B07棟22樓,19.8,住,,,1130214,土地1建物1車位1,二十二層,30,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.88,3,2,2,有,無,24810000,142190,坡道平面,18.5,2290000,,RPQNMLRKKHJGFDE08CB,遠雄琢蘊,B07F22號,
林園區,房地(土地+建物)+車位,高雄市林園區田厝路 75 巷10弄與東林西路249巷  交叉口,19.66,商,,,1130216,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,182.58,4,2,2,有,無,12850000,70277,坡道平面,22.5,1600000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKKHJGFLE78CB,園藏林,A棟1號,
林園區,房地(土地+建物)+車位,高雄市林園區田厝路 75 巷10弄與東林西路249巷  交叉口,17.0,商,,,1130216,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,160.79,3,2,2,有,無,11360000,72746,坡道平面,22.5,1300000,,RPQNMLRKKHJGFLE88CB,園藏林,B棟2號,
三民區,房地(土地+建物)+車位,高雄市三民區聯興路50巷和民族一路交叉口,6.9,住,,,1130217,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.95,2,1,1,有,無,11920000,112155,坡道平面,15.31,1530000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSKKHJGFDE38CB,孟學苑,B棟18號,
