編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLQKKHJGFBE77CC,坡道平面,1800,12.65,地下五樓含以下
RPQNMLQKKHJGFAE77CC,坡道平面,0,16.21,地下二樓
RPPOMLQKKHJGFDE08CC,坡道平面,0,18.38,地下一樓
RPRNMLLLKHJGFAE47CC,坡道平面,0,9.37,地下三樓
RPRNMLKLKHJGFLE48CC,升降機械,0,14.65,地下二樓
RPUNMLTKKHJGFBE58CC,坡道平面,0,32.81,地下二樓
RPPNMLTKKHJGFGE58CC,坡道平面,0,,地下一樓
RPPNMLLLKHJGFDE57CC,坡道機械,0,6.64,地下三樓
RPQNMLLLKHJGFCE57CC,坡道平面,0,22.74,地下一樓
RPSNMLRKKHJGFCE28CC,坡道平面,0,24.85,地下二樓
RPWNMLNLKHJGFDE48CC,坡道平面,0,17.60,地下三樓
RPVOMLNLKHJGFDE48CC,坡道平面,0,,地下二樓
RPSNMLNLKHJGFIE58CC,一樓平面,0,13.33,一樓
RPPNMLNLKHJGFLE58CC,一樓平面,0,,一樓
RPQNMLNLKHJGFFE08CC,一樓平面,0,,一樓
RPPNMLNLKHJGFJE38CC,坡道平面,0,,地下二樓
RPTNMLQLKHJGFAE18CC,坡道平面,0,6.85,地下三樓
RPROMLQLKHJGFAE08CC,坡道機械,0,12.39,地下二樓
RPQNMLQLKHJGFDE18CC,坡道平面,0,30.22,地下一樓
RPSNMLQLKHJGFDE38CC,坡道平面,1000,,地下一樓
RPOOMLQLKHJGFDE08CC,坡道平面,0,25.28,地下二樓
RPRNMLQLKHJGFFE48CC,坡道平面,0,26.71,地下三樓
RPRNMLQLKHJGFGE58CC,坡道平面,1300,41.78,地下二樓
RPQNMLRLKHJGFBE08CC,坡道平面,0,4.30,地下一樓
RPWNMLRLKHJGFBE68CC,坡道平面,0,26.01,地下五樓含以下
RPSOMLRLKHJGFBE38CC,坡道機械,0,16.54,地下三樓
RPSNMLRLKHJGFCE38CC,坡道平面,0,16.54,地下二樓
RPSNMLRLKHJGFCE38CC,坡道平面,0,16.54,地下二樓
RPVNMLRLKHJGFCE68CC,坡道平面,0,24.37,地下三樓
RPTNMLRLKHJGFDE58CC,坡道平面,0,19.87,地下三樓
RPSNMLMLKHJGFEE08CC,坡道平面,0,22.49,地下三樓
RPSNMLRKKHJGFEE48CC,坡道平面,0,27.31,地下三樓
