編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLQKKHJGFEF88CC,坡道平面,0,29.92,地下三樓
RPVNMLTKKHJGFHF76CC,升降平面,0,38.77,地下二樓
RPPNMLSKKHJGFDF28CC,坡道平面,0,,地下一樓
RPROMLKLKHJGFEF97CC,坡道平面,3000,35.20,地下四樓
RPUNMLLLKHJGFBF97CC,坡道平面,2500,26.56,地下四樓
RPPOMLLLKHJGFBF57CC,坡道平面,2500,,一樓
RPQNMLLLKHJGFEF87CC,坡道平面,0,35.20,地下一樓
RPWNMLLLKHJGFEF48CC,坡道機械,0,,地下三樓
RPUOMLLLKHJGFEF38CC,坡道平面,0,32.31,地下一樓
RPWOMLLLKHJGFEF58CC,坡道機械,0,,地下一樓
RPVOMLLLKHJGFEF48CC,坡道平面,0,25.02,地下三樓
RPPNMLMLKHJGFAF47CC,坡道平面,0,29.55,地下一樓
RPPNMLMLKHJGFAF47CC,坡道平面,0,29.55,地下一樓
RPPNMLMLKHJGFBF57CC,坡道平面,0,,地下一樓
RPQNMLMLKHJGFBF67CC,坡道平面,0,28.34,地下二樓
RPRNMLMLKHJGFBF77CC,坡道平面,3000,34.69,地下三樓
RPXNMLMLKHJGFBF38CC,坡道平面,3000,22.09,地下二樓
RPTNMLMLKHJGFDF18CC,坡道平面,0,,地下五樓含以下
RPPNMLNLKHJGFAF57CC,坡道平面,0,37.46,地下三樓
RPOPMLNLKHJGFAF67CC,坡道平面,0,37.46,地下三樓
RPSPMLNLKHJGFAF08CC,坡道平面,0,26.43,地下二樓
RPPNMLNLKHJGFBF67CC,坡道平面,400,38.64,地下四樓
RPVNMLNLKHJGFBF28CC,坡道平面,3000,26.49,地下二樓
RPPNMLRKKHJGFIF68CC,坡道平面,2500,30.03,地下二樓
RPSPMLNLKHJGFGF68CC,坡道平面,0,36.91,地下五樓含以下
RPRNMLNLKHJGFIF58CC,坡道平面,0,13.00,地下二樓
RPQNMLPLKHJGFIF68CC,坡道平面,0,35.29,地下二樓
RPQNMLPLKHJGFIF68CC,坡道平面,0,35.29,地下二樓
RPTNMLQLKHJGFBF38CC,坡道平面,0,,地下二樓
RPRNMLQLKHJGFEF48CC,坡道平面,0,25.03,地下二樓
RPPNMLOLKHJGFEF08CC,坡道機械,0,15.69,地下三樓
RPSNMLNLKHJGFEF28CC,坡道平面,0,28.17,地下二樓
RPUOMLNLKHJGFEF58CC,坡道平面,1800,30.84,地下三樓
RPWNMLNLKHJGFEF68CC,坡道機械,0,15.42,地下五樓含以下
RPPNMLMLKHJGFEF87CC,坡道平面,0,,地下二樓
RPXNMLQLKHJGFEF09CC,坡道平面,0,27.97,地下二樓
RPPNMLRLKHJGFAF97CC,坡道平面,0,,地下二樓
RPROMLQLKHJGFEF58CC,坡道平面,0,29.99,地下三樓
RPQOMLQLKHJGFEF48CC,坡道平面,0,32.82,地下四樓
RPQOMLRLKHJGFBF28CC,坡道平面,0,23.40,地下三樓
RPTOMLRLKHJGFBF58CC,坡道平面,0,41.78,地下三樓
RPPNMLRLKHJGFEF38CC,坡道平面,0,21.03,地下二樓
RPUNMLRLKHJGFGF09CC,坡道平面,0,23.39,地下二樓
RPTNMLRLKHJGFGF98CC,坡道平面,0,26.99,地下二樓
RPXNMLRLKHJGFEF56CC,坡道平面,0,29.24,地下二樓
RPOOMLRLKHJGFEF38CC,坡道平面,3000,30.84,地下三樓
RPWNMLRLKHJGFEF09CC,坡道平面,0,19.89,地下四樓
RPVNMLRLKHJGFGF56CC,升降平面,0,46.02,地下四樓
RPUOMLRLKHJGFEF98CC,坡道平面,0,30.46,地下二樓
RPTNMLRLKHJGFHF09CC,坡道機械,0,18.35,地下三樓
RPPNMLTLKHJGFDF48CC,坡道平面,0,31.51,地下五樓含以下
RPTNMLTLKHJGFBF68CC,坡道平面,3000,23.05,地下三樓
RPPNMLTLKHJGFCF38CC,坡道平面,0,,地下四樓
RPPOMLTLKHJGFBF38CC,坡道平面,3000,29.48,地下二樓
RPSNMLTLKHJGFEF88CC,坡道平面,1000,20.57,地下二樓
RPVNMLTLKHJGFEF56CC,坡道平面,1000,23.99,地下二樓
RPROMLTLKHJGFEF88CC,坡道平面,2600,18.04,地下二樓
RPPOMLTLKHJGFEF68CC,坡道平面,2000,20.57,地下二樓
RPOOMLTLKHJGFGF78CC,升降機械,0,,地下一樓
RPUNMLTLKHJGFIF86CC,坡道平面,2000,,地下一樓
RPVNMLTLKHJGFIF96CC,坡道平面,2800,30.03,地下二樓
RPPNMLLJLHJGFAF27CC,坡道平面,0,23.96,地下二樓
RPPNMLLJLHJGFBF37CC,坡道平面,0,30.79,地下四樓
RPWNMLLJLHJGFBF08CC,坡道平面,0,27.38,地下三樓
RPRNMLLJLHJGFEF87CC,坡道平面,0,31.44,地下三樓
RPTNMLLJLHJGFEF08CC,坡道平面,3000,20.57,地下二樓
RPUNMLLJLHJGFEF18CC,坡道平面,0,31.44,地下二樓
RPSNMLLJLHJGFEF97CC,坡道平面,1500,30.84,地下四樓
RPUNMLMJLHJGFBF97CC,坡道平面,4500,19.02,地下三樓
RPQNMLMJLHJGFBF57CC,坡道機械,2500,,地下二樓
RPWNMLMJLHJGFBF18CC,坡道平面,3000,37.97,地下三樓
RPVNMLMJLHJGFBF08CC,坡道平面,3000,19.29,地下一樓
RPRNMLMJLHJGFCF77CC,坡道平面,4000,24.30,地下二樓
RPQNMLNJLHJGFEF97CC,坡道機械,0,,地下五樓含以下
RPVNMLOJLHJGFAF18CC,坡道平面,3100,36.69,地下三樓
RPRNMLOJLHJGFBF87CC,坡道平面,0,34.76,地下二樓
RPTNMLOJLHJGFBF08CC,坡道平面,0,23.13,地下三樓
RPVOMLOJLHJGFBF38CC,坡道平面,3000,20.08,地下二樓
RPWOMLOJLHJGFBF48CC,坡道平面,3000,22.89,地下二樓
RPPPMLOJLHJGFBF87CC,坡道平面,3000,33.06,地下一樓
RPPNMLOJLHJGFEF97CC,坡道平面,0,34.46,地下一樓
RPRNMLOJLHJGFEF18CC,坡道平面,2500,20.18,地下四樓
RPVNMLOJLHJGFIF98CC,坡道平面,3000,41.48,地下五樓含以下
RPQNMLPJLHJGFBF87CC,坡道平面,3000,26.52,地下二樓
RPQNMLPJLHJGFEF18CC,坡道平面,0,25.97,地下三樓
RPWNMLPJLHJGFEF78CC,坡道平面,3500,27.81,地下二樓
RPQNMLPJLHJGFDF08CC,坡道平面,0,37.09,地下三樓
RPUOMLPJLHJGFEF68CC,坡道平面,1500,30.84,地下一樓
RPUNMLPJLHJGFGF78CC,坡道機械,3000,4.83,地下四樓
RPPNMLQJLHJGFBF87CC,坡道平面,0,37.08,地下二樓
RPVNMLQJLHJGFEF78CC,坡道平面,0,25.02,地下一樓
RPUOMLQJLHJGFEF78CC,坡道平面,0,45.96,地下五樓含以下
RPVNMLQJLHJGFHF09CC,升降機械,3200,15.21,地下二樓
RPSNMLQJLHJGFIF88CC,坡道機械,0,14.95,地下一樓
RPXOMLQJLHJGFHF76CC,坡道平面,0,,地下二樓
RPUNMLQJLHJGFBF38CC,坡道平面,0,35.81,地下一樓
RPWOMLQJLHJGFBF68CC,坡道平面,0,28.50,地下三樓
RPWOMLQJLHJGFBF68CC,坡道平面,0,28.50,地下三樓
RPWOMLQJLHJGFBF68CC,坡道平面,0,28.50,地下三樓
RPPNMLRJLHJGFBF97CC,坡道機械,0,29.79,地下四樓
RPTNMLRJLHJGFBF38CC,坡道平面,3000,28.43,地下二樓
RPQNMLQJLHJGFBF97CC,坡道平面,3000,36.61,地下三樓
RPPOMLQJLHJGFBF97CC,坡道平面,0,36.12,地下一樓
RPSNMLRJLHJGFBF28CC,坡道平面,3500,33.06,地下一樓
RPSNMLQJLHJGFBF18CC,坡道平面,0,18.07,地下四樓
RPVNMLRJLHJGFBF58CC,坡道機械,2500,15.72,地下三樓
RPUNMLRJLHJGFCF58CC,坡道平面,0,,地下一樓
