編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLSKKHJGFAG18DB,蘇聖段,26.76,都市：住,10000,460,持分移轉,03310000
RPSOMLRKKHJGFAG28CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPRNMLTKKHJGFAG28CB,大洲一段,58.49,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06400024
RPRNMLTKKHJGFAG28CB,大洲一段,30.32,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06400023
RPRNMLTKKHJGFAG28CB,大洲一段,3.67,非都市：特定農業區 ; 非都市編定：甲種建築用地,14,1,持分移轉,06400018
RPRNMLTKKHJGFAG28CB,大洲一段,9.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,5,1,持分移轉,06400029
RPQOMLRKKHJGFAG08CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPXNMLRKKHJGFAG68CB,雙賢二段,27.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,350,持分移轉,00090000
RPXNMLRKKHJGFAG68CB,雙賢二段,77.11,非都市：特定農業區 ; 非都市編定：農牧用地,10000,704,持分移轉,00070000
RPUOMLRKKHJGFAG48CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPPNMLSKKHJGFAG97CB,永愛段,64.06,都市：住,1,1,全筆移轉,09180045
RPPNMLSKKHJGFAG97CB,永愛段,18.56,都市：住,1,1,全筆移轉,09180012
RPQNMLQKKHJGFAG87CB,永愛段,64.06,都市：住,1,1,全筆移轉,09180049
RPQNMLQKKHJGFAG87CB,永愛段,18.56,都市：住,1,1,全筆移轉,09180016
RPQNMLKLKHJGFAG37CB,丸山段,30.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2884,持分移轉,00620000
RPXOMLRKKHJGFAG78CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPROMLRKKHJGFAG18CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPQNMLSKKHJGFAG08CB,永愛段,64.06,都市：住,1,1,全筆移轉,09180046
RPQNMLSKKHJGFAG08CB,永愛段,18.56,都市：住,1,1,全筆移轉,09180013
RPTOMLRKKHJGFAG38CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPQNMLTKKHJGFAG18CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPSNMLRKKHJGFAG18CB,雙賢二段,29.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,375,持分移轉,00090000
RPSNMLRKKHJGFAG18CB,雙賢二段,47.53,非都市：特定農業區 ; 非都市編定：農牧用地,10000,434,持分移轉,00070000
RPWOMLRKKHJGFAG68CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPVOMLRKKHJGFAG58CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPQNMLMLKHJGFAG57CB,鹿得一段,101.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02770002
RPPNMLMLKHJGFAG47CB,鹿得一段,96.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02750000
RPSNMLNLKHJGFAG87CB,山明段,113.59,都市：住,1,1,全筆移轉,06270006
RPRNMLQLKHJGFAG08CB,太山段,36.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1970,持分移轉,03740000
RPRNMLQLKHJGFAG08CB,太山段,25.68,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2534,持分移轉,03730000
RPSNMLQLKHJGFAG18CB,太山段,43.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2340,持分移轉,03740000
RPSNMLQLKHJGFAG18CB,太山段,25.68,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2534,持分移轉,03730000
RPPNMLRLKHJGFAG97CB,永愛段,22.51,都市：商,100000,2120,持分移轉,05330000
RPVNMLRLKHJGFAG58CB,柯林二段,23.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,18615,持分移轉,01560000
RPUNMLRLKHJGFAG48CB,柯林二段,70.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590061
RPUNMLRLKHJGFAG48CB,柯林二段,14.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590044
RPUNMLRLKHJGFAG48CB,柯林二段,2.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590017
RPUNMLRLKHJGFAG48CB,柯林二段,.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590018
RPUNMLRLKHJGFAG48CB,柯林二段,69.44,非都市：特定農業區 ; 非都市編定：農牧用地,34,1,持分移轉,02580000
RPRNMLRLKHJGFAG18CB,柯林二段,70.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590002
RPRNMLRLKHJGFAG18CB,柯林二段,14.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590033
RPRNMLRLKHJGFAG18CB,柯林二段,2.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590017
RPRNMLRLKHJGFAG18CB,柯林二段,.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590018
RPRNMLRLKHJGFAG18CB,柯林二段,69.44,非都市：特定農業區 ; 非都市編定：農牧用地,34,1,持分移轉,02580000
RPSNMLRLKHJGFAG28CB,柯林二段,63.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590001
RPSNMLRLKHJGFAG28CB,柯林二段,21.41,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02590034
RPSNMLRLKHJGFAG28CB,柯林二段,2.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590017
RPSNMLRLKHJGFAG28CB,柯林二段,.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,34,1,持分移轉,02590018
RPSNMLRLKHJGFAG28CB,柯林二段,69.44,非都市：特定農業區 ; 非都市編定：農牧用地,34,1,持分移轉,02580000
RPQNMLLJLHJGFAG37CB,太山段,22.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1203,持分移轉,03740000
RPQNMLLJLHJGFAG37CB,太山段,25.68,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2534,持分移轉,03730000
RPPNMLLJLHJGFAG27CB,大吉一段,53.67,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620011
RPPNMLLJLHJGFAG27CB,大吉一段,5.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620012
RPPNMLLJLHJGFAG27CB,大吉一段,47.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620013
RPTNMLRLKHJGFAG38CB,柯林二段,26.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,20805,持分移轉,01560000
RPSNMLLJLHJGFAG57CB,大吉一段,68.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620003
RPSNMLLJLHJGFAG57CB,大吉一段,4.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620015
RPSNMLLJLHJGFAG57CB,大吉一段,11.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620016
RPRNMLLJLHJGFAG47CB,中里段,55.08,都市：農,10000,518,持分移轉,05560000
RPVNMLLJLHJGFAG87CB,尾塹二段,72.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890033
RPVNMLLJLHJGFAG87CB,尾塹二段,14.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890034
RPVNMLLJLHJGFAG87CB,尾塹二段,3.35,非都市：特定農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉,07890004
RPVNMLLJLHJGFAG87CB,尾塹二段,20.09,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,07880006
RPVNMLLJLHJGFAG87CB,尾塹二段,1.08,非都市：特定農業區 ; 非都市編定：農牧用地,1000,7,持分移轉,07950000
RPVNMLLJLHJGFAG87CB,尾塹二段,50.92,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,07850000
RPPNMLMJLHJGFAG37CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPTNMLLJLHJGFAG67CB,大吉一段,22.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620020
RPTNMLLJLHJGFAG67CB,大吉一段,67.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620035
RPWNMLLJLHJGFAG97CB,尾塹二段,79.82,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890021
RPWNMLLJLHJGFAG97CB,尾塹二段,22.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890022
RPWNMLLJLHJGFAG97CB,尾塹二段,3.35,非都市：特定農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉,07890004
RPWNMLLJLHJGFAG97CB,尾塹二段,29.50,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,07880000
RPWNMLLJLHJGFAG97CB,尾塹二段,1.08,非都市：特定農業區 ; 非都市編定：農牧用地,1000,7,持分移轉,07950000
RPWNMLLJLHJGFAG97CB,尾塹二段,50.92,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,07850000
RPRNMLMJLHJGFAG57CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPQNMLMJLHJGFAG47CB,永愛段,18.99,都市：住,100000,1606,持分移轉,09180000
RPQNMLMJLHJGFAG47CB,永愛段,3.97,都市：住,100000,950,持分移轉,09180001
RPQNMLMJLHJGFAG47CB,永愛段,2.35,都市：住,100000,950,持分移轉,09180018
RPPNMLOJLHJGFAG57CB,東城段,77.38,都市：農,1,1,全筆移轉,07960048
RPSNMLMJLHJGFAG67CB,思村段,17.11,都市：住,10000,37,持分移轉,02080000
RPQNMLOJLHJGFAG67CB,大吉一段,66.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620001
RPQNMLOJLHJGFAG67CB,大吉一段,21.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00620018
