編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLRKKHJGFBG18CC,30,100.86,住家用,鋼筋混凝土造,83年3月19日,五層,,
RPRNMLRKKHJGFBG28CC,27,28.48,住家用,鋼筋混凝土造,86年1月21日,七層,,
RPPNMLRLKHJGFBG18CC,27,94.98,住家用,鋼筋混凝土造,86年7月1日,七層,,
RPPNMLSLKHJGFBG28CC,26,33.45,住家用,鋼筋混凝土造,86年11月24日,六層,,
RPSNMLSLKHJGFBG58CC,27,38.67,住家用,鋼筋混凝土造,86年1月21日,七層,,
RPRNMLRKKHJGFBG28CC,27,13.13,共有部份,鋼筋混凝土造,86年1月21日,七層,,
RPQNMLRKKHJGFBG18CC,30,7.69,共有部份,鋼筋混凝土造,83年3月19日,五層,,
RPPNMLSLKHJGFBG28CC,26,19.21,共有部份,鋼筋混凝土造,86年11月24日,六層,,
RPPNMLRLKHJGFBG18CC,27,24.20,共有部份,鋼筋混凝土造,86年7月1日,七層,,
RPSNMLSLKHJGFBG58CC,27,17.31,共有部份,鋼筋混凝土造,86年1月21日,七層,,
RPRNMLSLKHJGFBG48CC,26,64.79,住家用,鋼筋混凝土造,86年11月25日,十二層,,
RPPNMLRLKHJGFBG18CC,27,11.78,共有部份,鋼筋混凝土造,86年7月1日,七層,,
RPRNMLSLKHJGFBG48CC,26,20.36,共有部份,鋼筋混凝土造,86年11月25日,十二層,,
RPQNMLSLKHJGFBG38CC,17,29.03,住家用,鋼筋混凝土造,95年10月30日,十一層,,
RPQNMLRLKHJGFBG28CC,68,15.29,住家用,磚造,45年5月15日,一層,,
RPQNMLSLKHJGFBG38CC,17,6.30,共有部份,鋼筋混凝土造,95年10月30日,十一層,,
RPQNMLSLKHJGFBG38CC,17,17.42,共有部份,鋼筋混凝土造,95年10月30日,十一層,,
RPPNMLLLKHJGFBG57CC,31,26.28,住家用,鋼筋混凝土造,82年7月8日,七層,,
RPPNMLLLKHJGFBG57CC,31,13.01,共有部份,鋼筋混凝土造,82年7月8日,七層,,
RPTNMLSLKHJGFBG68CC,18,18.34,住家用,鋼筋混凝土造,94年9月14日,六層,,
