鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,租賃房屋,嘉義市嘉義市福州五街１２號４F９,6.11,住,,,1130219,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810903,46.49,1,0,1,有,有,有,7000,151,,0.0,0,,RPUNMLTKKHJGFAI88CC,獨立套房,有,1130301~1140301,有,冷氣、電視機,
嘉義市,租賃房屋+車位,嘉義市嘉義市新民路３０２號１樓,0.0,,,,1130215,土地0建物1車位1,全,4,透天厝,店舖，住宅，停車空間,鋼筋混凝土造,0921031,55.75,0,1,1,有,無,無,18000,323,一樓平面,0.0,0,,RPPNMLMLKHJGFAI77CC,,無,1130310~1150309,無,,
嘉義市,租賃房屋,嘉義市嘉義市新民路３０２號,0.0,,,,1130215,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),店舖，住宅，停車空間,鋼筋混凝土造,0921031,213.55,3,3,3,有,無,無,17000,80,,0.0,0,,RPQNMLMLKHJGFAI87CC,分層出租,無,1130310~1150310,無,,
嘉義市,租賃房屋,嘉義市嘉義市國聖二街３１號２樓之３,0.0,,,,1130219,土地0建物1車位0,二層,4,其他,集合住宅,鋼筋混凝土造,1120627,40.82,1,1,1,有,無,有,12000,294,,0.0,0,,RPRNMLQLKHJGFAI38CC,整棟(戶)出租,無,1130301~1140228,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,
嘉義市,租賃房屋,嘉義市嘉義市林森東路３４０號,0.0,,,,1130224,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0880601,20.0,0,0,0,無,無,無,8000,400,,0.0,0,僅出租一樓部分空間約20平方公尺,RPPNMLMJLHJGFAI67CC,,無,1130310~1140309,無,,
嘉義市,租賃房屋,嘉義市嘉義市老吸街７７巷９號,0.0,,,,1130224,土地0建物1車位0,全,1,透天厝,住家用,木造,0600212,50.26,2,2,1,有,無,有,12000,239,,0.0,0,,RPQNMLMJLHJGFAI77CC,整棟(戶)出租,無,1130315~1140314,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
嘉義市,租賃房屋+車位,嘉義市嘉義市新建街８巷１５號８樓２,0.0,,,,1130226,土地0建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800316,181.87,3,2,2,有,有,無,17000,93,坡道平面,11.95,0,,RPPNMLOJLHJGFAI87CC,整棟(戶)出租,有,1130301~1140228,有,,
嘉義市,租賃房屋,嘉義市嘉義市忠順一街１９號７樓３,0.0,,,,1130215,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820317,45.22,1,0,1,有,有,有,7500,166,,0.0,0,嘉義市社會住宅包租代管計畫之物件。管理費700元。,RPQNMLOJLHJGFAI97CC,獨立套房,有,1130220~1140219,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市永安街４９１-６號,56.0,住,,,1130226,土地1建物1車位0,全,2,透天厝,住家用,木造,0630913,80.14,1,1,2,有,無,有,20000,250,,0.0,0,,RPRNMLOJLHJGFAI08CC,整棟(戶)出租,無,1130315~1150314,無,冷氣、洗衣機,
嘉義市,租賃房屋,嘉義市嘉義市文雅街２９９號４樓２,0.0,,,,1130216,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830408,125.03999999999999,3,2,2,有,有,有,16000,128,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPPNMLPJLHJGFAI97CC,整棟(戶)出租,有,1130216~1140215,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市垂楊里１８鄰建成新村６３號,0.0,,,,1130216,土地0建物1車位0,全,2,透天厝,住家用,木造,0570217,77.77,3,1,1,有,無,無,11000,141,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPQNMLPJLHJGFAI08CC,整棟(戶)出租,無,1130220~1140219,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市永康三街１號５樓４,0.0,,,,1130220,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810630,87.07,2,2,1,有,有,有,15800,181,,0.0,0,,RPSNMLPJLHJGFAI28CC,整棟(戶)出租,有,1130220~1140219,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市世賢路四段３５０巷２１弄６１號,0.0,,,,1130226,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810903,96.26,3,2,2,有,有,有,7500,78,,0.0,0,,RPTNMLPJLHJGFAI38CC,整棟(戶)出租,有,1130305~1140304,有,冷氣、熱水器,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市忠孝路７９０-８０號４樓２,0.0,,,,1130227,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,95.02,2,2,1,有,有,有,11500,121,,0.0,0,,RPUNMLPJLHJGFAI48CC,整棟(戶)出租,有,1130305~1140304,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
